"Periodo","cvegeo","Desglose","Población_con_inseguridad_alimentaria_moderada_o_severa",
"2022",	00,"Estados Unidos Mexicanos","20,923.66",
"2022",	01,"Aguascalientes","225.046",
"2022",	02,"Baja California","337.659",
"2022",	03,"Baja California Sur","115.055",
"2022",	04,"Campeche","190.49",
"2022",	05,"Coahuila de Zaragoza","411.777",
"2022",	06,"Colima","102.192",
"2022",	07,"Chiapas","980.996",
"2022",	08,"Chihuahua","355.706",
"2022",	09,"Ciudad de México","903.71",
"2022",	10,"Durango","369.589",
"2022",	11,"Guanajuato","1,081.843",
"2022",	12,"Guerrero","1,024.415",
"2022",	13,"Hidalgo","479.037",
"2022",	14,"Jalisco","1,124.09",
"2022",	15,"México","2,943.084",
"2022",	16,"Michoacán de Ocampo","1,035.336",
"2022",	17,"Morelos","354.43",
"2022",	18,"Nayarit","209.849",
"2022",	19,"Nuevo León","663.495",
"2022",	20,"Oaxaca","981.891",
"2022",	21,"Puebla","1,284.234",
"2022",	22,"Querétaro","281.288",
"2022",	23,"Quintana Roo","243.366",
"2022",	24,"San Luis Potosí","378.864",
"2022",	25,"Sinaloa","528.422",
"2022",	26,"Sonora","576.437",
"2022",	27,"Tabasco","839.532",
"2022",	28,"Tamaulipas","436.209",
"2022",	29,"Tlaxcala","256.8",
"2022",	30,"Veracruz de Ignacio de la Llave","1,628.694",
"2022",	31,"Yucatán","322.055",
"2022",	32,"Zacatecas","258.069",
"2020",	00,"Estados Unidos Mexicanos","26,291.354",
"2020",	01,"Aguascalientes","250.458",
"2020",	02,"Baja California","479.148",
"2020",	03,"Baja California Sur","183.835",
"2020",	04,"Campeche","229.225",
"2020",	05,"Coahuila de Zaragoza","482.446",
"2020",	06,"Colima","121.912",
"2020",	07,"Chiapas","1,180.27",
"2020",	08,"Chihuahua","488.539",
"2020",	09,"Ciudad de México","1,470.369",
"2020",	10,"Durango","345.863",
"2020",	11,"Guanajuato","1,411.437",
"2020",	12,"Guerrero","1,186.615",
"2020",	13,"Hidalgo","783.295",
"2020",	14,"Jalisco","1,197.448",
"2020",	15,"México","3,658.404",
"2020",	16,"Michoacán de Ocampo","1,028.183",
"2020",	17,"Morelos","457.178",
"2020",	18,"Nayarit","245.183",
"2020",	19,"Nuevo León","825.63",
"2020",	20,"Oaxaca","1,185.225",
"2020",	21,"Puebla","1,811.423",
"2020",	22,"Querétaro","406.426",
"2020",	23,"Quintana Roo","512.497",
"2020",	24,"San Luis Potosí","503.658",
"2020",	25,"Sinaloa","669.136",
"2020",	26,"Sonora","653.463",
"2020",	27,"Tabasco","987.01",
"2020",	28,"Tamaulipas","490.863",
"2020",	29,"Tlaxcala","366.827",
"2020",	30,"Veracruz de Ignacio de la Llave","1,876.183",
"2020",	31,"Yucatán","535.353",
"2020",	32,"Zacatecas","267.852",
"2018",	00,"Estados Unidos Mexicanos","25,147.815",
"2018",	01,"Aguascalientes","178.411",
"2018",	02,"Baja California","530.107",
"2018",	03,"Baja California Sur","135.781",
"2018",	04,"Campeche","241.464",
"2018",	05,"Coahuila de Zaragoza","557.186",
"2018",	06,"Colima","156.331",
"2018",	07,"Chiapas","1,193.415",
"2018",	08,"Chihuahua","651.763",
"2018",	09,"Ciudad de México","1,275.601",
"2018",	10,"Durango","336.017",
"2018",	11,"Guanajuato","1,256.669",
"2018",	12,"Guerrero","1,245.627",
"2018",	13,"Hidalgo","691.64",
"2018",	14,"Jalisco","1,242.235",
"2018",	15,"México","3,342.415",
"2018",	16,"Michoacán de Ocampo","981.245",
"2018",	17,"Morelos","482.695",
"2018",	18,"Nayarit","230.952",
"2018",	19,"Nuevo León","670.938",
"2018",	20,"Oaxaca","1,117.507",
"2018",	21,"Puebla","1,349.619",
"2018",	22,"Querétaro","317.939",
"2018",	23,"Quintana Roo","324.326",
"2018",	24,"San Luis Potosí","475.314",
"2018",	25,"Sinaloa","734.497",
"2018",	26,"Sonora","625.217",
"2018",	27,"Tabasco","1,106.635",
"2018",	28,"Tamaulipas","583.823",
"2018",	29,"Tlaxcala","264.016",
"2018",	30,"Veracruz de Ignacio de la Llave","2,142.434",
"2018",	31,"Yucatán","437.278",
"2018",	32,"Zacatecas","268.718",
"2016",	00,"Estados Unidos Mexicanos","24,118.681",
"2016",	01,"Aguascalientes","226.572",
"2016",	02,"Baja California","541.92",
"2016",	03,"Baja California Sur","138.562",
"2016",	04,"Campeche","219.453",
"2016",	05,"Coahuila de Zaragoza","476.606",
"2016",	06,"Colima","147.803",
"2016",	07,"Chiapas","1,006.52",
"2016",	08,"Chihuahua","654.018",
"2016",	09,"Ciudad de México","1,047.94",
"2016",	10,"Durango","325.349",
"2016",	11,"Guanajuato","1,175.224",
"2016",	12,"Guerrero","965.695",
"2016",	13,"Hidalgo","719.528",
"2016",	14,"Jalisco","1,226.863",
"2016",	15,"México","3,429.012",
"2016",	16,"Michoacán de Ocampo","1,162.673",
"2016",	17,"Morelos","373.549",
"2016",	18,"Nayarit","235.421",
"2016",	19,"Nuevo León","761.575",
"2016",	20,"Oaxaca","1,227.872",
"2016",	21,"Puebla","1,270.44",
"2016",	22,"Querétaro","288.486",
"2016",	23,"Quintana Roo","278.579",
"2016",	24,"San Luis Potosí","554.783",
"2016",	25,"Sinaloa","668.848",
"2016",	26,"Sonora","596.238",
"2016",	27,"Tabasco","1,056.366",
"2016",	28,"Tamaulipas","659.028",
"2016",	29,"Tlaxcala","281.732",
"2016",	30,"Veracruz de Ignacio de la Llave","1,742.077",
"2016",	31,"Yucatán","419.747",
"2016",	32,"Zacatecas","240.202",
