"Periodo","Superficie_cosechada",
"2022","6,809,132",
"2021","7,139,621",
"2020","7,156,391",
"2019","6,690,449",
"2018","7,122,562",
"2017","7,327,501",
"2016","7,598,086",
"2015","7,099,724",
"2014","7,060,275",
"2013","7,095,630",
"2012","6,923,900",
"2011","6,069,092",
"2010","7,148,046",
"2009","6,223,047",
"2008","7,344,346",
"2007","7,333,277",
"2006","7,294,842",
"2005","6,605,614",
"2004","7,696,422",
"2003","7,520,918",
"2002","7,118,918",
"2001","7,810,847",
"2000","7,131,181",
