"Periodo","Volumen_de_producción_obtenida",
"2022","26,553,239",
"2021","27,503,478",
"2020","27,424,528",
"2019","27,228,242",
"2018","27,169,400",
"2017","27,762,481",
"2016","28,250,783",
"2015","24,694,046",
"2014","23,273,257",
"2013","22,663,953",
"2012","22,069,254",
"2011","17,635,417",
"2010","23,301,879",
"2009","20,142,816",
"2008","24,410,279",
"2007","23,512,752",
"2006","21,893,209",
"2005","19,338,713",
"2004","21,685,833",
"2003","20,701,420",
"2002","19,297,755",
"2001","20,134,312",
"2000","17,556,905",
