"Serie","Periodo","Sexo|Total_Estimación|Estimación_puntual","Sexo|Total_Estimación|Límite_inferior","Sexo|Total_Estimación|Límite_superior","Sexo|Hombres_Estimación|Estimación_puntual","Sexo|Hombres_Estimación|Límite_inferior","Sexo|Hombres_Estimación|Límite_superior","Sexo|Mujeres_Estimación|Estimación_puntual","Sexo|Mujeres_Estimación|Límite_inferior","Sexo|Mujeres_Estimación|Límite_superior",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2024","21,662","16,723","29,238","17,967","13,240","24,442","3,695","3,028","4,817",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2023","21,448","16,647","28,701","17,782","13,457","23,720","3,666","2,945","4,811",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2022","21,250","16,657","27,703","17,611","13,391","23,158","3,639","2,948","4,681",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2021","21,070","16,703","26,715","17,453","13,364","22,313","3,617","3,007","4,550",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2020","20,902","16,833","25,854","17,284","13,452","21,494","3,618","3,045","4,415",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2019","20,628","16,785","24,890","17,051","13,487","21,112","3,576","3,035","4,253",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2018","20,349","16,786","24,187","16,811","13,431","20,423","3,538","2,953","4,215",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2017","20,089","16,763","23,606","16,577","13,556","19,843","3,512","3,010","4,054",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2016","19,814","16,707","22,927","16,329","13,342","19,351","3,485","3,012","3,992",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2015","19,464","16,453","22,197","16,036","13,067","18,604","3,428","2,958","3,940",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2014","19,084","16,258","21,523","15,720","12,857","18,059","3,364","2,964","3,786",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2013","18,755","16,041","20,963","15,424","12,875","17,441","3,331","2,952","3,713",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2012","18,411","15,847","20,314","15,117","12,662","17,001","3,294","2,905","3,705",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2011","18,041","15,638","19,740","14,787","12,433","16,411","3,254","2,887","3,626",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2010","17,607","15,317","19,088","14,418","12,055","15,949","3,189","2,801","3,530",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2009","17,164","14,962","18,433","14,040","11,876","15,391","3,124","2,803","3,408",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2008","16,726","14,651","17,924","13,670","11,577","14,899","3,056","2,765","3,343",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2007","16,302","14,338","17,420","13,317","11,421","14,538","2,985","2,695","3,268",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2006","15,901","14,036","17,008","12,984","11,139","14,106","2,917","2,599","3,217",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2005","15,504","13,761","16,650","12,660","10,986","13,722","2,844","2,550","3,118",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2004","15,108","13,499","16,332","12,336","10,651","13,504","2,772","2,495","3,071",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2003","14,701","13,222","15,990","12,002","10,502","13,198","2,699","2,438","2,954",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2002","14,301","12,841","15,673","11,672","10,322","13,002","2,629","2,357","2,883",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2001","13,926","12,575","15,384","11,362","10,007","12,717","2,564","2,251","2,823",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","2000","13,573","12,188","15,029","11,074","9,706","12,380","2,498","2,175","2,768",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1999","13,226","11,818","14,794","10,793","9,514","12,204","2,433","2,093","2,735",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1998","12,867","11,407","14,488","10,503","9,157","11,952","2,364","2,099","2,643",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1997","12,508","10,999","14,155","10,212","8,886","11,737","2,296","1,981","2,605",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1996","12,140","10,713","13,803","9,917","8,596","11,394","2,223","1,922","2,526",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1995","11,774","10,426","13,895","9,623","8,439","11,328","2,151","1,859","2,535",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1994","11,413","10,133","13,724","9,329","8,188","11,319","2,084","1,831","2,538",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1993","11,049","9,873","13,407","9,029","7,903","10,999","2,019","1,793","2,449",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1992","10,675","9,411","12,726","8,720","7,530","10,465","1,955","1,731","2,303",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1991","10,284","8,826","12,240","8,400","7,122","10,171","1,885","1,614","2,237",
"Total_de_la_población_con_nuevas_infecciones_por_VIH","1990","9,880","7,210","12,197","8,071","5,918","10,076","1,808","1,286","2,248",
