"Serie","Periodo","Sexo|Total_Estimación|Estimación_puntual","Sexo|Total_Estimación|Límite_inferior","Sexo|Total_Estimación|Límite_superior","Sexo|Hombres_Estimación|Estimación_puntual","Sexo|Hombres_Estimación|Límite_inferior","Sexo|Hombres_Estimación|Límite_superior","Sexo|Mujeres_Estimación|Estimación_puntual","Sexo|Mujeres_Estimación|Límite_inferior","Sexo|Mujeres_Estimación|Límite_superior",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2024","0.16","0.13","0.22","0.27","0.2","0.37","0.05","0.04","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2023","0.16","0.13","0.22","0.27","0.21","0.37","0.05","0.04","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2022","0.16","0.13","0.21","0.27","0.21","0.36","0.05","0.04","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2021","0.16","0.13","0.21","0.27","0.21","0.35","0.05","0.05","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2020","0.16","0.13","0.2","0.27","0.21","0.34","0.06","0.05","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2019","0.16","0.13","0.19","0.27","0.21","0.34","0.06","0.05","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2018","0.16","0.13","0.19","0.27","0.22","0.33","0.05","0.05","0.07",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2017","0.16","0.13","0.19","0.27","0.22","0.32","0.06","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2016","0.16","0.13","0.18","0.27","0.22","0.32","0.06","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2015","0.16","0.13","0.18","0.27","0.22","0.31","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2014","0.16","0.13","0.18","0.26","0.22","0.3","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2013","0.16","0.13","0.18","0.26","0.22","0.3","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2012","0.16","0.13","0.17","0.26","0.22","0.29","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2011","0.15","0.13","0.17","0.26","0.22","0.29","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2010","0.15","0.13","0.17","0.26","0.21","0.28","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2009","0.15","0.13","0.16","0.25","0.21","0.28","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2008","0.15","0.13","0.16","0.25","0.21","0.27","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2007","0.15","0.13","0.16","0.25","0.21","0.27","0.05","0.05","0.06",
"Número_de_nuevas_infecciones_por_el_VIH_por_cada_1.000_habitantes_no_infectados,_desglosado_por_sexo,_edad_y_poblaciones_clave","2006","0.15","0.13","0.16","0.24","0.21","0.27","0.05","0.05","0.06",
