"Serie","Periodo","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Tuberculosis_respiratoria",
"Casos_de_tuberculosis","2024","25,980","538","4,474","20,968","70","4","18","48","187","27","66","94","597","15","243","339","3,493","82","651","2,760","8,895","252","1,728","6,915","8,693","128","1,162","7,403","4,044","30","606","3,408","1","0","0","1",
"Casos_de_tuberculosis","2023","25,430","553","4,304","20,573","58","8","12","38","219","22","81","116","477","12","194","271","3,410","81","628","2,701","8,702","252","1,726","6,724","8,651","138","1,152","7,361","3,911","40","510","3,361","2","0","1","1",
"Casos_de_tuberculosis","2022","24,051","573","4,051","19,427","50","6","11","33","199","35","60","104","482","14","193","275","3,174","85","601","2,488","8,219","249","1,624","6,346","8,233","144","1,085","7,004","3,693","40","477","3,176","1","0","0","1",
"Casos_de_tuberculosis","2021","20,374","477","3,902","15,995","82","19","20","43","159","14","63","82","449","29","199","221","2,951","78","577","2,296","7,169","190","1,528","5,451","6,760","114","1,040","5,606","2,802","33","474","2,295","2","0","1","1",
"Casos_de_tuberculosis","2020","16,747","364","3,184","13,199","70","8","15","47","118","12","62","44","343","22","153","168","2,522","54","524","1,944","6,084","175","1,278","4,631","5,464","66","786","4,612","2,146","27","366","1,753","0","0","0","0",
"Casos_de_tuberculosis","2019","24,446","499","4,153","19,794","57","3","16","38","179","14","80","85","425","16","203","206","3,390","77","641","2,672","8,642","222","1,632","6,788","8,133","137","1,089","6,907","3,620","30","492","3,098","0","0","0","0",
"Casos_de_tuberculosis","2018","22,133","460","4,115","17,558","98","4","28","66","188","7","83","98","451","15","180","256","3,171","71","651","2,449","7,732","204","1,626","5,902","7,173","132","1,043","5,998","3,320","27","504","2,789","0","0","0","0",
"Casos_de_tuberculosis","2017","21,694","422","4,171","17,101","95","9","24","62","171","11","72","88","422","15","190","217","3,160","61","621","2,478","7,491","184","1,648","5,659","7,145","117","1,116","5,912","3,210","25","500","2,685","0","0","0","0",
"Casos_de_tuberculosis","2016","21,184","373","3,898","16,913","94","0","35","59","174","12","89","73","504","23","225","256","3,165","50","606","2,509","7,395","183","1,526","5,686","6,747","76","991","5,680","3,105","29","426","2,650","0","0","0","0",
"Casos_de_tuberculosis","2015","20,561","284","3,815","16,462","93","4","29","60","198","9","98","91","483","7","215","261","3,044","38","591","2,415","7,238","137","1,510","5,591","6,395","68","937","5,390","3,110","21","435","2,654","0","0","0","0",
"Casos_de_tuberculosis","2014","20,126","313","3,576","16,237","99","1","28","70","184","7","97","80","490","14","234","242","3,056","48","535","2,473","6,938","130","1,391","5,417","6,269","89","860","5,320","3,090","24","431","2,635","0","0","0","0",
"Casos_de_tuberculosis","2013","19,703","271","3,352","16,080","99","4","25","70","196","9","90","97","498","9","221","268","2,957","53","500","2,404","6,804","113","1,257","5,434","6,106","71","878","5,157","3,043","12","381","2,650","0","0","0","0",
"Casos_de_tuberculosis","2012","19,697","298","3,541","15,858","103","1","20","82","246","11","102","133","612","17","267","328","2,907","42","525","2,340","6,814","127","1,366","5,321","6,028","78","846","5,104","2,987","22","415","2,550","0","0","0","0",
"Casos_de_tuberculosis","2011","18,984","290","3,237","15,457","98","4","30","64","217","7","103","107","566","12","243","311","2,819","49","515","2,255","6,626","129","1,222","5,275","5,774","65","770","4,939","2,884","24","354","2,506","0","0","0","0",
