"Serie","Periodo","Edad__Tuberculosis|Total","Edad__Tuberculosis|Menor_de_1_año","Edad__Tuberculosis|01-04_años","Edad__Tuberculosis|05-14_años","Edad__Tuberculosis|15_a_24_años","Edad__Tuberculosis|25-44_años","Edad__Tuberculosis|45-64_años","Edad__Tuberculosis|65_años_y_mas","Edad__Tuberculosis|Edad_desconocida",
"Población_total_a_mitad_de_año","2024","132,274,416","2,026,101","8,263,688","21,749,378","22,492,862","39,590,124","26,934,729","11,217,534","NA",
"Población_total_a_mitad_de_año","2023","131,135,337","2,046,960","8,327,548","21,962,037","22,509,153","39,114,085","26,415,540","10,760,014","NA",
"Población_total_a_mitad_de_año","2022","129,960,600","2,073,914","8,370,862","22,166,619","22,511,586","38,648,999","25,862,760","10,325,860","NA",
"Población_total_a_mitad_de_año","2021","128,982,939","2,099,100","8,409,129","22,348,470","22,520,613","38,227,098","25,350,859","10,027,670","NA",
"Población_total_a_mitad_de_año","2020","128,209,170","2,111,632","8,475,611","22,489,174","22,549,794","37,839,258","24,883,076","9,860,625","NA",
"Población_total_a_mitad_de_año","2019","127,215,666","2,117,912","8,568,121","22,597,820","22,594,102","37,424,287","24,311,309","9,602,115","NA",
"Población_total_a_mitad_de_año","2018","125,995,825","2,121,211","8,677,223","22,691,893","22,639,432","36,974,025","23,634,515","9,257,526","NA",
"Población_total_a_mitad_de_año","2017","124,777,172","2,138,294","8,791,937","22,783,846","22,677,462","36,511,564","22,938,150","8,935,919","NA",
"Población_total_a_mitad_de_año","2016","123,587,407","2,176,963","8,901,696","22,878,714","22,698,166","36,048,272","22,239,924","8,643,672","NA",
"Población_total_a_mitad_de_año","2015","122,368,490","2,213,955","9,009,398","22,966,207","22,682,464","35,577,575","21,543,307","8,375,584","NA",
"Población_total_a_mitad_de_año","2014","121,048,604","2,237,888","9,114,513","23,030,350","22,618,948","35,085,854","20,851,011","8,110,040","NA",
"Población_total_a_mitad_de_año","2013","119,597,654","2,257,759","9,202,995","23,059,935","22,511,308","34,561,722","20,163,896","7,840,039","NA",
"Población_total_a_mitad_de_año","2012","118,060,514","2,283,405","9,259,702","23,070,484","22,375,464","34,015,937","19,486,075","7,569,447","NA",
"Población_total_a_mitad_de_año","2011","116,446,180","2,311,075","9,275,426","23,080,560","22,201,433","33,455,411","18,819,730","7,302,545","NA",
"Población_total_a_mitad_de_año","2010","114,756,059","2,330,140","9,257,129","23,099,699","21,975,105","32,884,336","18,163,366","7,046,284","NA",
"Población_total_a_mitad_de_año","2009","113,030,218","2,336,688","9,226,221","23,133,052","21,696,001","32,309,458","17,520,191","6,808,607","NA",
"Población_total_a_mitad_de_año","2008","111,275,915","2,331,377","9,202,264","23,169,845","21,363,498","31,733,479","16,889,967","6,585,485","NA",
"Población_total_a_mitad_de_año","2007","109,538,665","2,319,971","9,199,874","23,193,452","20,999,115","31,179,602","16,277,778","6,368,873","NA",
"Población_total_a_mitad_de_año","2006","107,885,646","2,310,619","9,230,405","23,197,715","20,637,898","30,662,798","15,690,486","6,155,725","NA",
"Población_total_a_mitad_de_año","2005","106,370,948","2,309,835","9,291,974","23,185,572","20,316,049","30,181,518","15,132,769","5,953,231","NA",
"Población_total_a_mitad_de_año","2004","104,970,581","2,319,353","9,362,146","23,161,107","20,043,584","29,717,883","14,605,246","5,761,262","NA",
"Población_total_a_mitad_de_año","2003","103,587,899","2,339,143","9,409,345","23,130,989","19,791,402","29,234,803","14,105,522","5,576,695","NA",
"Población_total_a_mitad_de_año","2002","102,167,274","2,366,279","9,420,394","23,094,663","19,546,765","28,708,213","13,631,653","5,399,307","NA",
"Población_total_a_mitad_de_año","2001","100,739,263","2,391,026","9,414,935","23,045,977","19,341,216","28,140,075","13,181,308","5,224,726","NA",
"Población_total_a_mitad_de_año","2000","99,368,858","2,403,045","9,425,170","22,981,128","19,212,154","27,538,130","12,754,368","5,054,863","NA",
"Población_total_a_mitad_de_año","1999","98,085,415","2,400,468","9,472,510","22,896,261","19,166,186","26,901,138","12,354,245","4,894,607","NA",
"Población_total_a_mitad_de_año","1998","96,799,183","2,395,354","9,546,980","22,774,554","19,148,102","26,208,058","11,983,753","4,742,382","NA",
"Población_total_a_mitad_de_año","1997","95,438,019","2,402,169","9,621,954","22,610,757","19,109,056","25,459,026","11,640,131","4,594,926","NA",
"Población_total_a_mitad_de_año","1996","94,005,638","2,421,575","9,674,473","22,419,053","19,038,592","24,681,171","11,317,994","4,452,780","NA",
"Población_total_a_mitad_de_año","1995","92,506,744","2,444,999","9,686,193","22,220,381","18,930,102","23,898,365","11,012,045","4,314,659","NA",
"Población_total_a_mitad_de_año","1994","90,953,505","2,464,615","9,651,796","22,034,076","18,783,440","23,130,073","10,712,201","4,177,304","NA",
"Población_total_a_mitad_de_año","1993","89,364,560","2,476,556","9,582,278","21,866,432","18,599,163","22,383,833","10,413,397","4,042,901","NA",
"Población_total_a_mitad_de_año","1992","87,753,131","2,477,407","9,495,408","21,718,698","18,372,859","21,658,689","10,117,564","3,912,506","NA",
"Población_total_a_mitad_de_año","1991","86,127,477","2,462,595","9,409,452","21,592,561","18,097,630","20,953,586","9,825,330","3,786,323","NA",
"Población_total_a_mitad_de_año","1990","84,502,988","2,437,445","9,336,826","21,486,398","17,772,360","20,265,904","9,538,633","3,665,422","NA",
