"Serie","Periodo","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2020","7","3","3","154","5","3","3","131","2","0","0","21","0","0","0","2",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2019","11","2","0","178","8","2","0","151","3","0","0","23","0","0","0","4",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2018","7","1","2","328","6","1","1","280","1","0","1","45","0","0","0","3",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2017","8","3","2","77","8","3","1","71","0","0","1","4","0","0","0","2",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2016","18","2","2","0","14","2","2","0","4","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2015","7","2","6","0","6","2","5","0","1","0","1","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2014","12","4","4","0","11","3","4","0","1","1","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2013","14","5","1","0","9","4","0","0","5","1","1","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2012","9","2","0","0","9","1","0","0","0","1","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2011","2","2","2","0","1","2","1","0","1","0","1","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2010","3","3","0","0","2","3","0","0","1","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2009","3","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0",
