"Periodo","cvegeo","Entidad_federativa","Prevalencia_de_uso_de_cualquier_método_anticonceptivo_en_mujeres_en_edad_fértil_(15_a_49_años)_unidas",
"2023",	00,"Estados Unidos Mexicanos","71.87407",
"2023",	01,"Aguascalientes","71.23327",
"2023",	02,"Baja California","74.27295",
"2023",	03,"Baja California Sur","77.40427",
"2023",	04,"Campeche","68.95514",
"2023",	05,"Coahuila de Zaragoza","73.4932",
"2023",	06,"Colima","74.0863",
"2023",	07,"Chiapas","62.28762",
"2023",	08,"Chihuahua","76.66248",
"2023",	09,"Ciudad de México","75.98553",
"2023",	10,"Durango","73.37809",
"2023",	11,"Guanajuato","68.92972",
"2023",	12,"Guerrero","66.84223",
"2023",	13,"Hidalgo","73.44147",
"2023",	14,"Jalisco","72.08167",
"2023",	15,"México","76.93527",
"2023",	16,"Michoacán de Ocampo","66.29367",
"2023",	17,"Morelos","72.81441",
"2023",	18,"Nayarit","75.24856",
"2023",	19,"Nuevo León","73.91207",
"2023",	20,"Oaxaca","65.75881",
"2023",	21,"Puebla","69.85688",
"2023",	22,"Querétaro","68.82678",
"2023",	23,"Quintana Roo","72.89176",
"2023",	24,"San Luis Potosí","69.88256",
"2023",	25,"Sinaloa","77.30857",
"2023",	26,"Sonora","77.49243",
"2023",	27,"Tabasco","68.65169",
"2023",	28,"Tamaulipas","70.19548",
"2023",	29,"Tlaxcala","74.20013",
"2023",	30,"Veracruz de Ignacio de la Llave","70.95734",
"2023",	31,"Yucatán","71.13814",
"2023",	32,"Zacatecas","70.15271",
"2018",	00,"Estados Unidos Mexicanos","73.10006",
"2018",	01,"Aguascalientes","69.55793",
"2018",	02,"Baja California","78.47043",
"2018",	03,"Baja California Sur","76.74935",
"2018",	04,"Campeche","69.95829",
"2018",	05,"Coahuila de Zaragoza","76.86696",
"2018",	06,"Colima","73.14965",
"2018",	07,"Chiapas","61.55058",
"2018",	08,"Chihuahua","75.45393",
"2018",	09,"Ciudad de México","78.21688",
"2018",	10,"Durango","75.92535",
"2018",	11,"Guanajuato","72.25787",
"2018",	12,"Guerrero","67.21368",
"2018",	13,"Hidalgo","75.8175",
"2018",	14,"Jalisco","73.08249",
"2018",	15,"México","77.28695",
"2018",	16,"Michoacán de Ocampo","68.52165",
"2018",	17,"Morelos","76.3912",
"2018",	18,"Nayarit","73.64186",
"2018",	19,"Nuevo León","73.6752",
"2018",	20,"Oaxaca","64.98944",
"2018",	21,"Puebla","69.19754",
"2018",	22,"Querétaro","71.89036",
"2018",	23,"Quintana Roo","71.69154",
"2018",	24,"San Luis Potosí","71.8465",
"2018",	25,"Sinaloa","76.71151",
"2018",	26,"Sonora","80.32194",
"2018",	27,"Tabasco","70.24497",
"2018",	28,"Tamaulipas","70.41801",
