"Serie","Periodo","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|No_especificado",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2022","7","5","2","0","0","0","0","0","0","0","0","0","66","40","26","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2021","4","2","2","0","1","1","0","0","1","1","0","0","29","24","5","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2020","6","1","5","0","0","0","0","0","0","0","0","0","60","41","18","1",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2019","6","3","3","0","1","0","1","0","3","3","0","0","101","60","38","3",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2018","2","1","1","0","2","1","1","0","3","2","1","0","140","74","66","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2017","3","1","2","0","4","2","2","0","1","0","1","0","74","52","21","1",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2016","4","2","2","0","4","1","3","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2015","4","2","2","0","0","0","0","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2014","1","1","0","0","3","2","1","0","1","0","1","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2013","6","2","4","0","1","1","0","0","0","0","0","0","0","0","0","0",
