"Serie","cvegeo","Entidad_federativa","Periodo","Densidad_del_personal_sanitario|Número_de_personal_sanitario","Densidad_del_personal_sanitario|Número_de_médicos","Densidad_del_personal_sanitario|Número_de_enfermeros_y_parteros","Densidad_del_personal_sanitario|Número_de_dentistas","Densidad_del_personal_sanitario|Número_de_personal_farmacéutico",
"Número_de_personal_sanitario",	00,"Estados_Unidos_Mexicanos","2022","734,912","332,831","389,668","11,705","708",
"Número_de_personal_sanitario",	01,"Aguascalientes","2022","9,411","4,195","5,129","87","0",
"Número_de_personal_sanitario",	02,"Baja_California","2022","18,684","8,882","9,573","222","7",
"Número_de_personal_sanitario",	03,"Baja_California_Sur","2022","5,196","2,489","2,650","57","0",
"Número_de_personal_sanitario",	04,"Campeche","2022","5,919","2,454","3,349","113","3",
"Número_de_personal_sanitario",	05,"Coahuila_de_Zaragoza","2022","18,655","7,810","10,668","162","15",
"Número_de_personal_sanitario",	06,"Colima","2022","5,257","2,403","2,796","58","0",
"Número_de_personal_sanitario",	07,"Chiapas","2022","24,893","8,733","15,704","419","37",
"Número_de_personal_sanitario",	08,"Chihuahua","2022","24,529","10,851","13,404","273","1",
"Número_de_personal_sanitario",	09,"Ciudad_de_México","2022","103,746","44,849","57,267","1,467","163",
"Número_de_personal_sanitario",	10,"Durango","2022","9,792","4,315","5,274","194","9",
"Número_de_personal_sanitario",	11,"Guanajuato","2022","30,990","13,142","17,399","417","32",
"Número_de_personal_sanitario",	12,"Guerrero","2022","19,491","7,711","11,178","592","10",
"Número_de_personal_sanitario",	13,"Hidalgo","2022","15,818","6,658","8,817","314","29",
"Número_de_personal_sanitario",	14,"Jalisco","2022","53,270","27,087","25,608","564","11",
"Número_de_personal_sanitario",	15,"México","2022","71,187","31,436","38,328","1,393","30",
"Número_de_personal_sanitario",	16,"Michoacán_de_Ocampo","2022","21,829","9,664","11,566","533","66",
"Número_de_personal_sanitario",	17,"Morelos","2022","9,304","4,018","5,128","158","0",
"Número_de_personal_sanitario",	18,"Nayarit","2022","7,701","3,282","4,258","160","1",
"Número_de_personal_sanitario",	19,"Nuevo_León","2022","49,403","30,212","18,882","294","15",
"Número_de_personal_sanitario",	20,"Oaxaca","2022","18,890","7,918","10,415","537","20",
"Número_de_personal_sanitario",	21,"Puebla","2022","27,633","12,659","14,391","524","59",
"Número_de_personal_sanitario",	22,"Querétaro","2022","12,419","6,252","5,980","187","0",
"Número_de_personal_sanitario",	23,"Quintana_Roo","2022","8,552","3,319","5,091","141","1",
"Número_de_personal_sanitario",	24,"San_Luis_Potosí","2022","15,739","7,800","7,689","249","1",
"Número_de_personal_sanitario",	25,"Sinaloa","2022","19,395","9,064","9,987","340","4",
"Número_de_personal_sanitario",	26,"Sonora","2022","19,810","9,337","10,280","191","2",
"Número_de_personal_sanitario",	27,"Tabasco","2022","16,206","7,244","8,482","431","49",
"Número_de_personal_sanitario",	28,"Tamaulipas","2022","23,126","10,088","12,745","276","17",
"Número_de_personal_sanitario",	29,"Tlaxcala","2022","6,744","2,868","3,631","162","83",
"Número_de_personal_sanitario",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","36,782","15,193","20,706","841","42",
"Número_de_personal_sanitario",	31,"Yucatán","2022","15,024","6,812","8,030","181","1",
"Número_de_personal_sanitario",	32,"Zacatecas","2022","9,517","4,086","5,263","168","0",
"Número_de_personal_sanitario",	00,"Estados_Unidos_Mexicanos","2021","715,611","324,292","379,306","11,497","516",
"Número_de_personal_sanitario",	01,"Aguascalientes","2021","9,277","4,059","5,130","88","0",
"Número_de_personal_sanitario",	02,"Baja_California","2021","18,638","8,942","9,456","233","7",
"Número_de_personal_sanitario",	03,"Baja_California_Sur","2021","5,211","2,503","2,650","58","0",
"Número_de_personal_sanitario",	04,"Campeche","2021","5,571","2,304","3,151","111","5",
"Número_de_personal_sanitario",	05,"Coahuila_de_Zaragoza","2021","18,544","7,580","10,780","169","15",
"Número_de_personal_sanitario",	06,"Colima","2021","5,185","2,325","2,800","60","0",
"Número_de_personal_sanitario",	07,"Chiapas","2021","23,247","8,453","14,358","410","26",
"Número_de_personal_sanitario",	08,"Chihuahua","2021","24,248","10,876","13,128","243","1",
"Número_de_personal_sanitario",	09,"Ciudad_de_México","2021","102,251","44,842","55,935","1,406","68",
"Número_de_personal_sanitario",	10,"Durango","2021","9,796","4,463","5,127","176","30",
"Número_de_personal_sanitario",	11,"Guanajuato","2021","30,744","13,026","17,257","436","25",
"Número_de_personal_sanitario",	12,"Guerrero","2021","19,578","7,768","11,213","585","12",
"Número_de_personal_sanitario",	13,"Hidalgo","2021","15,620","6,728","8,554","308","30",
"Número_de_personal_sanitario",	14,"Jalisco","2021","50,307","25,098","24,640","556","13",
"Número_de_personal_sanitario",	15,"México","2021","69,534","30,491","37,600","1,416","27",
"Número_de_personal_sanitario",	16,"Michoacán_de_Ocampo","2021","21,624","9,760","11,303","510","51",
"Número_de_personal_sanitario",	17,"Morelos","2021","9,154","3,963","5,036","155","0",
"Número_de_personal_sanitario",	18,"Nayarit","2021","7,366","3,149","4,038","176","3",
"Número_de_personal_sanitario",	19,"Nuevo_León","2021","48,632","29,261","19,065","292","14",
"Número_de_personal_sanitario",	20,"Oaxaca","2021","17,801","7,376","9,954","454","17",
"Número_de_personal_sanitario",	21,"Puebla","2021","26,842","12,043","14,273","515","11",
"Número_de_personal_sanitario",	22,"Querétaro","2021","12,051","5,925","5,938","188","0",
"Número_de_personal_sanitario",	23,"Quintana_Roo","2021","8,137","3,085","4,911","139","2",
"Número_de_personal_sanitario",	24,"San_Luis_Potosí","2021","15,741","7,801","7,678","260","2",
"Número_de_personal_sanitario",	25,"Sinaloa","2021","17,946","8,056","9,577","312","1",
"Número_de_personal_sanitario",	26,"Sonora","2021","18,870","8,897","9,798","173","2",
"Número_de_personal_sanitario",	27,"Tabasco","2021","14,813","6,770","7,582","416","45",
"Número_de_personal_sanitario",	28,"Tamaulipas","2021","21,933","9,528","12,101","290","14",
"Número_de_personal_sanitario",	29,"Tlaxcala","2021","6,141","2,745","3,214","148","34",
"Número_de_personal_sanitario",	30,"Veracruz_de_Ignacio_de_la_Llave","2021","35,446","14,842","19,695","860","49",
"Número_de_personal_sanitario",	31,"Yucatán","2021","14,977","6,775","8,022","175","5",
"Número_de_personal_sanitario",	32,"Zacatecas","2021","10,386","4,858","5,342","179","7",
"Número_de_personal_sanitario",	00,"Estados_Unidos_Mexicanos","2020","691,970","307,501","372,617","11,253","599",
"Número_de_personal_sanitario",	01,"Aguascalientes","2020","8,767","3,656","5,043","68","0",
"Número_de_personal_sanitario",	02,"Baja_California","2020","19,003","9,267","9,495","227","14",
"Número_de_personal_sanitario",	03,"Baja_California_Sur","2020","5,180","2,414","2,704","62","0",
"Número_de_personal_sanitario",	04,"Campeche","2020","5,601","2,349","3,134","115","3",
"Número_de_personal_sanitario",	05,"Coahuila_de_Zaragoza","2020","17,868","7,309","10,358","176","25",
"Número_de_personal_sanitario",	06,"Colima","2020","5,316","2,355","2,899","62","0",
"Número_de_personal_sanitario",	07,"Chiapas","2020","22,628","8,289","13,905","408","26",
"Número_de_personal_sanitario",	08,"Chihuahua","2020","23,315","10,398","12,713","203","1",
"Número_de_personal_sanitario",	09,"Ciudad_de_México","2020","97,548","42,485","53,520","1,443","100",
"Número_de_personal_sanitario",	10,"Durango","2020","9,169","4,020","4,961","176","12",
"Número_de_personal_sanitario",	11,"Guanajuato","2020","30,141","12,800","16,900","414","27",
"Número_de_personal_sanitario",	12,"Guerrero","2020","18,827","7,465","10,786","563","13",
"Número_de_personal_sanitario",	13,"Hidalgo","2020","15,089","6,485","8,250","306","48",
"Número_de_personal_sanitario",	14,"Jalisco","2020","47,502","23,290","23,654","538","20",
"Número_de_personal_sanitario",	15,"México","2020","69,805","30,240","38,082","1,442","41",
"Número_de_personal_sanitario",	16,"Michoacán_de_Ocampo","2020","21,557","9,498","11,505","536","18",
"Número_de_personal_sanitario",	17,"Morelos","2020","9,299","3,833","5,307","155","4",
"Número_de_personal_sanitario",	18,"Nayarit","2020","6,962","3,018","3,817","122","5",
"Número_de_personal_sanitario",	19,"Nuevo_León","2020","43,371","24,831","18,218","303","19",
"Número_de_personal_sanitario",	20,"Oaxaca","2020","17,768","7,321","9,986","442","19",
"Número_de_personal_sanitario",	21,"Puebla","2020","26,316","11,448","14,344","466","58",
"Número_de_personal_sanitario",	22,"Querétaro","2020","11,345","5,511","5,648","186","0",
"Número_de_personal_sanitario",	23,"Quintana_Roo","2020","8,092","3,141","4,811","138","2",
"Número_de_personal_sanitario",	24,"San_Luis_Potosí","2020","16,275","8,420","7,611","243","1",
"Número_de_personal_sanitario",	25,"Sinaloa","2020","16,867","7,340","9,226","294","7",
"Número_de_personal_sanitario",	26,"Sonora","2020","17,701","8,037","9,522","141","1",
"Número_de_personal_sanitario",	27,"Tabasco","2020","14,023","6,182","7,403","412","26",
"Número_de_personal_sanitario",	28,"Tamaulipas","2020","21,715","9,102","12,298","296","19",
"Número_de_personal_sanitario",	29,"Tlaxcala","2020","6,104","2,680","3,242","148","34",
"Número_de_personal_sanitario",	30,"Veracruz_de_Ignacio_de_la_Llave","2020","34,997","14,428","19,677","841","51",
"Número_de_personal_sanitario",	31,"Yucatán","2020","14,531","6,083","8,280","167","1",
"Número_de_personal_sanitario",	32,"Zacatecas","2020","9,288","3,806","5,318","160","4",
"Número_de_personal_sanitario",	00,"Estados_Unidos_Mexicanos","2019","683,530","309,418","360,417","13,139","556",
"Número_de_personal_sanitario",	01,"Aguascalientes","2019","8,243","3,272","4,874","97","0",
"Número_de_personal_sanitario",	02,"Baja_California","2019","18,132","8,847","8,975","288","22",
"Número_de_personal_sanitario",	03,"Baja_California_Sur","2019","4,955","2,319","2,550","86","0",
"Número_de_personal_sanitario",	04,"Campeche","2019","5,409","2,304","2,972","129","4",
"Número_de_personal_sanitario",	05,"Coahuila_de_Zaragoza","2019","17,416","7,186","9,949","265","16",
"Número_de_personal_sanitario",	06,"Colima","2019","5,060","2,294","2,690","76","0",
"Número_de_personal_sanitario",	07,"Chiapas","2019","21,955","7,788","13,727","427","13",
"Número_de_personal_sanitario",	08,"Chihuahua","2019","23,660","10,691","12,683","285","1",
"Número_de_personal_sanitario",	09,"Ciudad_de_México","2019","97,872","43,089","53,059","1,640","84",
"Número_de_personal_sanitario",	10,"Durango","2019","8,929","3,919","4,801","202","7",
"Número_de_personal_sanitario",	11,"Guanajuato","2019","29,394","12,522","16,357","488","27",
"Número_de_personal_sanitario",	12,"Guerrero","2019","18,369","7,285","10,455","616","13",
"Número_de_personal_sanitario",	13,"Hidalgo","2019","13,525","5,792","7,378","336","19",
"Número_de_personal_sanitario",	14,"Jalisco","2019","46,946","22,918","23,319","696","13",
"Número_de_personal_sanitario",	15,"México","2019","66,535","29,009","35,829","1,646","51",
"Número_de_personal_sanitario",	16,"Michoacán_de_Ocampo","2019","20,577","9,040","10,949","568","20",
"Número_de_personal_sanitario",	17,"Morelos","2019","9,243","3,934","5,136","173","0",
"Número_de_personal_sanitario",	18,"Nayarit","2019","6,317","2,617","3,518","181","1",
"Número_de_personal_sanitario",	19,"Nuevo_León","2019","51,150","32,668","18,023","442","17",
"Número_de_personal_sanitario",	20,"Oaxaca","2019","17,140","7,052","9,594","462","32",
"Número_de_personal_sanitario",	21,"Puebla","2019","27,180","11,836","14,698","577","69",
"Número_de_personal_sanitario",	22,"Querétaro","2019","11,088","5,284","5,581","223","0",
"Número_de_personal_sanitario",	23,"Quintana_Roo","2019","7,782","3,041","4,557","180","4",
"Número_de_personal_sanitario",	24,"San_Luis_Potosí","2019","15,583","7,991","7,333","258","1",
"Número_de_personal_sanitario",	25,"Sinaloa","2019","16,471","7,412","8,668","383","8",
"Número_de_personal_sanitario",	26,"Sonora","2019","18,195","8,211","9,761","218","5",
"Número_de_personal_sanitario",	27,"Tabasco","2019","13,478","6,162","6,889","397","30",
"Número_de_personal_sanitario",	28,"Tamaulipas","2019","21,197","8,997","11,812","357","31",
