"Serie","Periodo","Quintiles_de_Ingreso|Total_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|Total_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|Total_Cobertura_geografica|Rural","Quintiles_de_Ingreso|I_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|I_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|I_Cobertura_geografica|Rural","Quintiles_de_Ingreso|II_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|II_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|II_Cobertura_geografica|Rural","Quintiles_de_Ingreso|III_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|III_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|III_Cobertura_geografica|Rural","Quintiles_de_Ingreso|IV_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|IV_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|IV_Cobertura_geografica|Rural","Quintiles_de_Ingreso|V_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|V_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|V_Cobertura_geografica|Rural",
"Número_total_de_hogares","2024","38,830,230","31,277,112","7,553,118","7,765,966","4,457,390","3,308,576","7,765,682","5,919,002","1,846,680","7,766,157","6,570,379","1,195,778","7,765,968","6,988,092","777,876","7,766,457","7,342,249","424,208",
"Número_total_de_hogares","2022","37,560,123","28,948,564","8,611,559","7,511,986","4,245,595","3,266,391","7,511,618","5,435,925","2,075,693","7,512,238","6,026,990","1,485,248","7,512,256","6,420,924","1,091,332","7,512,025","6,819,130","692,895",
"Número_total_de_hogares","2020","35,745,792","28,059,412","7,686,380","7,148,892","4,254,385","2,894,507","7,149,416","5,297,374","1,852,042","7,148,856","5,803,037","1,345,819","7,149,236","6,171,543","977,693","7,149,392","6,533,073","616,319",
"Número_total_de_hogares","2018","34,400,515","26,494,641","7,905,874","6,879,418","3,639,876","3,239,542","6,880,553","4,988,905","1,891,648","6,880,255","5,575,958","1,304,297","6,879,949","5,938,915","941,034","6,880,340","6,350,987","529,353",
"Número_total_de_hogares","2016","32,974,661","25,851,931","7,122,730","6,594,562","3,570,688","3,023,874","6,595,201","4,819,392","1,775,809","6,594,953","5,457,697","1,137,256","6,594,711","5,845,216","749,495","6,595,234","6,158,938","436,296",
"Número_total_de_hogares","2014","31,671,002","24,705,710","6,965,292","6,334,030","3,259,103","3,074,927","6,333,199","4,683,041","1,650,158","6,333,542","5,194,214","1,139,328","6,336,015","5,592,412","743,603","6,334,216","5,976,940","357,276",
"Número_total_de_hogares","2012","31,559,379","24,641,294","6,918,085","6,308,435","3,209,730","3,098,705","6,314,085","4,648,986","1,665,099","6,310,196","5,197,626","1,112,570","6,313,412","5,639,320","674,092","6,313,251","5,945,632","367,619",
"Número_total_de_hogares","2010","29,556,772","23,242,996","6,313,776","5,911,087","3,129,953","2,781,134","5,911,404","4,411,976","1,499,428","5,910,856","4,986,379","924,477","5,911,927","5,255,157","656,770","5,911,498","5,459,531","451,967",
"Número_total_de_hogares","2008","27,874,625","21,903,875","5,970,750","5,574,388","2,758,199","2,816,189","5,574,621","4,124,206","1,450,415","5,575,057","4,715,272","859,785","5,574,191","5,042,008","532,183","5,576,368","5,264,190","312,178",
"Número_total_de_hogares","2006","27,445,356","21,343,952","6,101,404","5,483,453","2,887,325","2,596,128","5,494,184","4,048,483","1,445,701","5,489,136","4,498,702","990,434","5,489,024","4,849,602","639,422","5,489,559","5,059,840","429,719",
