"Serie","cvegeo","Cobertura","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_a_mitad_de_año",	00,"Estados_Unidos_Mexicanos","2024","132,274,416","64,705,498","67,568,918",
"Población_a_mitad_de_año",	01,"Aguascalientes","2024","1,530,185","750,016","780,169",
"Población_a_mitad_de_año",	02,"Baja_California","2024","4,071,872","2,066,457","2,005,415",
"Población_a_mitad_de_año",	03,"Baja_California_Sur","2024","886,050","452,039","434,011",
"Población_a_mitad_de_año",	04,"Campeche","2024","954,659","468,854","485,805",
"Población_a_mitad_de_año",	05,"Coahuila_de_Zaragoza","2024","3,358,991","1,676,558","1,682,433",
"Población_a_mitad_de_año",	06,"Colima","2024","762,387","377,465","384,922",
"Población_a_mitad_de_año",	07,"Chiapas","2024","6,028,154","2,944,274","3,083,880",
"Población_a_mitad_de_año",	08,"Chihuahua","2024","3,996,504","1,995,203","2,001,301",
"Población_a_mitad_de_año",	09,"Ciudad_de_México","2024","9,204,018","4,415,603","4,788,415",
"Población_a_mitad_de_año",	10,"Durango","2024","1,913,774","948,360","965,414",
"Población_a_mitad_de_año",	11,"Guanajuato","2024","6,481,538","3,149,907","3,331,631",
"Población_a_mitad_de_año",	12,"Guerrero","2024","3,606,733","1,736,442","1,870,291",
"Población_a_mitad_de_año",	13,"Hidalgo","2024","3,264,395","1,565,555","1,698,840",
"Población_a_mitad_de_año",	14,"Jalisco","2024","8,820,915","4,353,743","4,467,172",
"Población_a_mitad_de_año",	15,"México","2024","17,616,018","8,552,943","9,063,075",
"Población_a_mitad_de_año",	16,"Michoacán_de_Ocampo","2024","4,998,654","2,438,603","2,560,051",
"Población_a_mitad_de_año",	17,"Morelos","2024","2,043,884","987,825","1,056,059",
"Población_a_mitad_de_año",	18,"Nayarit","2024","1,309,432","649,254","660,178",
"Población_a_mitad_de_año",	19,"Nuevo_León","2024","6,308,199","3,167,035","3,141,164",
"Población_a_mitad_de_año",	20,"Oaxaca","2024","4,308,543","2,062,655","2,245,888",
"Población_a_mitad_de_año",	21,"Puebla","2024","6,989,402","3,367,332","3,622,070",
"Población_a_mitad_de_año",	22,"Querétaro","2024","2,606,698","1,277,831","1,328,867",
"Población_a_mitad_de_año",	23,"Quintana_Roo","2024","2,061,131","1,037,909","1,023,222",
"Población_a_mitad_de_año",	24,"San_Luis_Potosí","2024","2,955,841","1,438,039","1,517,802",
"Población_a_mitad_de_año",	25,"Sinaloa","2024","3,165,686","1,567,400","1,598,286",
"Población_a_mitad_de_año",	26,"Sonora","2024","3,111,704","1,565,871","1,545,833",
"Población_a_mitad_de_año",	27,"Tabasco","2024","2,461,555","1,201,686","1,259,869",
"Población_a_mitad_de_año",	28,"Tamaulipas","2024","3,717,618","1,839,984","1,877,634",
"Población_a_mitad_de_año",	29,"Tlaxcala","2024","1,430,497","692,634","737,863",
"Población_a_mitad_de_año",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","8,127,727","3,904,834","4,222,893",
"Población_a_mitad_de_año",	31,"Yucatán","2024","2,483,400","1,222,689","1,260,711",
"Población_a_mitad_de_año",	32,"Zacatecas","2024","1,698,252","830,498","867,754",
"Población_a_mitad_de_año",	00,"Estados_Unidos_Mexicanos","2023","131,135,337","64,138,153","66,997,184",
"Población_a_mitad_de_año",	01,"Aguascalientes","2023","1,510,839","740,446","770,393",
"Población_a_mitad_de_año",	02,"Baja_California","2023","4,010,510","2,033,452","1,977,058",
"Población_a_mitad_de_año",	03,"Baja_California_Sur","2023","867,766","442,704","425,062",
"Población_a_mitad_de_año",	04,"Campeche","2023","950,291","467,145","483,146",
"Población_a_mitad_de_año",	05,"Coahuila_de_Zaragoza","2023","3,316,738","1,654,677","1,662,061",
"Población_a_mitad_de_año",	06,"Colima","2023","757,405","374,929","382,476",
"Población_a_mitad_de_año",	07,"Chiapas","2023","5,946,352","2,905,814","3,040,538",
"Población_a_mitad_de_año",	08,"Chihuahua","2023","3,947,936","1,968,560","1,979,376",
"Población_a_mitad_de_año",	09,"Ciudad_de_México","2023","9,221,637","4,421,621","4,800,016",
"Población_a_mitad_de_año",	10,"Durango","2023","1,899,457","940,981","958,476",
