"Serie","cvegeo","Cobertura","Periodo","Enfermedades_transmitidas_por_vectores|Total_Sexo|Total","Enfermedades_transmitidas_por_vectores|Total_Sexo|Hombres","Enfermedades_transmitidas_por_vectores|Total_Sexo|Mujeres","Enfermedades_transmitidas_por_vectores|dengue_Sexo|Total","Enfermedades_transmitidas_por_vectores|dengue_Sexo|Hombres","Enfermedades_transmitidas_por_vectores|dengue_Sexo|Mujeres","Enfermedades_transmitidas_por_vectores|chagas_Sexo|Total","Enfermedades_transmitidas_por_vectores|chagas_Sexo|Hombres","Enfermedades_transmitidas_por_vectores|chagas_Sexo|Mujeres","Enfermedades_transmitidas_por_vectores|leishmaniasis_Sexo|Total","Enfermedades_transmitidas_por_vectores|leishmaniasis_Sexo|Hombres","Enfermedades_transmitidas_por_vectores|leishmaniasis_Sexo|Mujeres","Enfermedades_transmitidas_por_vectores|zika_Sexo|Total","Enfermedades_transmitidas_por_vectores|zika_Sexo|Hombres","Enfermedades_transmitidas_por_vectores|zika_Sexo|Mujeres",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	00,"Estados_Unidos_Mexicanos","2024","249.9","227.75","271.11","249.01","226.5","270.57","0.6","0.82","0.39","0.27","0.42","0.13","0.02","0.02","0.02",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	01,"Aguascalientes","2024","240.43","215.46","264.43","240.1","215.06","264.17","0.33","0.4","0.26","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	02,"Baja_California","2024","0.52","0.44","0.6","0.37","0.24","0.5","0.15","0.19","0.1","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	03,"Baja_California_Sur","2024","519.72","511.02","528.79","519.5","510.8","528.56","0.23","0.22","0.23","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	04,"Campeche","2024","184.04","178.52","189.38","181.95","175.32","188.35","0.73","0.85","0.62","1.36","2.35","0.41","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	05,"Coahuila_de_Zaragoza","2024","392.41","341.29","443.35","392.29","341.12","443.29","0.12","0.18","0.06","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	06,"Colima","2024","2,160.32","2,124.17","2,195.77","2,159.93","2,123.38","2,195.77","0.39","0.79","0","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	07,"Chiapas","2024","167.25","161.13","173.09","166.54","160.28","172.51","0.45","0.54","0.36","0.27","0.31","0.23","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	08,"Chihuahua","2024","7.76","6.97","8.54","7.73","6.92","8.54","0.03","0.05","0","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	09,"Ciudad_de_México","2024","0.3","0.45","0.17","0","0","0","0.2","0.23","0.17","0.11","0.23","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	10,"Durango","2024","124.36","106.92","141.49","124.31","106.82","141.49","0.05","0.11","0","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	11,"Guanajuato","2024","157.09","136.45","176.61","156.52","135.75","176.16","0.57","0.7","0.45","0","0","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	12,"Guerrero","2024","693.15","675","710","692.68","674.14","709.89","0.36","0.69","0.05","0","0","0","0.11","0.17","0.05",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	13,"Hidalgo","2024","74.81","62.79","85.88","73.37","60.55","85.18","1.41","2.24","0.65","0","0","0","0.03","0","0.06",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	14,"Jalisco","2024","702.66","611.96","791.06","702.23","611.4","790.75","0.42","0.53","0.31","0.01","0.02","0","0","0","0",
"Incidencia_de_casos_de_enfermedades_transmitidas_por_vectores,_por_sexo_y_entidad_federativa",	15,"México","2024","20.37","18.38","22.26","20.19","18.12","22.13","0.17","0.22","0.12","0.02","0.04","0","0","0","0",
