"Periodo","Estimación_de_personas_de_15_a_49_años_con_VIH_en_el_año",
"2022","68,536,755",
"2021","68,111,741",
"2020","67,649,043",
"2019","67,139,904",
"2018","66,605,053",
"2017","66,030,190",
"2016","65,414,749",
"2015","64,765,256",
"2014","64,074,061",
"2013","63,326,052",
"2012","62,535,771",
"2011","61,687,799",
"2010","60,778,036",
"2009","59,821,531",
"2008","58,819,630",
"2007","57,825,419",
"2006","56,872,275",
"2005","55,981,795",
"2004","55,142,500",
"2003","54,285,337",
"2002","53,388,350",
"2001","52,501,233",
"2000","51,617,924",
"1999","50,755,535",
"1998","49,817,821",
"1997","48,850,901",
"1996","47,865,743",
"1995","46,851,387",
"1994","45,804,780",
"1993","44,729,995",
"1992","43,629,268",
"1991","42,496,283",
"1990","41,348,986",
