"Periodo","Población_media_de_15_a_49_años_en_el_año",
"2022","292,248",
"2021","285,052",
"2020","277,411",
"2019","269,950",
"2018","262,512",
"2017","255,019",
"2016","247,372",
"2015","239,202",
"2014","231,157",
"2013","223,265",
"2012","214,942",
"2011","206,474",
"2010","198,102",
"2009","189,488",
"2008","180,613",
"2007","171,749",
"2006","163,101",
"2005","154,958",
"2004","147,140",
"2003","139,130",
"2002","131,178",
"2001","123,686",
"2000","116,465",
"1999","109,601",
"1998","102,815",
"1997","95,932",
"1996","89,071",
"1995","82,491",
"1994","76,746",
"1993","71,948",
"1992","67,821",
"1991","63,852",
"1990","57,948",
