"Periodo","Tasa_de_prevalencia_del_VIH/SIDA_entre_la_población_de_15_a_49_años",
"2022","0.42641",
"2021","0.41851",
"2020","0.41007",
"2019","0.40207",
"2018","0.39413",
"2017","0.38622",
"2016","0.37816",
"2015","0.36934",
"2014","0.36077",
"2013","0.35256",
"2012","0.34371",
"2011","0.33471",
"2010","0.32594",
"2009","0.31676",
"2008","0.30706",
"2007","0.29701",
"2006","0.28678",
"2005","0.2768",
"2004","0.26684",
"2003","0.25629",
"2002","0.24571",
"2001","0.23559",
"2000","0.22563",
"1999","0.21594",
"1998","0.20638",
"1997","0.19638",
"1996","0.18609",
"1995","0.17607",
"1994","0.16755",
"1993","0.16085",
"1992","0.15545",
"1991","0.15025",
"1990","0.14014",
