"Periodo","cvegeo","Entidad_federativa","Número_de_defunciones_por_VIH/SIDA",
"2022",	00,"Estados Unidos Mexicanos","4,805",
"2022",	01,"Aguascalientes","29",
"2022",	02,"Baja California","287",
"2022",	03,"Baja California Sur","38",
"2022",	04,"Campeche","95",
"2022",	05,"Coahuila de Zaragoza","72",
"2022",	06,"Colima","38",
"2022",	07,"Chiapas","269",
"2022",	08,"Chihuahua","148",
"2022",	09,"Ciudad de México","345",
"2022",	10,"Durango","34",
"2022",	11,"Guanajuato","92",
"2022",	12,"Guerrero","115",
"2022",	13,"Hidalgo","53",
"2022",	14,"Jalisco","395",
"2022",	15,"México","448",
"2022",	16,"Michoacán de Ocampo","98",
"2022",	17,"Morelos","108",
"2022",	18,"Nayarit","70",
"2022",	19,"Nuevo León","254",
"2022",	20,"Oaxaca","108",
"2022",	21,"Puebla","153",
"2022",	22,"Querétaro","63",
"2022",	23,"Quintana Roo","215",
"2022",	24,"San Luis Potosí","72",
"2022",	25,"Sinaloa","95",
"2022",	26,"Sonora","114",
"2022",	27,"Tabasco","92",
"2022",	28,"Tamaulipas","173",
"2022",	29,"Tlaxcala","7",
"2022",	30,"Veracruz de Ignacio de la Llave","590",
"2022",	31,"Yucatán","124",
"2022",	32,"Zacatecas","11",
"2021",	00,"Estados Unidos Mexicanos","4,615",
"2021",	01,"Aguascalientes","14",
"2021",	02,"Baja California","301",
"2021",	03,"Baja California Sur","52",
"2021",	04,"Campeche","75",
"2021",	05,"Coahuila de Zaragoza","86",
"2021",	06,"Colima","32",
"2021",	07,"Chiapas","236",
"2021",	08,"Chihuahua","111",
"2021",	09,"Ciudad de México","320",
"2021",	10,"Durango","31",
"2021",	11,"Guanajuato","93",
"2021",	12,"Guerrero","90",
"2021",	13,"Hidalgo","72",
"2021",	14,"Jalisco","368",
"2021",	15,"México","424",
"2021",	16,"Michoacán de Ocampo","93",
"2021",	17,"Morelos","85",
"2021",	18,"Nayarit","51",
"2021",	19,"Nuevo León","216",
"2021",	20,"Oaxaca","126",
"2021",	21,"Puebla","160",
"2021",	22,"Querétaro","65",
"2021",	23,"Quintana Roo","229",
"2021",	24,"San Luis Potosí","54",
"2021",	25,"Sinaloa","73",
"2021",	26,"Sonora","118",
"2021",	27,"Tabasco","107",
"2021",	28,"Tamaulipas","181",
"2021",	29,"Tlaxcala","15",
"2021",	30,"Veracruz de Ignacio de la Llave","592",
"2021",	31,"Yucatán","129",
"2021",	32,"Zacatecas","16",
"2020",	00,"Estados Unidos Mexicanos","4,522",
"2020",	01,"Aguascalientes","22",
"2020",	02,"Baja California","267",
"2020",	03,"Baja California Sur","55",
"2020",	04,"Campeche","70",
"2020",	05,"Coahuila de Zaragoza","62",
"2020",	06,"Colima","69",
"2020",	07,"Chiapas","242",
"2020",	08,"Chihuahua","96",
"2020",	09,"Ciudad de México","408",
"2020",	10,"Durango","27",
"2020",	11,"Guanajuato","87",
"2020",	12,"Guerrero","82",
"2020",	13,"Hidalgo","61",
"2020",	14,"Jalisco","337",
"2020",	15,"México","447",
"2020",	16,"Michoacán de Ocampo","68",
"2020",	17,"Morelos","81",
"2020",	18,"Nayarit","60",
"2020",	19,"Nuevo León","201",
"2020",	20,"Oaxaca","97",
"2020",	21,"Puebla","134",
"2020",	22,"Querétaro","65",
"2020",	23,"Quintana Roo","192",
"2020",	24,"San Luis Potosí","62",
"2020",	25,"Sinaloa","73",
"2020",	26,"Sonora","113",
"2020",	27,"Tabasco","128",
"2020",	28,"Tamaulipas","197",
"2020",	29,"Tlaxcala","14",
"2020",	30,"Veracruz de Ignacio de la Llave","568",
"2020",	31,"Yucatán","118",
"2020",	32,"Zacatecas","19",
"2019",	00,"Estados Unidos Mexicanos","5,253",
"2019",	01,"Aguascalientes","41",
"2019",	02,"Baja California","303",
"2019",	03,"Baja California Sur","51",
"2019",	04,"Campeche","94",
"2019",	05,"Coahuila de Zaragoza","85",
"2019",	06,"Colima","61",
"2019",	07,"Chiapas","277",
"2019",	08,"Chihuahua","152",
"2019",	09,"Ciudad de México","371",
"2019",	10,"Durango","31",
"2019",	11,"Guanajuato","113",
"2019",	12,"Guerrero","109",
"2019",	13,"Hidalgo","72",
"2019",	14,"Jalisco","368",
"2019",	15,"México","492",
"2019",	16,"Michoacán de Ocampo","94",
"2019",	17,"Morelos","82",
"2019",	18,"Nayarit","71",
"2019",	19,"Nuevo León","196",
"2019",	20,"Oaxaca","133",
"2019",	21,"Puebla","186",
"2019",	22,"Querétaro","67",
"2019",	23,"Quintana Roo","198",
"2019",	24,"San Luis Potosí","66",
"2019",	25,"Sinaloa","97",
"2019",	26,"Sonora","146",
"2019",	27,"Tabasco","167",
"2019",	28,"Tamaulipas","220",
"2019",	29,"Tlaxcala","19",
"2019",	30,"Veracruz de Ignacio de la Llave","703",
"2019",	31,"Yucatán","159",
"2019",	32,"Zacatecas","29",
"2018",	00,"Estados Unidos Mexicanos","4,975",
"2018",	01,"Aguascalientes","24",
"2018",	02,"Baja California","283",
"2018",	03,"Baja California Sur","33",
"2018",	04,"Campeche","88",
"2018",	05,"Coahuila de Zaragoza","80",
"2018",	06,"Colima","69",
"2018",	07,"Chiapas","229",
"2018",	08,"Chihuahua","136",
"2018",	09,"Ciudad de México","409",
"2018",	10,"Durango","42",
"2018",	11,"Guanajuato","114",
"2018",	12,"Guerrero","133",
"2018",	13,"Hidalgo","73",
"2018",	14,"Jalisco","361",
"2018",	15,"México","460",
"2018",	16,"Michoacán de Ocampo","64",
"2018",	17,"Morelos","89",
"2018",	18,"Nayarit","64",
"2018",	19,"Nuevo León","128",
"2018",	20,"Oaxaca","98",
"2018",	21,"Puebla","182",
"2018",	22,"Querétaro","69",
"2018",	23,"Quintana Roo","168",
"2018",	24,"San Luis Potosí","76",
"2018",	25,"Sinaloa","89",
"2018",	26,"Sonora","154",
"2018",	27,"Tabasco","206",
"2018",	28,"Tamaulipas","215",
"2018",	29,"Tlaxcala","15",
"2018",	30,"Veracruz de Ignacio de la Llave","686",
"2018",	31,"Yucatán","118",
"2018",	32,"Zacatecas","20",
"2017",	00,"Estados Unidos Mexicanos","4,676",
"2017",	01,"Aguascalientes","13",
"2017",	02,"Baja California","270",
"2017",	03,"Baja California Sur","37",
"2017",	04,"Campeche","84",
"2017",	05,"Coahuila de Zaragoza","90",
"2017",	06,"Colima","55",
"2017",	07,"Chiapas","242",
"2017",	08,"Chihuahua","124",
"2017",	09,"Ciudad de México","292",
"2017",	10,"Durango","29",
"2017",	11,"Guanajuato","100",
"2017",	12,"Guerrero","123",
"2017",	13,"Hidalgo","58",
"2017",	14,"Jalisco","298",
"2017",	15,"México","401",
"2017",	16,"Michoacán de Ocampo","74",
"2017",	17,"Morelos","93",
"2017",	18,"Nayarit","71",
"2017",	19,"Nuevo León","207",
"2017",	20,"Oaxaca","104",
"2017",	21,"Puebla","179",
"2017",	22,"Querétaro","54",
"2017",	23,"Quintana Roo","170",
"2017",	24,"San Luis Potosí","78",
"2017",	25,"Sinaloa","89",
"2017",	26,"Sonora","140",
"2017",	27,"Tabasco","201",
"2017",	28,"Tamaulipas","191",
"2017",	29,"Tlaxcala","16",
"2017",	30,"Veracruz de Ignacio de la Llave","666",
"2017",	31,"Yucatán","108",
"2017",	32,"Zacatecas","19",
"2016",	00,"Estados Unidos Mexicanos","4,628",
"2016",	01,"Aguascalientes","30",
"2016",	02,"Baja California","278",
"2016",	03,"Baja California Sur","36",
"2016",	04,"Campeche","79",
"2016",	05,"Coahuila de Zaragoza","70",
"2016",	06,"Colima","44",
"2016",	07,"Chiapas","283",
"2016",	08,"Chihuahua","121",
"2016",	09,"Ciudad de México","347",
"2016",	10,"Durango","34",
"2016",	11,"Guanajuato","100",
"2016",	12,"Guerrero","137",
"2016",	13,"Hidalgo","48",
"2016",	14,"Jalisco","249",
"2016",	15,"México","424",
"2016",	16,"Michoacán de Ocampo","71",
"2016",	17,"Morelos","88",
"2016",	18,"Nayarit","60",
"2016",	19,"Nuevo León","199",
"2016",	20,"Oaxaca","104",
"2016",	21,"Puebla","203",
"2016",	22,"Querétaro","53",
"2016",	23,"Quintana Roo","142",
"2016",	24,"San Luis Potosí","55",
"2016",	25,"Sinaloa","85",
"2016",	26,"Sonora","107",
"2016",	27,"Tabasco","195",
"2016",	28,"Tamaulipas","186",
"2016",	29,"Tlaxcala","21",
"2016",	30,"Veracruz de Ignacio de la Llave","647",
"2016",	31,"Yucatán","116",
"2016",	32,"Zacatecas","16",
"2015",	00,"Estados Unidos Mexicanos","4,751",
"2015",	01,"Aguascalientes","22",
"2015",	02,"Baja California","260",
"2015",	03,"Baja California Sur","38",
"2015",	04,"Campeche","79",
"2015",	05,"Coahuila de Zaragoza","67",
"2015",	06,"Colima","58",
"2015",	07,"Chiapas","230",
"2015",	08,"Chihuahua","160",
"2015",	09,"Ciudad de México","363",
"2015",	10,"Durango","35",
"2015",	11,"Guanajuato","101",
"2015",	12,"Guerrero","167",
"2015",	13,"Hidalgo","39",
"2015",	14,"Jalisco","229",
"2015",	15,"México","417",
"2015",	16,"Michoacán de Ocampo","97",
"2015",	17,"Morelos","86",
"2015",	18,"Nayarit","68",
"2015",	19,"Nuevo León","187",
"2015",	20,"Oaxaca","97",
"2015",	21,"Puebla","176",
"2015",	22,"Querétaro","54",
"2015",	23,"Quintana Roo","150",
"2015",	24,"San Luis Potosí","65",
"2015",	25,"Sinaloa","82",
"2015",	26,"Sonora","117",
"2015",	27,"Tabasco","248",
"2015",	28,"Tamaulipas","202",
"2015",	29,"Tlaxcala","29",
"2015",	30,"Veracruz de Ignacio de la Llave","700",
"2015",	31,"Yucatán","115",
"2015",	32,"Zacatecas","13",
"2014",	00,"Estados Unidos Mexicanos","4,807",
"2014",	01,"Aguascalientes","27",
"2014",	02,"Baja California","223",
"2014",	03,"Baja California Sur","52",
"2014",	04,"Campeche","79",
"2014",	05,"Coahuila de Zaragoza","70",
"2014",	06,"Colima","48",
"2014",	07,"Chiapas","232",
"2014",	08,"Chihuahua","135",
"2014",	09,"Ciudad de México","373",
"2014",	10,"Durango","55",
"2014",	11,"Guanajuato","89",
"2014",	12,"Guerrero","174",
"2014",	13,"Hidalgo","40",
"2014",	14,"Jalisco","237",
"2014",	15,"México","388",
"2014",	16,"Michoacán de Ocampo","85",
"2014",	17,"Morelos","91",
"2014",	18,"Nayarit","79",
"2014",	19,"Nuevo León","212",
"2014",	20,"Oaxaca","149",
"2014",	21,"Puebla","181",
"2014",	22,"Querétaro","51",
"2014",	23,"Quintana Roo","153",
"2014",	24,"San Luis Potosí","79",
"2014",	25,"Sinaloa","80",
"2014",	26,"Sonora","119",
"2014",	27,"Tabasco","263",
"2014",	28,"Tamaulipas","200",
"2014",	29,"Tlaxcala","18",
"2014",	30,"Veracruz de Ignacio de la Llave","681",
"2014",	31,"Yucatán","117",
"2014",	32,"Zacatecas","27",
"2013",	00,"Estados Unidos Mexicanos","4,975",
"2013",	01,"Aguascalientes","34",
"2013",	02,"Baja California","275",
"2013",	03,"Baja California Sur","40",
"2013",	04,"Campeche","63",
