"Periodo","cvegeo","Entidad_federativa","Mortalidad_por_VIH/SIDA,_desglosada_por_sexo",
"2022",	00,"Estados Unidos Mexicanos","3.69727",
"2022",	01,"Aguascalientes","1.94484",
"2022",	02,"Baja California","7.26913",
"2022",	03,"Baja California Sur","4.47467",
"2022",	04,"Campeche","10.04818",
"2022",	05,"Coahuila de Zaragoza","2.19938",
"2022",	06,"Colima","5.05153",
"2022",	07,"Chiapas","4.58819",
"2022",	08,"Chihuahua","3.79655",
"2022",	09,"Ciudad de México","3.73472",
"2022",	10,"Durango","1.8044",
"2022",	11,"Guanajuato","1.44636",
"2022",	12,"Guerrero","3.19449",
"2022",	13,"Hidalgo","1.66127",
"2022",	14,"Jalisco","4.56754",
"2022",	15,"México","2.57773",
"2022",	16,"Michoacán de Ocampo","1.99939",
"2022",	17,"Morelos","5.35428",
"2022",	18,"Nayarit","5.47472",
"2022",	19,"Nuevo León","4.16701",
"2022",	20,"Oaxaca","2.54445",
"2022",	21,"Puebla","2.24183",
"2022",	22,"Querétaro","2.51175",
"2022",	23,"Quintana Roo","10.87418",
"2022",	24,"San Luis Potosí","2.47784",
"2022",	25,"Sinaloa","3.04637",
"2022",	26,"Sonora","3.73625",
"2022",	27,"Tabasco","3.75941",
"2022",	28,"Tamaulipas","4.73626",
"2022",	29,"Tlaxcala","0.50179",
"2022",	30,"Veracruz de Ignacio de la Llave","7.25419",
"2022",	31,"Yucatán","5.12312",
"2022",	32,"Zacatecas","0.65964",
"2021",	00,"Estados Unidos Mexicanos","3.57799",
"2021",	01,"Aguascalientes","0.95067",
"2021",	02,"Baja California","7.73794",
"2021",	03,"Baja California Sur","6.25126",
"2021",	04,"Campeche","7.96446",
"2021",	05,"Coahuila de Zaragoza","2.66019",
"2021",	06,"Colima","4.27627",
"2021",	07,"Chiapas","4.07913",
"2021",	08,"Chihuahua","2.8817",
"2021",	09,"Ciudad de México","3.45101",
"2021",	10,"Durango","1.65759",
"2021",	11,"Guanajuato","1.47409",
"2021",	12,"Guerrero","2.50116",
"2021",	13,"Hidalgo","2.27996",
"2021",	14,"Jalisco","4.29232",
"2021",	15,"México","2.45214",
"2021",	16,"Michoacán de Ocampo","1.91256",
"2021",	17,"Morelos","4.23249",
"2021",	18,"Nayarit","4.03184",
"2021",	19,"Nuevo León","3.60186",
"2021",	20,"Oaxaca","2.98484",
"2021",	21,"Puebla","2.36734",
"2021",	22,"Querétaro","2.6394",
"2021",	23,"Quintana Roo","11.82416",
"2021",	24,"San Luis Potosí","1.87124",
"2021",	25,"Sinaloa","2.35718",
"2021",	26,"Sonora","3.90193",
"2021",	27,"Tabasco","4.3821",
"2021",	28,"Tamaulipas","4.99733",
"2021",	29,"Tlaxcala","1.08646",
"2021",	30,"Veracruz de Ignacio de la Llave","7.26721",
"2021",	31,"Yucatán","5.39568",
"2021",	32,"Zacatecas","0.96653",
"2020",	00,"Estados Unidos Mexicanos","3.52705",
"2020",	01,"Aguascalientes","1.51094",
