"Periodo","cvegeo","Entidad_federativa","Mujeres_en_edad_fértil_(15_a_49_años)_sexualmente_activas_que_desean_espaciar_o_limitar_el_nacimiento_de_próximos_hijos(as),_pero_no_hacen_uso_de_método_anticonceptivo_alguno",
"2023",	00,"Estados Unidos Mexicanos","2,268,041",
"2023",	01,"Aguascalientes","26,935",
"2023",	02,"Baja California","67,425",
"2023",	03,"Baja California Sur","15,459",
"2023",	04,"Campeche","22,352",
"2023",	05,"Coahuila de Zaragoza","53,113",
"2023",	06,"Colima","13,628",
"2023",	07,"Chiapas","112,404",
"2023",	08,"Chihuahua","70,946",
"2023",	09,"Ciudad de México","140,982",
"2023",	10,"Durango","29,125",
"2023",	11,"Guanajuato","127,814",
"2023",	12,"Guerrero","57,661",
"2023",	13,"Hidalgo","46,763",
"2023",	14,"Jalisco","160,143",
"2023",	15,"México","286,213",
"2023",	16,"Michoacán de Ocampo","91,342",
"2023",	17,"Morelos","38,678",
"2023",	18,"Nayarit","20,528",
"2023",	19,"Nuevo León","118,619",
"2023",	20,"Oaxaca","66,389",
"2023",	21,"Puebla","122,972",
"2023",	22,"Querétaro","50,327",
"2023",	23,"Quintana Roo","41,207",
"2023",	24,"San Luis Potosí","46,905",
"2023",	25,"Sinaloa","39,096",
"2023",	26,"Sonora","45,878",
"2023",	27,"Tabasco","51,872",
"2023",	28,"Tamaulipas","74,835",
"2023",	29,"Tlaxcala","22,984",
"2023",	30,"Veracruz de Ignacio de la Llave","139,048",
"2023",	31,"Yucatán","45,598",
"2023",	32,"Zacatecas","20,800",
"2018",	00,"Estados Unidos Mexicanos","2,085,797",
"2018",	01,"Aguascalientes","25,588",
"2018",	02,"Baja California","55,740",
"2018",	03,"Baja California Sur","15,035",
"2018",	04,"Campeche","22,339",
"2018",	05,"Coahuila de Zaragoza","49,193",
"2018",	06,"Colima","14,824",
"2018",	07,"Chiapas","117,071",
"2018",	08,"Chihuahua","64,139",
"2018",	09,"Ciudad de México","104,255",
"2018",	10,"Durango","30,111",
"2018",	11,"Guanajuato","102,412",
"2018",	12,"Guerrero","68,874",
"2018",	13,"Hidalgo","40,086",
"2018",	14,"Jalisco","146,148",
"2018",	15,"México","261,325",
"2018",	16,"Michoacán de Ocampo","79,745",
"2018",	17,"Morelos","29,238",
"2018",	18,"Nayarit","21,751",
"2018",	19,"Nuevo León","97,346",
"2018",	20,"Oaxaca","75,105",
"2018",	21,"Puebla","128,703",
"2018",	22,"Querétaro","38,454",
"2018",	23,"Quintana Roo","38,933",
"2018",	24,"San Luis Potosí","40,829",
"2018",	25,"Sinaloa","40,194",
"2018",	26,"Sonora","38,847",
"2018",	27,"Tabasco","45,972",
"2018",	28,"Tamaulipas","73,314",
"2018",	29,"Tlaxcala","22,680",
"2018",	30,"Veracruz de Ignacio de la Llave","127,196",
"2018",	31,"Yucatán","39,742",
"2018",	32,"Zacatecas","30,608",
"2014",	00,"Estados Unidos Mexicanos","1,824,986",
"2014",	01,"Aguascalientes","20,112",
"2014",	02,"Baja California","55,059",
"2014",	03,"Baja California Sur","13,264",
"2014",	04,"Campeche","16,822",
"2014",	05,"Coahuila de Zaragoza","48,766",
"2014",	06,"Colima","12,583",
"2014",	07,"Chiapas","103,147",
"2014",	08,"Chihuahua","56,628",
"2014",	09,"Ciudad de México","120,813",
"2014",	10,"Durango","28,066",
"2014",	11,"Guanajuato","111,812",
"2014",	12,"Guerrero","58,935",
"2014",	13,"Hidalgo","41,117",
"2014",	14,"Jalisco","115,078",
"2014",	15,"México","202,728",
