"Periodo","cvegeo","Entidad_federativa","Total_de_mujeres_de_15_a_19_años",
"2023",	00,"Estados Unidos Mexicanos","5,321,859",
"2023",	01,"Aguascalientes","70,483",
"2023",	02,"Baja California","137,875",
"2023",	03,"Baja California Sur","32,116",
"2023",	04,"Campeche","37,049",
"2023",	05,"Coahuila de Zaragoza","132,876",
"2023",	06,"Colima","27,315",
"2023",	07,"Chiapas","243,673",
"2023",	08,"Chihuahua","168,069",
"2023",	09,"Ciudad de México","307,890",
"2023",	10,"Durango","76,419",
"2023",	11,"Guanajuato","252,598",
"2023",	12,"Guerrero","140,779",
"2023",	13,"Hidalgo","135,630",
"2023",	14,"Jalisco","366,341",
"2023",	15,"México","755,951",
"2023",	16,"Michoacán de Ocampo","229,849",
"2023",	17,"Morelos","78,354",
"2023",	18,"Nayarit","56,176",
"2023",	19,"Nuevo León","232,928",
"2023",	20,"Oaxaca","182,734",
"2023",	21,"Puebla","286,292",
"2023",	22,"Querétaro","114,481",
"2023",	23,"Quintana Roo","80,014",
"2023",	24,"San Luis Potosí","126,330",
"2023",	25,"Sinaloa","127,099",
"2023",	26,"Sonora","135,288",
"2023",	27,"Tabasco","108,886",
"2023",	28,"Tamaulipas","157,912",
"2023",	29,"Tlaxcala","62,504",
"2023",	30,"Veracruz de Ignacio de la Llave","296,275",
"2023",	31,"Yucatán","93,372",
"2023",	32,"Zacatecas","68,301",
"2018",	00,"Estados Unidos Mexicanos","5,477,027",
"2018",	01,"Aguascalientes","64,455",
"2018",	02,"Baja California","166,829",
"2018",	03,"Baja California Sur","32,943",
"2018",	04,"Campeche","39,541",
"2018",	05,"Coahuila de Zaragoza","146,310",
"2018",	06,"Colima","34,477",
"2018",	07,"Chiapas","250,614",
"2018",	08,"Chihuahua","157,069",
"2018",	09,"Ciudad de México","328,826",
"2018",	10,"Durango","89,117",
"2018",	11,"Guanajuato","299,490",
"2018",	12,"Guerrero","172,098",
"2018",	13,"Hidalgo","117,837",
"2018",	14,"Jalisco","361,022",
"2018",	15,"México","768,164",
"2018",	16,"Michoacán de Ocampo","210,364",
"2018",	17,"Morelos","83,915",
"2018",	18,"Nayarit","51,394",
"2018",	19,"Nuevo León","241,865",
"2018",	20,"Oaxaca","165,598",
"2018",	21,"Puebla","324,411",
"2018",	22,"Querétaro","95,843",
"2018",	23,"Quintana Roo","68,477",
"2018",	24,"San Luis Potosí","128,055",
"2018",	25,"Sinaloa","135,697",
"2018",	26,"Sonora","134,571",
"2018",	27,"Tabasco","102,127",
"2018",	28,"Tamaulipas","157,624",
"2018",	29,"Tlaxcala","64,409",
"2018",	30,"Veracruz de Ignacio de la Llave","318,944",
"2018",	31,"Yucatán","97,778",
"2018",	32,"Zacatecas","67,163",
"2014",	00,"Estados Unidos Mexicanos","5,334,837",
"2014",	01,"Aguascalientes","59,336",
"2014",	02,"Baja California","158,060",
"2014",	03,"Baja California Sur","30,382",
"2014",	04,"Campeche","41,973",
"2014",	05,"Coahuila de Zaragoza","124,779",
"2014",	06,"Colima","31,170",
"2014",	07,"Chiapas","251,475",
"2014",	08,"Chihuahua","154,292",
"2014",	09,"Ciudad de México","280,376",
"2014",	10,"Durango","85,300",
"2014",	11,"Guanajuato","303,362",
"2014",	12,"Guerrero","177,092",
"2014",	13,"Hidalgo","123,351",
"2014",	14,"Jalisco","377,652",
"2014",	15,"México","733,337",
"2014",	16,"Michoacán de Ocampo","225,265",
"2014",	17,"Morelos","85,212",
"2014",	18,"Nayarit","50,110",
"2014",	19,"Nuevo León","212,410",
"2014",	20,"Oaxaca","174,646",
"2014",	21,"Puebla","296,052",
"2014",	22,"Querétaro","89,205",
"2014",	23,"Quintana Roo","74,144",
"2014",	24,"San Luis Potosí","120,011",
"2014",	25,"Sinaloa","145,364",
"2014",	26,"Sonora","125,887",
"2014",	27,"Tabasco","100,783",
"2014",	28,"Tamaulipas","141,645",
"2014",	29,"Tlaxcala","57,782",
"2014",	30,"Veracruz de Ignacio de la Llave","342,382",
"2014",	31,"Yucatán","95,327",
"2014",	32,"Zacatecas","66,675",
