"Periodo","cvegeo","Entidad_federativa","Porcentaje_de_mujeres_de_15_a_19_años_que_son_madres",
"2023",	00,"Estados Unidos Mexicanos","7.7318470857646",
"2023",	01,"Aguascalientes","6.1958202687173",
"2023",	02,"Baja California","4.4402538531278",
"2023",	03,"Baja California Sur","6.149582762486",
"2023",	04,"Campeche","7.9219412129882",
"2023",	05,"Coahuila de Zaragoza","9.9799813359824",
"2023",	06,"Colima","7.9114039904814",
"2023",	07,"Chiapas","13.9178325050375",
"2023",	08,"Chihuahua","5.8684230881364",
"2023",	09,"Ciudad de México","4.4791971158531",
"2023",	10,"Durango","9.4740836702914",
"2023",	11,"Guanajuato","8.9917576544549",
"2023",	12,"Guerrero","13.1795225140113",
"2023",	13,"Hidalgo","7.1643441716434",
"2023",	14,"Jalisco","6.1603806289768",
"2023",	15,"México","5.5813141327943",
"2023",	16,"Michoacán de Ocampo","10.7714194971481",
"2023",	17,"Morelos","6.4310692498149",
"2023",	18,"Nayarit","8.8738963258331",
"2023",	19,"Nuevo León","7.3554918258003",
"2023",	20,"Oaxaca","11.3142600720172",
"2023",	21,"Puebla","9.2503458007908",
"2023",	22,"Querétaro","6.5312147867332",
"2023",	23,"Quintana Roo","7.4986877296473",
"2023",	24,"San Luis Potosí","8.3709332700071",
"2023",	25,"Sinaloa","8.1550602286407",
"2023",	26,"Sonora","6.3841582401987",
"2023",	27,"Tabasco","8.762375328325",
"2023",	28,"Tamaulipas","6.3750696590506",
"2023",	29,"Tlaxcala","8.5322539357481",
"2023",	30,"Veracruz de Ignacio de la Llave","6.5867859252384",
"2023",	31,"Yucatán","8.1469819646147",
"2023",	32,"Zacatecas","8.6601953119281",
"2018",	00,"Estados Unidos Mexicanos","12.2479403515813",
"2018",	01,"Aguascalientes","12.3264292917539",
"2018",	02,"Baja California","10.6198562600028",
"2018",	03,"Baja California Sur","12.8282184379079",
"2018",	04,"Campeche","12.7462633721959",
"2018",	05,"Coahuila de Zaragoza","14.8028159387602",
"2018",	06,"Colima","10.2793166458799",
"2018",	07,"Chiapas","16.0541709561317",
"2018",	08,"Chihuahua","15.9172083606568",
"2018",	09,"Ciudad de México","7.9412820154124",
"2018",	10,"Durango","12.9582459014554",
"2018",	11,"Guanajuato","11.2401081839127",
"2018",	12,"Guerrero","14.9391625701635",
"2018",	13,"Hidalgo","11.0169131936489",
"2018",	14,"Jalisco","13.8357219227637",
"2018",	15,"México","10.5148119412001",
"2018",	16,"Michoacán de Ocampo","16.5132817402217",
"2018",	17,"Morelos","11.1553357564202",
"2018",	18,"Nayarit","13.0365412304938",
"2018",	19,"Nuevo León","9.33413267732",
"2018",	20,"Oaxaca","13.2803536274593",
"2018",	21,"Puebla","12.7720699976265",
"2018",	22,"Querétaro","9.4696534958213",
"2018",	23,"Quintana Roo","7.488645822685",
"2018",	24,"San Luis Potosí","11.046034906876",
"2018",	25,"Sinaloa","11.3657634288157",
"2018",	26,"Sonora","10.4762541706608",
"2018",	27,"Tabasco","14.7874705024137",
"2018",	28,"Tamaulipas","9.4281327716591",
"2018",	29,"Tlaxcala","14.0803303886103",
"2018",	30,"Veracruz de Ignacio de la Llave","15.8143749372931",
"2018",	31,"Yucatán","10.5780441408088",
"2018",	32,"Zacatecas","15.2405342227119",
"2014",	00,"Estados Unidos Mexicanos","12.9068610718566",
"2014",	01,"Aguascalientes","11.4551031414318",
"2014",	02,"Baja California","11.7518663798558",
"2014",	03,"Baja California Sur","14.7258245013495",
"2014",	04,"Campeche","13.9184713982798",
"2014",	05,"Coahuila de Zaragoza","21.4603418844517",
"2014",	06,"Colima","11.9217196021816",
"2014",	07,"Chiapas","16.4994532259668",
"2014",	08,"Chihuahua","13.4388043450082",
"2014",	09,"Ciudad de México","10.8604160127828",
"2014",	10,"Durango","16.9882766705744",
"2014",	11,"Guanajuato","15.2959170891542",
"2014",	12,"Guerrero","16.6794660402503",
"2014",	13,"Hidalgo","13.8580149329961",
"2014",	14,"Jalisco","10.7077415186468",
"2014",	15,"México","11.5360332289248",
"2014",	16,"Michoacán de Ocampo","15.5128404323796",
"2014",	17,"Morelos","15.6644604046378",
"2014",	18,"Nayarit","20.5128716822989",
"2014",	19,"Nuevo León","11.5394755425827",
"2014",	20,"Oaxaca","13.9218762525337",
"2014",	21,"Puebla","11.5020334265602",
"2014",	22,"Querétaro","8.5880836275994",
"2014",	23,"Quintana Roo","10.8383685800604",
"2014",	24,"San Luis Potosí","10.3973802401447",
"2014",	25,"Sinaloa","12.4927767535291",
"2014",	26,"Sonora","11.982968853019",
"2014",	27,"Tabasco","11.7281684411061",
"2014",	28,"Tamaulipas","13.2486144939814",
"2014",	29,"Tlaxcala","13.6772697379807",
"2014",	30,"Veracruz de Ignacio de la Llave","10.3825551576894",
"2014",	31,"Yucatán","11.1773159755368",
"2014",	32,"Zacatecas","14.3667041619798",
