"Serie","cvegeo","Entidad_federativa/municipio","Periodo","Población_que_finalizó_el_nivel_de_enseñanza|Total","Población_que_finalizó_el_nivel_de_enseñanza|Hombres","Población_que_finalizó_el_nivel_de_enseñanza|Mujeres","Población_que_finalizó_el_nivel_de_enseñanza|Habla_lengua_indígena","Población_que_finalizó_el_nivel_de_enseñanza|Afrodescendientes","Población_que_finalizó_el_nivel_de_enseñanza|Nacidos_en_México","Población_que_finalizó_el_nivel_de_enseñanza|Nacidos_fuera_de_México","Población_que_finalizó_el_nivel_de_enseñanza|Nacida_en_Estados_Unidos_de_América","Población_que_finalizó_el_nivel_de_enseñanza|Nacida_en_la_República_de_Guatemala","Población_que_finalizó_el_nivel_de_enseñanza|Nacida_en_la_República_Bolivariana_de_Venezuela","Población_que_finalizó_el_nivel_de_enseñanza|Nacida_en_otro_país","Población_que_finalizó_el_nivel_de_enseñanza|Nacida_en_otro_país_no_especificado","Población_que_finalizó_el_nivel_de_enseñanza|No_especificado_de_lugar_de_nacimiento","Población_que_finalizó_el_nivel_de_enseñanza|Retornados","Población_que_finalizó_el_nivel_de_enseñanza|En_marzo_de_2015_residía_en_la_entidad","Población_que_finalizó_el_nivel_de_enseñanza|En_marzo_de_2015_residía_en_otra_entidad","Población_que_finalizó_el_nivel_de_enseñanza|En_marzo_de_2015_residía_en_otro_país","Población_que_finalizó_el_nivel_de_enseñanza|Con_discapacidad","Población_que_finalizó_el_nivel_de_enseñanza|Residentes_de_albergues_para_migrantes",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	00,"Estados_Unidos_Mexicanos","2020","59.39739","57.779418","61.003355","34.95958","59.443184","59.398651","66.74906","70.987761","14.281886","88.170347","65.350996","52.727273","19.723375","64.587753","59.519482","58.813068","64.353297","42.511492","14.705882",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01,"Aguascalientes","2020","60.96371","58.434248","63.478819","48.201439","64.506405","60.820677","75.618812","72.972973","100","100","85.087719","100","34.375","75.206612","60.467415","68.627451","81.333333","41.172914","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01001,"Aguascalientes","2020","64.635509","62.416004","66.844776","50.485437","69.205298","64.470762","81.454545","78.947368","100","100","86.666667","100","25","85.714286","63.998335","73.019146","88.425926","42.924086","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01002,"Asientos","2020","51.8974","49.965302","53.879004","NA","54.545455","51.875442","50","47.058824","NA","NA","100","NA","100","50","52.513562","28.378378","57.142857","41.538462","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01003,"Calvillo","2020","45.906736","38.91558","52.990264","66.666667","47.058824","45.509194","62.686567","62.686567","NA","NA","NA","NA","NA","54.545455","45.57872","52.808989","59.090909","17.5","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01004,"Cosío","2020","57.489451","56.302521","58.686441","NA","56.034483","57.47614","60","60","NA","NA","NA","NA","NA","NA","57.543103","55","NA","53.333333","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01005,"Jesús_María","2020","56.726049","52.405207","60.973574","66.666667","55.414013","56.511859","75.308642","74.666667","NA","NA","83.333333","NA","57.142857","70","56.105805","69","86.363636","40.740741","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01006,"Pabellón_de_Arteaga","2020","57.586076","55.780781","59.42029","66.666667","56.666667","57.604563","53.846154","53.846154","NA","NA","NA","NA","NA","50","57.735556","52.542373","40","45.454545","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01007,"Rincón_de_Romos","2020","58.299595","55.862069","60.705446","33.333333","52.631579","58.419567","42.857143","44.444444","100","NA","0","NA","0","57.142857","58.84058","41.935484","46.153846","43.055556","NA",
"Índice_de_finalización_de_enseñanza_preparatoria_(Media_superior),_por_desglose_geográfico",	01008,"San_José_de_Gracia","2020","56.338028","50.462963","60.854093","20","54.545455","56.477733","33.333333","33.333333","NA","NA","NA","NA","NA","100","56.17284","55.555556","100","63.636364","NA",
