"Periodo","cvegeo","Entidad_federativa","Porcentaje_de_población_que_alcanza_por_lo_menos_un_nivel_fijo_de_competencia_funcional_en_alfabetización_-_Hombres",
"2024",	00,"Estados Unidos Mexicanos","99.12903259",
"2024",	01,"Aguascalientes","99.50960212",
"2024",	02,"Baja California","99.38950144",
"2024",	03,"Baja California Sur","99.39842902",
"2024",	04,"Campeche","98.92417273",
"2024",	05,"Coahuila de Zaragoza","99.6252673",
"2024",	06,"Colima","99.10933424",
"2024",	07,"Chiapas","97.43869854",
"2024",	08,"Chihuahua","98.93532141",
"2024",	09,"Ciudad de México","99.67685729",
"2024",	10,"Durango","99.42045329",
"2024",	11,"Guanajuato","99.20280511",
"2024",	12,"Guerrero","98.29800427",
"2024",	13,"Hidalgo","99.40446425",
"2024",	14,"Jalisco","99.18616241",
"2024",	15,"México","99.52913029",
"2024",	16,"Michoacán de Ocampo","98.67974569",
"2024",	17,"Morelos","99.08695728",
"2024",	18,"Nayarit","99.02246329",
"2024",	19,"Nuevo León","99.62922856",
"2024",	20,"Oaxaca","98.70960085",
"2024",	21,"Puebla","98.92486197",
"2024",	22,"Querétaro","99.4957773",
"2024",	23,"Quintana Roo","99.27924851",
"2024",	24,"San Luis Potosí","99.3721622",
"2024",	25,"Sinaloa","99.0883987",
"2024",	26,"Sonora","99.54691431",
"2024",	27,"Tabasco","98.97978736",
"2024",	28,"Tamaulipas","99.41429191",
"2024",	29,"Tlaxcala","99.43098772",
"2024",	30,"Veracruz de Ignacio de la Llave","98.50349433",
"2024",	31,"Yucatán","99.14111016",
"2024",	32,"Zacatecas","99.47780502",
"2023",	00,"Estados Unidos Mexicanos","99.10713695",
"2023",	01,"Aguascalientes","99.50989173",
"2023",	02,"Baja California","99.402381",
"2023",	03,"Baja California Sur","99.38015973",
"2023",	04,"Campeche","98.88905329",
"2023",	05,"Coahuila de Zaragoza","99.62246787",
"2023",	06,"Colima","99.0947561",
"2023",	07,"Chiapas","97.24727137",
"2023",	08,"Chihuahua","98.9184275",
"2023",	09,"Ciudad de México","99.68358388",
"2023",	10,"Durango","99.40237505",
"2023",	11,"Guanajuato","99.20762443",
"2023",	12,"Guerrero","98.17842359",
"2023",	13,"Hidalgo","99.36804618",
"2023",	14,"Jalisco","99.17995734",
"2023",	15,"México","99.52494",
"2023",	16,"Michoacán de Ocampo","98.62281274",
"2023",	17,"Morelos","99.07571699",
"2023",	18,"Nayarit","98.95697764",
"2023",	19,"Nuevo León","99.63260998",
"2023",	20,"Oaxaca","98.56357536",
"2023",	21,"Puebla","98.89997471",
"2023",	22,"Querétaro","99.50159941",
"2023",	23,"Quintana Roo","99.28486984",
"2023",	24,"San Luis Potosí","99.33877143",
"2023",	25,"Sinaloa","99.0838474",
"2023",	26,"Sonora","99.52567487",
"2023",	27,"Tabasco","98.9093608",
"2023",	28,"Tamaulipas","99.39582096",
"2023",	29,"Tlaxcala","99.42398979",
"2023",	30,"Veracruz de Ignacio de la Llave","98.43695839",
"2023",	31,"Yucatán","99.15844402",
"2023",	32,"Zacatecas","99.44541447",
"2022",	00,"Estados Unidos Mexicanos","99.08077648",
"2022",	01,"Aguascalientes","99.49372998",
"2022",	02,"Baja California","99.38753432",
"2022",	03,"Baja California Sur","99.36638399",
"2022",	04,"Campeche","98.86399336",
"2022",	05,"Coahuila de Zaragoza","99.59619482",
"2022",	06,"Colima","99.07214543",
"2022",	07,"Chiapas","97.15141491",
"2022",	08,"Chihuahua","98.88974433",
"2022",	09,"Ciudad de México","99.67890892",
"2022",	10,"Durango","99.37066769",
"2022",	11,"Guanajuato","99.18812579",
"2022",	12,"Guerrero","98.11915533",
"2022",	13,"Hidalgo","99.34783839",
"2022",	14,"Jalisco","99.16121003",
"2022",	15,"México","99.51429988",
"2022",	16,"Michoacán de Ocampo","98.58302026",
"2022",	17,"Morelos","99.05224402",
"2022",	18,"Nayarit","98.92242797",
"2022",	19,"Nuevo León","99.62541551",
"2022",	20,"Oaxaca","98.51893351",
"2022",	21,"Puebla","98.86475668",
"2022",	22,"Querétaro","99.4851846",
"2022",	23,"Quintana Roo","99.26415565",
"2022",	24,"San Luis Potosí","99.30362956",
"2022",	25,"Sinaloa","99.05590007",
"2022",	26,"Sonora","99.49616248",
"2022",	27,"Tabasco","98.86659789",
"2022",	28,"Tamaulipas","99.38084298",
"2022",	29,"Tlaxcala","99.41033056",
"2022",	30,"Veracruz de Ignacio de la Llave","98.39998282",
"2022",	31,"Yucatán","99.13862796",
"2022",	32,"Zacatecas","99.42199459",
"2021",	00,"Estados Unidos Mexicanos","99.05089411",
"2021",	01,"Aguascalientes","99.47461897",
"2021",	02,"Baja California","99.37514652",
"2021",	03,"Baja California Sur","99.3503937",
"2021",	04,"Campeche","98.83536195",
