"Periodo","cvegeo","Entidad_federativa","Índice_de_paridad_(entre_mujeres_y_hombres)_del_porcentaje_de_población_en_un_grupo_de_edad_determinado_que_alcanza_por_lo_menos_un_nivel_fijo_de_competencia_funcional_en_alfabetización",
"2024",	00,"Estados Unidos Mexicanos","1.0014284735284",
"2024",	01,"Aguascalientes","1.0020640646513",
"2024",	02,"Baja California","1.0017761796909",
"2024",	03,"Baja California Sur","1.0019540896175",
"2024",	04,"Campeche","1.0029445308874",
"2024",	05,"Coahuila de Zaragoza","1.0013344191491",
"2024",	06,"Colima","1.0031134615964",
"2024",	07,"Chiapas","0.9927916786021",
"2024",	08,"Chihuahua","1.0005708758816",
"2024",	09,"Ciudad de México","1.0005930440645",
"2024",	10,"Durango","1.0012638321924",
"2024",	11,"Guanajuato","1.0027666575317",
"2024",	12,"Guerrero","1.0012561241946",
"2024",	13,"Hidalgo","1.0013058053348",
"2024",	14,"Jalisco","1.0030298930384",
"2024",	15,"México","1.0009655961061",
"2024",	16,"Michoacán de Ocampo","1.0044351900492",
"2024",	17,"Morelos","1.002663398306",
"2024",	18,"Nayarit","1.0014810542519",
"2024",	19,"Nuevo León","1.0012663130191",
"2024",	20,"Oaxaca","1.0014707201666",
"2024",	21,"Puebla","1.0022073508832",
"2024",	22,"Querétaro","1.0012776085352",
"2024",	23,"Quintana Roo","1.0007568302867",
"2024",	24,"San Luis Potosí","1.0022390475325",
"2024",	25,"Sinaloa","1.003098239293",
"2024",	26,"Sonora","1.0018995134079",
"2024",	27,"Tabasco","1.0028678025151",
"2024",	28,"Tamaulipas","1.0018438864092",
"2024",	29,"Tlaxcala","1.0019853080657",
"2024",	30,"Veracruz de Ignacio de la Llave","1.0035662858943",
"2024",	31,"Yucatán","1.0025949082287",
"2024",	32,"Zacatecas","1.0015474536734",
"2023",	00,"Estados Unidos Mexicanos","1.0015936583813",
"2023",	01,"Aguascalientes","1.0021142317993",
"2023",	02,"Baja California","1.0018132069931",
"2023",	03,"Baja California Sur","1.0020560620035",
"2023",	04,"Campeche","1.0032636727167",
"2023",	05,"Coahuila de Zaragoza","1.0013790423119",
"2023",	06,"Colima","1.0032891972349",
"2023",	07,"Chiapas","0.9932216508819",
"2023",	08,"Chihuahua","1.0008036765651",
"2023",	09,"Ciudad de México","1.0006078629481",
"2023",	10,"Durango","1.0013597060583",
"2023",	11,"Guanajuato","1.0028286759711",
"2023",	12,"Guerrero","1.0020061480515",
"2023",	13,"Hidalgo","1.0014454878555",
"2023",	14,"Jalisco","1.0031640711658",
"2023",	15,"México","1.0010068498017",
"2023",	16,"Michoacán de Ocampo","1.0048630010038",
"2023",	17,"Morelos","1.0028606081485",
"2023",	18,"Nayarit","1.0017406604569",
"2023",	19,"Nuevo León","1.0012888848902",
"2023",	20,"Oaxaca","1.0020975109193",
"2023",	21,"Puebla","1.0024447256299",
"2023",	22,"Querétaro","1.0013354209967",
"2023",	23,"Quintana Roo","1.0008594529013",
"2023",	24,"San Luis Potosí","1.0024447279033",
"2023",	25,"Sinaloa","1.0032295415916",
"2023",	26,"Sonora","1.002037121056",
