"Serie","cvegeo","Entidad_federativa","Periodo","Profesorado|nivel_preescolar","Profesorado|nivel_primaria","Profesorado|nivel_secundaria",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	00,"Estados_Unidos_Mexicanos","2024","63.14171884","90.61051622","85.52423925",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	01,"Aguascalientes","2024","55.55555556","96.05522682","91.73674589",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	02,"Baja_California","2024","80","96.99546485","90.97159399",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	03,"Baja_California_Sur","2024","75","96.73267327","86.06375093",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	04,"Campeche","2024","79.10447761","97.20207254","88.93861893",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	05,"Coahuila_de_Zaragoza","2024","89.01098901","95.53199546","81.94364577",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	06,"Colima","2024","85.71428571","94.14466131","81.42076503",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	07,"Chiapas","2024","39.53947368","81.18065605","83.67207903",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	08,"Chihuahua","2024","60.31746032","92.80785563","81.82013769",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	09,"Ciudad_de_México","2024","84.41558442","98.14054054","85.13310688",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	10,"Durango","2024","63.37209302","93.31735889","82.68712978",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	11,"Guanajuato","2024","68.32579186","93.86024423","91.8644849",
"Proporción_del_profesorado_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_exigida_para_impartir_enseñanza_-_Hombres",	12,"Guerrero","2024","73.14285714","91.04697227","86.05356241",
