"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_energía_eléctrica",	00,"Estados_Unidos_Mexicanos","2024","82,721","35,580","118,301","19,214",
"Escuelas_con_energía_eléctrica",	01,"Aguascalientes","2024","680","365","1,045","255",
"Escuelas_con_energía_eléctrica",	02,"Baja_California","2024","1,583","658","2,241","377",
"Escuelas_con_energía_eléctrica",	03,"Baja_California_Sur","2024","381","191","572","142",
"Escuelas_con_energía_eléctrica",	04,"Campeche","2024","667","277","944","143",
"Escuelas_con_energía_eléctrica",	05,"Coahuila_de_Zaragoza","2024","1,770","625","2,395","1,014",
"Escuelas_con_energía_eléctrica",	06,"Colima","2024","468","180","648","507",
"Escuelas_con_energía_eléctrica",	07,"Chiapas","2024","6,214","2,030","8,244","580",
"Escuelas_con_energía_eléctrica",	08,"Chihuahua","2024","2,316","834","3,150","615",
"Escuelas_con_energía_eléctrica",	09,"Ciudad_de_México","2024","2,869","1,297","4,166","159",
"Escuelas_con_energía_eléctrica",	10,"Durango","2024","1,719","797","2,516","344",
"Escuelas_con_energía_eléctrica",	11,"Guanajuato","2024","3,994","1,748","5,742","1,132",
"Escuelas_con_energía_eléctrica",	12,"Guerrero","2024","3,910","1,617","5,527","769",
"Escuelas_con_energía_eléctrica",	13,"Hidalgo","2024","2,714","1,167","3,881","520",
"Escuelas_con_energía_eléctrica",	14,"Jalisco","2024","5,140","1,843","6,983","1,013",
"Escuelas_con_energía_eléctrica",	15,"México","2024","7,355","3,721","11,076","2,099",
"Escuelas_con_energía_eléctrica",	16,"Michoacán_de_Ocampo","2024","4,537","1,552","6,089","675",
"Escuelas_con_energía_eléctrica",	17,"Morelos","2024","1,188","550","1,738","308",
"Escuelas_con_energía_eléctrica",	18,"Nayarit","2024","971","531","1,502","212",
"Escuelas_con_energía_eléctrica",	19,"Nuevo_León","2024","2,556","1,069","3,625","517",
"Escuelas_con_energía_eléctrica",	20,"Oaxaca","2024","2,865","1,519","4,384","719",
"Escuelas_con_energía_eléctrica",	21,"Puebla","2024","4,108","2,207","6,315","1,665",
"Escuelas_con_energía_eléctrica",	22,"Querétaro","2024","1,346","537","1,883","308",
"Escuelas_con_energía_eléctrica",	23,"Quintana_Roo","2024","863","427","1,290","286",
