"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_conexión_a_internet",	00,"Estados_Unidos_Mexicanos","2024","40,366","20,734","61,100","11,734",
"Escuelas_con_conexión_a_internet",	01,"Aguascalientes","2024","638","353","991","162",
"Escuelas_con_conexión_a_internet",	02,"Baja_California","2024","1,394","600","1,994","325",
"Escuelas_con_conexión_a_internet",	03,"Baja_California_Sur","2024","309","148","457","93",
"Escuelas_con_conexión_a_internet",	04,"Campeche","2024","465","190","655","105",
"Escuelas_con_conexión_a_internet",	05,"Coahuila_de_Zaragoza","2024","1,109","469","1,578","393",
"Escuelas_con_conexión_a_internet",	06,"Colima","2024","325","130","455","319",
"Escuelas_con_conexión_a_internet",	07,"Chiapas","2024","968","479","1,447","506",
"Escuelas_con_conexión_a_internet",	08,"Chihuahua","2024","1,051","455","1,506","363",
"Escuelas_con_conexión_a_internet",	09,"Ciudad_de_México","2024","2,164","1,106","3,270","100",
"Escuelas_con_conexión_a_internet",	10,"Durango","2024","758","392","1,150","191",
"Escuelas_con_conexión_a_internet",	11,"Guanajuato","2024","2,413","1,308","3,721","731",
"Escuelas_con_conexión_a_internet",	12,"Guerrero","2024","942","453","1,395","258",
"Escuelas_con_conexión_a_internet",	13,"Hidalgo","2024","1,059","537","1,596","372",
"Escuelas_con_conexión_a_internet",	14,"Jalisco","2024","4,632","1,695","6,327","834",
"Escuelas_con_conexión_a_internet",	15,"México","2024","3,854","2,458","6,312","1,372",
"Escuelas_con_conexión_a_internet",	16,"Michoacán_de_Ocampo","2024","1,505","602","2,107","430",
"Escuelas_con_conexión_a_internet",	17,"Morelos","2024","839","452","1,291","215",
"Escuelas_con_conexión_a_internet",	18,"Nayarit","2024","523","281","804","113",
"Escuelas_con_conexión_a_internet",	19,"Nuevo_León","2024","1,207","701","1,908","375",
"Escuelas_con_conexión_a_internet",	20,"Oaxaca","2024","476","471","947","412",
"Escuelas_con_conexión_a_internet",	21,"Puebla","2024","1,667","1,275","2,942","764",
"Escuelas_con_conexión_a_internet",	22,"Querétaro","2024","1,163","497","1,660","246",
"Escuelas_con_conexión_a_internet",	23,"Quintana_Roo","2024","381","220","601","193",
"Escuelas_con_conexión_a_internet",	24,"San_Luis_Potosí","2024","946","566","1,512","365",
"Escuelas_con_conexión_a_internet",	25,"Sinaloa","2024","1,065","442","1,507","394",
"Escuelas_con_conexión_a_internet",	26,"Sonora","2024","1,339","595","1,934","299",
"Escuelas_con_conexión_a_internet",	27,"Tabasco","2024","356","218","574","191",
"Escuelas_con_conexión_a_internet",	28,"Tamaulipas","2024","1,861","716","2,577","350",
"Escuelas_con_conexión_a_internet",	29,"Tlaxcala","2024","488","277","765","155",
"Escuelas_con_conexión_a_internet",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","2,454","1,519","3,973","720",
