"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	00,"Estados_Unidos_Mexicanos","2024","41,180","25,827","67,007","15,615",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	01,"Aguascalientes","2024","575","353","928","225",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	02,"Baja_California","2024","1,182","571","1,753","345",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	03,"Baja_California_Sur","2024","267","161","428","102",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	04,"Campeche","2024","434","185","619","120",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	05,"Coahuila_de_Zaragoza","2024","775","475","1,250","797",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	06,"Colima","2024","300","136","436","422",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	07,"Chiapas","2024","1,203","903","2,106","557",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	08,"Chihuahua","2024","1,056","520","1,576","475",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	09,"Ciudad_de_México","2024","1,955","1,129","3,084","128",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	10,"Durango","2024","1,394","659","2,053","236",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	11,"Guanajuato","2024","2,171","1,488","3,659","968",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	12,"Guerrero","2024","1,725","999","2,724","588",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	13,"Hidalgo","2024","1,832","885","2,717","472",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	14,"Jalisco","2024","2,686","1,594","4,280","900",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	15,"México","2024","5,241","3,260","8,501","1,705",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	16,"Michoacán_de_Ocampo","2024","1,775","943","2,718","551",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	17,"Morelos","2024","758","449","1,207","253",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	18,"Nayarit","2024","559","382","941","141",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	19,"Nuevo_León","2024","1,027","752","1,779","427",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	20,"Oaxaca","2024","1,040","1,004","2,044","648",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	21,"Puebla","2024","2,197","1,819","4,016","1,362",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	22,"Querétaro","2024","676","464","1,140","275",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	23,"Quintana_Roo","2024","351","255","606","234",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	24,"San_Luis_Potosí","2024","1,368","1,221","2,589","323",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	25,"Sinaloa","2024","970","530","1,500","466",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	26,"Sonora","2024","1,124","564","1,688","325",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	27,"Tabasco","2024","419","307","726","291",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	28,"Tamaulipas","2024","1,261","637","1,898","420",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	29,"Tlaxcala","2024","571","320","891","175",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","2,535","1,664","4,199","1,192",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	31,"Yucatán","2024","717","417","1,134","256",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	32,"Zacatecas","2024","1,036","781","1,817","236",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	00,"Estados_Unidos_Mexicanos","2023","41,253","25,896","67,149","14,975",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	01,"Aguascalientes","2023","512","323","835","223",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	02,"Baja_California","2023","1,163","562","1,725","320",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	03,"Baja_California_Sur","2023","267","159","426","96",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	04,"Campeche","2023","386","191","577","103",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	05,"Coahuila_de_Zaragoza","2023","802","486","1,288","510",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	06,"Colima","2023","300","141","441","145",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	07,"Chiapas","2023","1,200","886","2,086","767",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	08,"Chihuahua","2023","1,090","537","1,627","446",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	09,"Ciudad_de_México","2023","2,036","1,129","3,165","515",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	10,"Durango","2023","1,337","648","1,985","205",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	11,"Guanajuato","2023","2,226","1,465","3,691","860",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	12,"Guerrero","2023","1,682","1,041","2,723","634",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	13,"Hidalgo","2023","1,795","875","2,670","428",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	14,"Jalisco","2023","2,616","1,593","4,209","922",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	15,"México","2023","5,454","3,296","8,750","1,517",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	16,"Michoacán_de_Ocampo","2023","1,875","943","2,818","552",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	17,"Morelos","2023","779","452","1,231","243",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	18,"Nayarit","2023","553","377","930","151",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	19,"Nuevo_León","2023","998","736","1,734","429",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	20,"Oaxaca","2023","1,103","1,096","2,199","667",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	21,"Puebla","2023","2,138","1,782","3,920","1,332",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	22,"Querétaro","2023","657","452","1,109","258",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	23,"Quintana_Roo","2023","367","270","637","197",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	24,"San_Luis_Potosí","2023","1,403","1,250","2,653","293",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	25,"Sinaloa","2023","858","543","1,401","433",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	26,"Sonora","2023","1,154","564","1,718","295",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	27,"Tabasco","2023","425","332","757","273",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	28,"Tamaulipas","2023","1,214","620","1,834","411",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	29,"Tlaxcala","2023","583","297","880","179",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","2,515","1,624","4,139","1,156",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	31,"Yucatán","2023","740","405","1,145","199",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	32,"Zacatecas","2023","1,025","821","1,846","216",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	00,"Estados_Unidos_Mexicanos","2022","40,161","25,122","65,283","14,531",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	01,"Aguascalientes","2022","540","316","856","224",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	02,"Baja_California","2022","1,156","544","1,700","316",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	03,"Baja_California_Sur","2022","247","150","397","97",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	04,"Campeche","2022","367","203","570","100",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	05,"Coahuila_de_Zaragoza","2022","808","489","1,297","492",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	06,"Colima","2022","300","125","425","141",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	07,"Chiapas","2022","1,193","871","2,064","671",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	08,"Chihuahua","2022","1,118","548","1,666","428",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	09,"Ciudad_de_México","2022","2,090","1,128","3,218","509",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	10,"Durango","2022","1,341","654","1,995","205",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	11,"Guanajuato","2022","2,155","1,460","3,615","868",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	12,"Guerrero","2022","1,585","959","2,544","582",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	13,"Hidalgo","2022","1,717","864","2,581","413",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	14,"Jalisco","2022","2,461","1,554","4,015","909",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	15,"México","2022","5,354","3,247","8,601","1,507",
"Escuelas_con_equipos_de_cómputo_en_funcionamiento",	16,"Michoacán_de_Ocampo","2022","1,734","851","2,585","535",
