"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_materiales_adaptados_para_discapacidad",	00,"Estados_Unidos_Mexicanos","2024","9,674","4,885","14,559","310",
"Escuelas_con_materiales_adaptados_para_discapacidad",	01,"Aguascalientes","2024","143","92","235","3",
"Escuelas_con_materiales_adaptados_para_discapacidad",	02,"Baja_California","2024","340","187","527","5",
"Escuelas_con_materiales_adaptados_para_discapacidad",	03,"Baja_California_Sur","2024","100","60","160","3",
"Escuelas_con_materiales_adaptados_para_discapacidad",	04,"Campeche","2024","102","49","151","3",
"Escuelas_con_materiales_adaptados_para_discapacidad",	05,"Coahuila_de_Zaragoza","2024","389","207","596","7",
"Escuelas_con_materiales_adaptados_para_discapacidad",	06,"Colima","2024","103","51","154","10",
"Escuelas_con_materiales_adaptados_para_discapacidad",	07,"Chiapas","2024","231","104","335","23",
"Escuelas_con_materiales_adaptados_para_discapacidad",	08,"Chihuahua","2024","170","129","299","8",
"Escuelas_con_materiales_adaptados_para_discapacidad",	09,"Ciudad_de_México","2024","759","343","1,102","2",
"Escuelas_con_materiales_adaptados_para_discapacidad",	10,"Durango","2024","199","86","285","2",
"Escuelas_con_materiales_adaptados_para_discapacidad",	11,"Guanajuato","2024","596","338","934","16",
"Escuelas_con_materiales_adaptados_para_discapacidad",	12,"Guerrero","2024","252","113","365","15",
"Escuelas_con_materiales_adaptados_para_discapacidad",	13,"Hidalgo","2024","230","145","375","8",
"Escuelas_con_materiales_adaptados_para_discapacidad",	14,"Jalisco","2024","575","317","892","26",
"Escuelas_con_materiales_adaptados_para_discapacidad",	15,"México","2024","780","394","1,174","16",
"Escuelas_con_materiales_adaptados_para_discapacidad",	16,"Michoacán_de_Ocampo","2024","317","144","461","15",
"Escuelas_con_materiales_adaptados_para_discapacidad",	17,"Morelos","2024","199","108","307","3",
"Escuelas_con_materiales_adaptados_para_discapacidad",	18,"Nayarit","2024","111","41","152","5",
"Escuelas_con_materiales_adaptados_para_discapacidad",	19,"Nuevo_León","2024","792","376","1,168","20",
"Escuelas_con_materiales_adaptados_para_discapacidad",	20,"Oaxaca","2024","130","62","192","1",
"Escuelas_con_materiales_adaptados_para_discapacidad",	21,"Puebla","2024","401","185","586","9",
"Escuelas_con_materiales_adaptados_para_discapacidad",	22,"Querétaro","2024","176","101","277","6",
"Escuelas_con_materiales_adaptados_para_discapacidad",	23,"Quintana_Roo","2024","115","74","189","3",
"Escuelas_con_materiales_adaptados_para_discapacidad",	24,"San_Luis_Potosí","2024","176","105","281","7",
"Escuelas_con_materiales_adaptados_para_discapacidad",	25,"Sinaloa","2024","369","164","533","14",
"Escuelas_con_materiales_adaptados_para_discapacidad",	26,"Sonora","2024","397","168","565","22",
"Escuelas_con_materiales_adaptados_para_discapacidad",	27,"Tabasco","2024","202","112","314","5",
"Escuelas_con_materiales_adaptados_para_discapacidad",	28,"Tamaulipas","2024","402","166","568","15",
"Escuelas_con_materiales_adaptados_para_discapacidad",	29,"Tlaxcala","2024","95","40","135","2",
"Escuelas_con_materiales_adaptados_para_discapacidad",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","352","202","554","27",
"Escuelas_con_materiales_adaptados_para_discapacidad",	31,"Yucatán","2024","283","111","394","5",
"Escuelas_con_materiales_adaptados_para_discapacidad",	32,"Zacatecas","2024","188","111","299","4",
"Escuelas_con_materiales_adaptados_para_discapacidad",	00,"Estados_Unidos_Mexicanos","2023","10,838","5,474","16,312","275",
"Escuelas_con_materiales_adaptados_para_discapacidad",	01,"Aguascalientes","2023","164","100","264","12",
"Escuelas_con_materiales_adaptados_para_discapacidad",	02,"Baja_California","2023","409","228","637","8",
"Escuelas_con_materiales_adaptados_para_discapacidad",	03,"Baja_California_Sur","2023","117","65","182","1",
"Escuelas_con_materiales_adaptados_para_discapacidad",	04,"Campeche","2023","104","53","157","3",
"Escuelas_con_materiales_adaptados_para_discapacidad",	05,"Coahuila_de_Zaragoza","2023","405","230","635","7",
"Escuelas_con_materiales_adaptados_para_discapacidad",	06,"Colima","2023","124","45","169","2",
"Escuelas_con_materiales_adaptados_para_discapacidad",	07,"Chiapas","2023","252","114","366","5",
"Escuelas_con_materiales_adaptados_para_discapacidad",	08,"Chihuahua","2023","174","111","285","9",
"Escuelas_con_materiales_adaptados_para_discapacidad",	09,"Ciudad_de_México","2023","814","366","1,180","21",
"Escuelas_con_materiales_adaptados_para_discapacidad",	10,"Durango","2023","228","79","307","6",
"Escuelas_con_materiales_adaptados_para_discapacidad",	11,"Guanajuato","2023","653","345","998","11",
"Escuelas_con_materiales_adaptados_para_discapacidad",	12,"Guerrero","2023","308","116","424","4",
"Escuelas_con_materiales_adaptados_para_discapacidad",	13,"Hidalgo","2023","275","144","419","9",
"Escuelas_con_materiales_adaptados_para_discapacidad",	14,"Jalisco","2023","555","329","884","27",
"Escuelas_con_materiales_adaptados_para_discapacidad",	15,"México","2023","1,001","474","1,475","21",
"Escuelas_con_materiales_adaptados_para_discapacidad",	16,"Michoacán_de_Ocampo","2023","336","225","561","11",
"Escuelas_con_materiales_adaptados_para_discapacidad",	17,"Morelos","2023","234","106","340","2",
"Escuelas_con_materiales_adaptados_para_discapacidad",	18,"Nayarit","2023","124","58","182","4",
"Escuelas_con_materiales_adaptados_para_discapacidad",	19,"Nuevo_León","2023","809","410","1,219","15",
"Escuelas_con_materiales_adaptados_para_discapacidad",	20,"Oaxaca","2023","135","70","205","6",
"Escuelas_con_materiales_adaptados_para_discapacidad",	21,"Puebla","2023","514","266","780","9",
"Escuelas_con_materiales_adaptados_para_discapacidad",	22,"Querétaro","2023","191","109","300","1",
"Escuelas_con_materiales_adaptados_para_discapacidad",	23,"Quintana_Roo","2023","118","85","203","5",
"Escuelas_con_materiales_adaptados_para_discapacidad",	24,"San_Luis_Potosí","2023","213","115","328","4",
"Escuelas_con_materiales_adaptados_para_discapacidad",	25,"Sinaloa","2023","387","195","582","11",
"Escuelas_con_materiales_adaptados_para_discapacidad",	26,"Sonora","2023","447","182","629","22",
"Escuelas_con_materiales_adaptados_para_discapacidad",	27,"Tabasco","2023","278","139","417","4",
"Escuelas_con_materiales_adaptados_para_discapacidad",	28,"Tamaulipas","2023","419","191","610","6",
"Escuelas_con_materiales_adaptados_para_discapacidad",	29,"Tlaxcala","2023","132","47","179","2",
"Escuelas_con_materiales_adaptados_para_discapacidad",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","412","209","621","23",
"Escuelas_con_materiales_adaptados_para_discapacidad",	31,"Yucatán","2023","305","137","442","4",
