"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	00,"Estados_Unidos_Mexicanos","2024","71,307","30,893","102,200","16,240",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	01,"Aguascalientes","2024","669","362","1,031","234",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	02,"Baja_California","2024","1,541","631","2,172","353",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	03,"Baja_California_Sur","2024","379","190","569","138",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	04,"Campeche","2024","596","246","842","120",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	05,"Coahuila_de_Zaragoza","2024","1,610","571","2,181","734",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	06,"Colima","2024","458","173","631","450",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	07,"Chiapas","2024","3,821","1,242","5,063","550",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	08,"Chihuahua","2024","2,017","731","2,748","525",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	09,"Ciudad_de_México","2024","2,808","1,259","4,067","139",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	10,"Durango","2024","1,430","683","2,113","303",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	11,"Guanajuato","2024","3,716","1,633","5,349","941",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	12,"Guerrero","2024","2,429","967","3,396","523",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	13,"Hidalgo","2024","2,416","1,046","3,462","455",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	14,"Jalisco","2024","4,897","1,792","6,689","918",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	15,"México","2024","6,837","3,475","10,312","1,883",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	16,"Michoacán_de_Ocampo","2024","3,946","1,369","5,315","578",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	17,"Morelos","2024","1,113","499","1,612","248",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	18,"Nayarit","2024","940","485","1,425","173",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	19,"Nuevo_León","2024","2,224","984","3,208","454",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	20,"Oaxaca","2024","4,109","1,887","5,996","534",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	21,"Puebla","2024","3,528","1,926","5,454","1,451",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	22,"Querétaro","2024","1,292","510","1,802","261",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	23,"Quintana_Roo","2024","865","420","1,285","245",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	24,"San_Luis_Potosí","2024","1,820","1,043","2,863","397",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	25,"Sinaloa","2024","1,867","757","2,624","486",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	26,"Sonora","2024","1,625","685","2,310","352",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	27,"Tabasco","2024","1,153","494","1,647","248",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	28,"Tamaulipas","2024","1,984","697","2,681","432",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	29,"Tlaxcala","2024","702","353","1,055","192",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","5,790","2,268","8,058","1,317",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	31,"Yucatán","2024","1,237","514","1,751","343",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	32,"Zacatecas","2024","1,488","1,001","2,489","263",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	00,"Estados_Unidos_Mexicanos","2023","71,229","30,873","102,102","15,788",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	01,"Aguascalientes","2023","675","362","1,037","248",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	02,"Baja_California","2023","1,538","625","2,163","329",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	03,"Baja_California_Sur","2023","375","192","567","114",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	04,"Campeche","2023","593","247","840","101",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	05,"Coahuila_de_Zaragoza","2023","1,619","562","2,181","530",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	06,"Colima","2023","455","178","633","153",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	07,"Chiapas","2023","3,812","1,211","5,023","671",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	08,"Chihuahua","2023","2,003","725","2,728","453",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	09,"Ciudad_de_México","2023","2,857","1,277","4,134","560",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	10,"Durango","2023","1,433","674","2,107","251",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	11,"Guanajuato","2023","3,749","1,627","5,376","880",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	12,"Guerrero","2023","2,389","968","3,357","502",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	13,"Hidalgo","2023","2,401","1,019","3,420","436",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	14,"Jalisco","2023","4,885","1,770","6,655","979",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	15,"México","2023","6,868","3,487","10,355","1,717",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	16,"Michoacán_de_Ocampo","2023","3,932","1,379","5,311","570",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	17,"Morelos","2023","1,118","496","1,614","270",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	18,"Nayarit","2023","928","487","1,415","216",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	19,"Nuevo_León","2023","2,248","993","3,241","463",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	20,"Oaxaca","2023","3,956","1,866","5,822","553",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	21,"Puebla","2023","3,613","1,956","5,569","1,407",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	22,"Querétaro","2023","1,268","503","1,771","259",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	23,"Quintana_Roo","2023","829","402","1,231","232",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	24,"San_Luis_Potosí","2023","1,808","1,056","2,864","369",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	25,"Sinaloa","2023","1,867","755","2,622","458",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	26,"Sonora","2023","1,635","689","2,324","337",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	27,"Tabasco","2023","1,229","521","1,750","245",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	28,"Tamaulipas","2023","1,950","690","2,640","432",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	29,"Tlaxcala","2023","708","352","1,060","214",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","5,767","2,264","8,031","1,311",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	31,"Yucatán","2023","1,242","522","1,764","293",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	32,"Zacatecas","2023","1,479","1,018","2,497","235",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	00,"Estados_Unidos_Mexicanos","2022","71,035","30,516","101,551","15,462",
"Escuelas_con_conexión_a_la_red_pública_de_agua",	01,"Aguascalientes","2022","676","358","1,034","251",
