"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_sanitarios_independientes",	00,"Estados_Unidos_Mexicanos","2024","80,266","35,197","115,463","17,770",
"Escuelas_con_sanitarios_independientes",	01,"Aguascalientes","2024","675","363","1,038","244",
"Escuelas_con_sanitarios_independientes",	02,"Baja_California","2024","1,572","658","2,230","365",
"Escuelas_con_sanitarios_independientes",	03,"Baja_California_Sur","2024","383","194","577","140",
"Escuelas_con_sanitarios_independientes",	04,"Campeche","2024","669","279","948","136",
"Escuelas_con_sanitarios_independientes",	05,"Coahuila_de_Zaragoza","2024","1,766","626","2,392","915",
"Escuelas_con_sanitarios_independientes",	06,"Colima","2024","456","179","635","453",
"Escuelas_con_sanitarios_independientes",	07,"Chiapas","2024","5,235","1,928","7,163","566",
"Escuelas_con_sanitarios_independientes",	08,"Chihuahua","2024","2,250","777","3,027","529",
"Escuelas_con_sanitarios_independientes",	09,"Ciudad_de_México","2024","2,783","1,233","4,016","142",
"Escuelas_con_sanitarios_independientes",	10,"Durango","2024","1,836","813","2,649","315",
"Escuelas_con_sanitarios_independientes",	11,"Guanajuato","2024","3,945","1,746","5,691","1,019",
"Escuelas_con_sanitarios_independientes",	12,"Guerrero","2024","3,582","1,565","5,147","647",
"Escuelas_con_sanitarios_independientes",	13,"Hidalgo","2024","2,654","1,170","3,824","487",
"Escuelas_con_sanitarios_independientes",	14,"Jalisco","2024","5,057","1,835","6,892","955",
"Escuelas_con_sanitarios_independientes",	15,"México","2024","7,434","3,739","11,173","2,019",
"Escuelas_con_sanitarios_independientes",	16,"Michoacán_de_Ocampo","2024","4,396","1,541","5,937","632",
"Escuelas_con_sanitarios_independientes",	17,"Morelos","2024","1,158","547","1,705","266",
"Escuelas_con_sanitarios_independientes",	18,"Nayarit","2024","962","524","1,486","178",
"Escuelas_con_sanitarios_independientes",	19,"Nuevo_León","2024","2,522","1,060","3,582","465",
"Escuelas_con_sanitarios_independientes",	20,"Oaxaca","2024","2,705","1,514","4,219","671",
"Escuelas_con_sanitarios_independientes",	21,"Puebla","2024","4,119","2,218","6,337","1,575",
"Escuelas_con_sanitarios_independientes",	22,"Querétaro","2024","1,338","532","1,870","291",
"Escuelas_con_sanitarios_independientes",	23,"Quintana_Roo","2024","857","423","1,280","271",
"Escuelas_con_sanitarios_independientes",	24,"San_Luis_Potosí","2024","2,477","1,449","3,926","430",
"Escuelas_con_sanitarios_independientes",	25,"Sinaloa","2024","2,102","886","2,988","508",
"Escuelas_con_sanitarios_independientes",	26,"Sonora","2024","1,672","712","2,384","362",
"Escuelas_con_sanitarios_independientes",	27,"Tabasco","2024","1,814","724","2,538","352",
"Escuelas_con_sanitarios_independientes",	28,"Tamaulipas","2024","2,128","777","2,905","429",
"Escuelas_con_sanitarios_independientes",	29,"Tlaxcala","2024","707","356","1,063","197",
"Escuelas_con_sanitarios_independientes",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","8,190","3,184","11,374","1,533",
"Escuelas_con_sanitarios_independientes",	31,"Yucatán","2024","1,263","576","1,839","412",
"Escuelas_con_sanitarios_independientes",	32,"Zacatecas","2024","1,559","1,069","2,628","266",
"Escuelas_con_sanitarios_independientes",	00,"Estados_Unidos_Mexicanos","2023","80,341","35,184","115,525","17,806",
"Escuelas_con_sanitarios_independientes",	01,"Aguascalientes","2023","674","362","1,036","266",
