"Serie","cvegeo","Entidad_federativa","Periodo","Educación_Básica|Primaria","Educación_Básica|Secundaria","Educación_Básica|Total","Educación_Media|Media_superior",
"Escuelas_con_lavabo_de_manos",	00,"Estados_Unidos_Mexicanos","2024","75,063","33,261","108,324","16,876",
"Escuelas_con_lavabo_de_manos",	01,"Aguascalientes","2024","660","362","1,022","250",
"Escuelas_con_lavabo_de_manos",	02,"Baja_California","2024","1,574","656","2,230","366",
"Escuelas_con_lavabo_de_manos",	03,"Baja_California_Sur","2024","383","197","580","139",
"Escuelas_con_lavabo_de_manos",	04,"Campeche","2024","623","270","893","133",
"Escuelas_con_lavabo_de_manos",	05,"Coahuila_de_Zaragoza","2024","1,648","613","2,261","735",
"Escuelas_con_lavabo_de_manos",	06,"Colima","2024","457","175","632","442",
"Escuelas_con_lavabo_de_manos",	07,"Chiapas","2024","3,660","1,506","5,166","541",
"Escuelas_con_lavabo_de_manos",	08,"Chihuahua","2024","2,230","814","3,044","524",
"Escuelas_con_lavabo_de_manos",	09,"Ciudad_de_México","2024","2,731","1,264","3,995","139",
"Escuelas_con_lavabo_de_manos",	10,"Durango","2024","1,599","697","2,296","294",
"Escuelas_con_lavabo_de_manos",	11,"Guanajuato","2024","3,790","1,701","5,491","969",
"Escuelas_con_lavabo_de_manos",	12,"Guerrero","2024","2,833","1,213","4,046","540",
"Escuelas_con_lavabo_de_manos",	13,"Hidalgo","2024","2,446","1,093","3,539","478",
"Escuelas_con_lavabo_de_manos",	14,"Jalisco","2024","4,900","1,799","6,699","951",
"Escuelas_con_lavabo_de_manos",	15,"México","2024","6,697","3,482","10,179","1,969",
"Escuelas_con_lavabo_de_manos",	16,"Michoacán_de_Ocampo","2024","3,984","1,427","5,411","590",
"Escuelas_con_lavabo_de_manos",	17,"Morelos","2024","1,164","545","1,709","265",
"Escuelas_con_lavabo_de_manos",	18,"Nayarit","2024","862","491","1,353","169",
"Escuelas_con_lavabo_de_manos",	19,"Nuevo_León","2024","2,315","1,026","3,341","465",
"Escuelas_con_lavabo_de_manos",	20,"Oaxaca","2024","4,116","1,933","6,049","598",
"Escuelas_con_lavabo_de_manos",	21,"Puebla","2024","3,933","2,128","6,061","1,512",
"Escuelas_con_lavabo_de_manos",	22,"Querétaro","2024","1,290","525","1,815","281",
"Escuelas_con_lavabo_de_manos",	23,"Quintana_Roo","2024","803","407","1,210","271",
"Escuelas_con_lavabo_de_manos",	24,"San_Luis_Potosí","2024","2,244","1,246","3,490","386",
"Escuelas_con_lavabo_de_manos",	25,"Sinaloa","2024","2,014","826","2,840","485",
"Escuelas_con_lavabo_de_manos",	26,"Sonora","2024","1,569","669","2,238","356",
"Escuelas_con_lavabo_de_manos",	27,"Tabasco","2024","1,579","656","2,235","332",
"Escuelas_con_lavabo_de_manos",	28,"Tamaulipas","2024","2,030","729","2,759","437",
"Escuelas_con_lavabo_de_manos",	29,"Tlaxcala","2024","699","351","1,050","195",
"Escuelas_con_lavabo_de_manos",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","7,557","2,924","10,481","1,395",
"Escuelas_con_lavabo_de_manos",	31,"Yucatán","2024","1,251","578","1,829","404",
"Escuelas_con_lavabo_de_manos",	32,"Zacatecas","2024","1,422","958","2,380","265",
"Escuelas_con_lavabo_de_manos",	00,"Estados_Unidos_Mexicanos","2023","75,044","33,183","108,227","16,931",
"Escuelas_con_lavabo_de_manos",	01,"Aguascalientes","2023","664","360","1,024","265",
"Escuelas_con_lavabo_de_manos",	02,"Baja_California","2023","1,573","654","2,227","338",
"Escuelas_con_lavabo_de_manos",	03,"Baja_California_Sur","2023","389","199","588","125",
"Escuelas_con_lavabo_de_manos",	04,"Campeche","2023","633","265","898","119",
"Escuelas_con_lavabo_de_manos",	05,"Coahuila_de_Zaragoza","2023","1,663","618","2,281","557",
"Escuelas_con_lavabo_de_manos",	06,"Colima","2023","447","177","624","161",
"Escuelas_con_lavabo_de_manos",	07,"Chiapas","2023","3,614","1,479","5,093","677",
"Escuelas_con_lavabo_de_manos",	08,"Chihuahua","2023","2,214","810","3,024","492",
"Escuelas_con_lavabo_de_manos",	09,"Ciudad_de_México","2023","2,784","1,283","4,067","561",
"Escuelas_con_lavabo_de_manos",	10,"Durango","2023","1,564","662","2,226","276",
"Escuelas_con_lavabo_de_manos",	11,"Guanajuato","2023","3,829","1,710","5,539","994",
"Escuelas_con_lavabo_de_manos",	12,"Guerrero","2023","2,784","1,240","4,024","551",
"Escuelas_con_lavabo_de_manos",	13,"Hidalgo","2023","2,426","1,081","3,507","454",
"Escuelas_con_lavabo_de_manos",	14,"Jalisco","2023","4,886","1,780","6,666","1,047",
"Escuelas_con_lavabo_de_manos",	15,"México","2023","6,730","3,500","10,230","1,856",
"Escuelas_con_lavabo_de_manos",	16,"Michoacán_de_Ocampo","2023","3,979","1,429","5,408","627",
"Escuelas_con_lavabo_de_manos",	17,"Morelos","2023","1,167","539","1,706","293",
"Escuelas_con_lavabo_de_manos",	18,"Nayarit","2023","877","484","1,361","227",
"Escuelas_con_lavabo_de_manos",	19,"Nuevo_León","2023","2,344","1,017","3,361","501",
"Escuelas_con_lavabo_de_manos",	20,"Oaxaca","2023","3,921","1,894","5,815","603",
"Escuelas_con_lavabo_de_manos",	21,"Puebla","2023","3,975","2,147","6,122","1,478",
"Escuelas_con_lavabo_de_manos",	22,"Querétaro","2023","1,293","511","1,804","275",
"Escuelas_con_lavabo_de_manos",	23,"Quintana_Roo","2023","801","398","1,199","249",
"Escuelas_con_lavabo_de_manos",	24,"San_Luis_Potosí","2023","2,232","1,260","3,492","393",
"Escuelas_con_lavabo_de_manos",	25,"Sinaloa","2023","2,006","818","2,824","479",
"Escuelas_con_lavabo_de_manos",	26,"Sonora","2023","1,604","661","2,265","345",
"Escuelas_con_lavabo_de_manos",	27,"Tabasco","2023","1,643","673","2,316","292",
"Escuelas_con_lavabo_de_manos",	28,"Tamaulipas","2023","2,033","738","2,771","442",
"Escuelas_con_lavabo_de_manos",	29,"Tlaxcala","2023","700","353","1,053","219",
"Escuelas_con_lavabo_de_manos",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","7,577","2,896","10,473","1,416",
"Escuelas_con_lavabo_de_manos",	31,"Yucatán","2023","1,257","576","1,833","371",
"Escuelas_con_lavabo_de_manos",	32,"Zacatecas","2023","1,435","971","2,406","248",
"Escuelas_con_lavabo_de_manos",	00,"Estados_Unidos_Mexicanos","2022","74,495","32,800","107,295","16,667",
"Escuelas_con_lavabo_de_manos",	01,"Aguascalientes","2022","671","354","1,025","267",
"Escuelas_con_lavabo_de_manos",	02,"Baja_California","2022","1,562","647","2,209","343",
"Escuelas_con_lavabo_de_manos",	03,"Baja_California_Sur","2022","392","190","582","124",
"Escuelas_con_lavabo_de_manos",	04,"Campeche","2022","605","258","863","116",
"Escuelas_con_lavabo_de_manos",	05,"Coahuila_de_Zaragoza","2022","1,650","608","2,258","544",
"Escuelas_con_lavabo_de_manos",	06,"Colima","2022","450","172","622","158",
"Escuelas_con_lavabo_de_manos",	07,"Chiapas","2022","3,507","1,479","4,986","637",
"Escuelas_con_lavabo_de_manos",	08,"Chihuahua","2022","2,208","802","3,010","482",
"Escuelas_con_lavabo_de_manos",	09,"Ciudad_de_México","2022","2,797","1,286","4,083","559",
"Escuelas_con_lavabo_de_manos",	10,"Durango","2022","1,588","676","2,264","278",
"Escuelas_con_lavabo_de_manos",	11,"Guanajuato","2022","3,848","1,710","5,558","1,008",
"Escuelas_con_lavabo_de_manos",	12,"Guerrero","2022","2,697","1,198","3,895","515",
"Escuelas_con_lavabo_de_manos",	13,"Hidalgo","2022","2,498","1,078","3,576","449",
"Escuelas_con_lavabo_de_manos",	14,"Jalisco","2022","4,891","1,788","6,679","1,049",
"Escuelas_con_lavabo_de_manos",	15,"México","2022","6,636","3,478","10,114","1,867",
"Escuelas_con_lavabo_de_manos",	16,"Michoacán_de_Ocampo","2022","3,840","1,315","5,155","617",
"Escuelas_con_lavabo_de_manos",	17,"Morelos","2022","1,150","535","1,685","284",
"Escuelas_con_lavabo_de_manos",	18,"Nayarit","2022","861","496","1,357","224",
"Escuelas_con_lavabo_de_manos",	19,"Nuevo_León","2022","2,351","1,036","3,387","510",
"Escuelas_con_lavabo_de_manos",	20,"Oaxaca","2022","3,902","1,794","5,696","598",
"Escuelas_con_lavabo_de_manos",	21,"Puebla","2022","3,933","2,128","6,061","1,463",
"Escuelas_con_lavabo_de_manos",	22,"Querétaro","2022","1,287","507","1,794","269",
"Escuelas_con_lavabo_de_manos",	23,"Quintana_Roo","2022","801","403","1,204","248",
"Escuelas_con_lavabo_de_manos",	24,"San_Luis_Potosí","2022","2,213","1,224","3,437","392",
"Escuelas_con_lavabo_de_manos",	25,"Sinaloa","2022","1,983","809","2,792","475",
"Escuelas_con_lavabo_de_manos",	26,"Sonora","2022","1,598","670","2,268","330",
"Escuelas_con_lavabo_de_manos",	27,"Tabasco","2022","1,546","632","2,178","288",
"Escuelas_con_lavabo_de_manos",	28,"Tamaulipas","2022","2,068","734","2,802","435",
"Escuelas_con_lavabo_de_manos",	29,"Tlaxcala","2022","698","347","1,045","196",
"Escuelas_con_lavabo_de_manos",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","7,543","2,907","10,450","1,349",
"Escuelas_con_lavabo_de_manos",	31,"Yucatán","2022","1,249","575","1,824","351",
