"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	00,"Estados_Unidos_Mexicanos","2024","185,377","5,547","179,830",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	01,"Aguascalientes","2024","2,100","5","2,095",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	02,"Baja_California","2024","4,515","32","4,483",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	03,"Baja_California_Sur","2024","1,129","6","1,123",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	04,"Campeche","2024","1,580","53","1,527",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	05,"Coahuila_de_Zaragoza","2024","4,637","81","4,556",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	06,"Colima","2024","1,142","24","1,118",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	07,"Chiapas","2024","9,649","601","9,048",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	08,"Chihuahua","2024","4,428","76","4,352",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	09,"Ciudad_de_México","2024","9,739","130","9,609",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	10,"Durango","2024","2,863","109","2,754",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	11,"Guanajuato","2024","8,894","151","8,743",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	12,"Guerrero","2024","8,932","256","8,676",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	13,"Hidalgo","2024","4,489","160","4,329",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	14,"Jalisco","2024","12,743","220","12,523",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	15,"México","2024","22,115","680","21,435",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	16,"Michoacán_de_Ocampo","2024","9,835","601","9,234",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	17,"Morelos","2024","2,827","65","2,762",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	18,"Nayarit","2024","2,017","55","1,962",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	19,"Nuevo_León","2024","8,527","81","8,446",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	20,"Oaxaca","2024","2,086","252","1,834",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	21,"Puebla","2024","10,670","132","10,538",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	22,"Querétaro","2024","3,334","51","3,283",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	23,"Quintana_Roo","2024","2,294","80","2,214",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	24,"San_Luis_Potosí","2024","5,273","279","4,994",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	25,"Sinaloa","2024","4,823","50","4,773",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	26,"Sonora","2024","3,731","82","3,649",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	27,"Tabasco","2024","4,112","108","4,004",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	28,"Tamaulipas","2024","4,770","63","4,707",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	29,"Tlaxcala","2024","2,004","14","1,990",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","13,429","581","12,848",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	31,"Yucatán","2024","3,824","241","3,583",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	32,"Zacatecas","2024","2,866","228","2,638",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	00,"Estados_Unidos_Mexicanos","2023","189,320","5,917","183,403",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	01,"Aguascalientes","2023","2,066","6","2,060",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	02,"Baja_California","2023","4,565","46","4,519",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	03,"Baja_California_Sur","2023","1,104","17","1,087",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	04,"Campeche","2023","1,598","51","1,547",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	05,"Coahuila_de_Zaragoza","2023","4,592","77","4,515",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	06,"Colima","2023","1,131","21","1,110",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	07,"Chiapas","2023","9,361","575","8,786",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	08,"Chihuahua","2023","4,480","75","4,405",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	09,"Ciudad_de_México","2023","9,888","90","9,798",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	10,"Durango","2023","2,917","171","2,746",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	11,"Guanajuato","2023","8,900","159","8,741",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	12,"Guerrero","2023","9,009","256","8,753",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	13,"Hidalgo","2023","4,433","166","4,267",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	14,"Jalisco","2023","12,742","216","12,526",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	15,"México","2023","22,226","669","21,557",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	16,"Michoacán_de_Ocampo","2023","9,926","616","9,310",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	17,"Morelos","2023","2,730","66","2,664",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	18,"Nayarit","2023","2,063","58","2,005",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	19,"Nuevo_León","2023","8,594","80","8,514",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	20,"Oaxaca","2023","6,031","582","5,449",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	21,"Puebla","2023","10,553","136","10,417",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	22,"Querétaro","2023","3,275","75","3,200",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	23,"Quintana_Roo","2023","2,292","73","2,219",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	24,"San_Luis_Potosí","2023","5,243","289","4,954",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	25,"Sinaloa","2023","4,844","59","4,785",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	26,"Sonora","2023","3,748","65","3,683",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	27,"Tabasco","2023","4,217","109","4,108",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	28,"Tamaulipas","2023","4,788","47","4,741",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	29,"Tlaxcala","2023","1,962","13","1,949",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","13,356","568","12,788",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	31,"Yucatán","2023","3,835","246","3,589",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	32,"Zacatecas","2023","2,851","240","2,611",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	00,"Estados_Unidos_Mexicanos","2022","187,862","5,651","182,211",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	01,"Aguascalientes","2022","2,069","6","2,063",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	02,"Baja_California","2022","4,572","43","4,529",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	03,"Baja_California_Sur","2022","1,117","4","1,113",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	04,"Campeche","2022","1,579","41","1,538",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	05,"Coahuila_de_Zaragoza","2022","4,520","79","4,441",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	06,"Colima","2022","1,134","26","1,108",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	07,"Chiapas","2022","9,214","549","8,665",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	08,"Chihuahua","2022","4,539","71","4,468",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	09,"Ciudad_de_México","2022","9,980","137","9,843",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	10,"Durango","2022","2,938","154","2,784",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	11,"Guanajuato","2022","8,761","176","8,585",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	12,"Guerrero","2022","8,902","245","8,657",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	13,"Hidalgo","2022","4,368","146","4,222",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	14,"Jalisco","2022","12,664","205","12,459",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	15,"México","2022","22,106","707","21,399",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	16,"Michoacán_de_Ocampo","2022","9,517","575","8,942",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	17,"Morelos","2022","2,681","53","2,628",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	18,"Nayarit","2022","2,052","50","2,002",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	19,"Nuevo_León","2022","8,641","91","8,550",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	20,"Oaxaca","2022","5,899","440","5,459",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	21,"Puebla","2022","10,464","130","10,334",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	22,"Querétaro","2022","3,251","52","3,199",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	23,"Quintana_Roo","2022","2,301","81","2,220",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	24,"San_Luis_Potosí","2022","5,243","279","4,964",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	25,"Sinaloa","2022","4,848","71","4,777",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	26,"Sonora","2022","3,732","76","3,656",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	27,"Tabasco","2022","4,221","111","4,110",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	28,"Tamaulipas","2022","4,684","54","4,630",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	29,"Tlaxcala","2022","1,954","15","1,939",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","13,338","527","12,811",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	31,"Yucatán","2022","3,716","222","3,494",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	32,"Zacatecas","2022","2,857","235","2,622",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	00,"Estados_Unidos_Mexicanos","2021","184,401","5,432","178,969",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	01,"Aguascalientes","2021","2,025","6","2,019",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	02,"Baja_California","2021","4,534","47","4,487",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	03,"Baja_California_Sur","2021","1,128","10","1,118",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	04,"Campeche","2021","1,574","46","1,528",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	05,"Coahuila_de_Zaragoza","2021","4,447","79","4,368",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	06,"Colima","2021","1,074","14","1,060",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	07,"Chiapas","2021","8,836","576","8,260",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	08,"Chihuahua","2021","4,607","80","4,527",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	09,"Ciudad_de_México","2021","9,856","96","9,760",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	10,"Durango","2021","2,926","163","2,763",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	11,"Guanajuato","2021","8,543","109","8,434",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	12,"Guerrero","2021","8,916","257","8,659",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	13,"Hidalgo","2021","4,210","149","4,061",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	14,"Jalisco","2021","12,521","172","12,349",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	15,"México","2021","21,721","658","21,063",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	16,"Michoacán_de_Ocampo","2021","9,718","623","9,095",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	17,"Morelos","2021","2,583","43","2,540",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	18,"Nayarit","2021","1,961","48","1,913",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	19,"Nuevo_León","2021","8,332","79","8,253",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	20,"Oaxaca","2021","5,732","402","5,330",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	21,"Puebla","2021","10,184","127","10,057",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	22,"Querétaro","2021","3,135","59","3,076",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	23,"Quintana_Roo","2021","2,189","78","2,111",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	24,"San_Luis_Potosí","2021","5,160","273","4,887",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	25,"Sinaloa","2021","4,734","50","4,684",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	26,"Sonora","2021","3,757","63","3,694",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	27,"Tabasco","2021","4,123","133","3,990",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	28,"Tamaulipas","2021","4,588","58","4,530",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	29,"Tlaxcala","2021","1,868","8","1,860",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	30,"Veracruz_de_Ignacio_de_la_Llave","2021","13,053","504","12,549",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	31,"Yucatán","2021","3,544","164","3,380",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	32,"Zacatecas","2021","2,822","258","2,564",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	00,"Estados_Unidos_Mexicanos","2020","184,331","5,308","179,023",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	01,"Aguascalientes","2020","1,945","7","1,938",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	02,"Baja_California","2020","4,584","50","4,534",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	03,"Baja_California_Sur","2020","1,123","7","1,116",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	04,"Campeche","2020","1,574","37","1,537",
"Número_de_maestros_con_formación_y_práctica_docente_en_preescolar",	05,"Coahuila_de_Zaragoza","2020","4,348","79","4,269",
