"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	00,"Estados_Unidos_Mexicanos","2024","516,684","147,407","369,277",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	01,"Aguascalientes","2024","5,017","974","4,043",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	02,"Baja_California","2024","14,169","3,422","10,747",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	03,"Baja_California_Sur","2024","3,248","977","2,271",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	04,"Campeche","2024","4,076","1,876","2,200",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	05,"Coahuila_de_Zaragoza","2024","11,888","2,523","9,365",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	06,"Colima","2024","3,115","820","2,295",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	07,"Chiapas","2024","27,523","13,463","14,060",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	08,"Chihuahua","2024","15,332","3,497","11,835",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	09,"Ciudad_de_México","2024","29,529","4,539","24,990",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	10,"Durango","2024","9,602","3,505","6,097",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	11,"Guanajuato","2024","24,154","5,534","18,620",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	12,"Guerrero","2024","19,440","8,044","11,396",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	13,"Hidalgo","2024","14,825","4,153","10,672",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	14,"Jalisco","2024","32,843","9,304","23,539",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	15,"México","2024","65,486","15,482","50,004",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	16,"Michoacán_de_Ocampo","2024","26,058","11,236","14,822",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	17,"Morelos","2024","7,800","1,492","6,308",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	18,"Nayarit","2024","5,408","1,667","3,741",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	19,"Nuevo_León","2024","20,473","4,964","15,509",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	20,"Oaxaca","2024","11,946","3,974","7,972",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	21,"Puebla","2024","27,304","6,431","20,873",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	22,"Querétaro","2024","8,758","1,715","7,043",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	23,"Quintana_Roo","2024","6,578","2,339","4,239",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	24,"San_Luis_Potosí","2024","12,430","3,868","8,562",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	25,"Sinaloa","2024","11,848","2,463","9,385",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	26,"Sonora","2024","11,373","3,620","7,753",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	27,"Tabasco","2024","9,941","3,117","6,824",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	28,"Tamaulipas","2024","13,889","3,416","10,473",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	29,"Tlaxcala","2024","5,610","1,469","4,141",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","39,502","11,443","28,059",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	31,"Yucatán","2024","9,427","2,614","6,813",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	32,"Zacatecas","2024","8,092","3,466","4,626",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	00,"Estados_Unidos_Mexicanos","2023","524,198","150,148","374,050",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	01,"Aguascalientes","2023","5,031","1,019","4,012",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	02,"Baja_California","2023","14,145","3,497","10,648",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	03,"Baja_California_Sur","2023","3,256","997","2,259",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	04,"Campeche","2023","4,102","1,902","2,200",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	05,"Coahuila_de_Zaragoza","2023","11,673","2,508","9,165",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	06,"Colima","2023","3,146","821","2,325",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	07,"Chiapas","2023","27,152","13,427","13,725",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	08,"Chihuahua","2023","15,225","3,501","11,724",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	09,"Ciudad_de_México","2023","30,159","4,714","25,445",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	10,"Durango","2023","9,616","3,696","5,920",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	11,"Guanajuato","2023","24,437","5,714","18,723",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	12,"Guerrero","2023","19,609","8,173","11,436",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	13,"Hidalgo","2023","14,776","4,174","10,602",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	14,"Jalisco","2023","32,737","9,426","23,311",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	15,"México","2023","65,667","15,683","49,984",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	16,"Michoacán_de_Ocampo","2023","26,307","11,306","15,001",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	17,"Morelos","2023","7,691","1,492","6,199",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	18,"Nayarit","2023","5,464","1,735","3,729",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	19,"Nuevo_León","2023","20,414","5,034","15,380",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	20,"Oaxaca","2023","19,647","4,786","14,861",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	21,"Puebla","2023","26,942","6,504","20,438",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	22,"Querétaro","2023","8,618","1,679","6,939",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	23,"Quintana_Roo","2023","6,585","2,377","4,208",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	24,"San_Luis_Potosí","2023","12,336","3,876","8,460",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	25,"Sinaloa","2023","11,998","2,526","9,472",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	26,"Sonora","2023","11,345","3,764","7,581",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	27,"Tabasco","2023","10,014","3,204","6,810",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	28,"Tamaulipas","2023","13,837","3,443","10,394",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	29,"Tlaxcala","2023","5,588","1,476","4,112",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","39,142","11,526","27,616",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	31,"Yucatán","2023","9,395","2,646","6,749",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	32,"Zacatecas","2023","8,144","3,522","4,622",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	00,"Estados_Unidos_Mexicanos","2022","522,776","151,733","371,043",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	01,"Aguascalientes","2022","4,985","1,045","3,940",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	02,"Baja_California","2022","13,959","3,565","10,394",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	03,"Baja_California_Sur","2022","3,299","1,039","2,260",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	04,"Campeche","2022","4,112","1,938","2,174",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	05,"Coahuila_de_Zaragoza","2022","11,692","2,602","9,090",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	06,"Colima","2022","3,158","860","2,298",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	07,"Chiapas","2022","26,877","13,323","13,554",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	08,"Chihuahua","2022","15,121","3,569","11,552",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	09,"Ciudad_de_México","2022","30,546","4,792","25,754",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	10,"Durango","2022","9,592","3,738","5,854",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	11,"Guanajuato","2022","24,245","5,911","18,334",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	12,"Guerrero","2022","19,711","8,296","11,415",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	13,"Hidalgo","2022","14,685","4,260","10,425",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	14,"Jalisco","2022","32,688","9,678","23,010",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	15,"México","2022","65,477","15,823","49,654",
"Número_de_maestros_con_formación_y_práctica_docente_en_primaria",	16,"Michoacán_de_Ocampo","2022","26,130","11,142","14,988",
