"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Número_total_de_maestros_en_secundaria",	00,"Estados_Unidos_Mexicanos","2024","421,972","184,391","237,581",
"Número_total_de_maestros_en_secundaria",	01,"Aguascalientes","2024","6,031","2,735","3,296",
"Número_total_de_maestros_en_secundaria",	02,"Baja_California","2024","13,403","5,527","7,876",
"Número_total_de_maestros_en_secundaria",	03,"Baja_California_Sur","2024","2,907","1,349","1,558",
"Número_total_de_maestros_en_secundaria",	04,"Campeche","2024","3,162","1,564","1,598",
"Número_total_de_maestros_en_secundaria",	05,"Coahuila_de_Zaragoza","2024","11,999","5,217","6,782",
"Número_total_de_maestros_en_secundaria",	06,"Colima","2024","3,269","1,464","1,805",
"Número_total_de_maestros_en_secundaria",	07,"Chiapas","2024","16,671","8,807","7,864",
"Número_total_de_maestros_en_secundaria",	08,"Chihuahua","2024","11,310","4,648","6,662",
"Número_total_de_maestros_en_secundaria",	09,"Ciudad_de_México","2024","30,394","12,659","17,735",
"Número_total_de_maestros_en_secundaria",	10,"Durango","2024","7,449","3,714","3,735",
"Número_total_de_maestros_en_secundaria",	11,"Guanajuato","2024","19,067","8,678","10,389",
"Número_total_de_maestros_en_secundaria",	12,"Guerrero","2024","12,585","5,937","6,648",
"Número_total_de_maestros_en_secundaria",	13,"Hidalgo","2024","10,732","4,429","6,303",
"Número_total_de_maestros_en_secundaria",	14,"Jalisco","2024","30,557","14,520","16,037",
"Número_total_de_maestros_en_secundaria",	15,"México","2024","47,556","18,440","29,116",
"Número_total_de_maestros_en_secundaria",	16,"Michoacán_de_Ocampo","2024","14,695","7,595","7,100",
"Número_total_de_maestros_en_secundaria",	17,"Morelos","2024","7,274","2,933","4,341",
"Número_total_de_maestros_en_secundaria",	18,"Nayarit","2024","5,701","2,511","3,190",
"Número_total_de_maestros_en_secundaria",	19,"Nuevo_León","2024","16,901","7,264","9,637",
"Número_total_de_maestros_en_secundaria",	20,"Oaxaca","2024","14,589","5,910","8,679",
"Número_total_de_maestros_en_secundaria",	21,"Puebla","2024","20,443","8,061","12,382",
"Número_total_de_maestros_en_secundaria",	22,"Querétaro","2024","7,085","2,820","4,265",
"Número_total_de_maestros_en_secundaria",	23,"Quintana_Roo","2024","6,627","3,116","3,511",
"Número_total_de_maestros_en_secundaria",	24,"San_Luis_Potosí","2024","11,114","4,997","6,117",
"Número_total_de_maestros_en_secundaria",	25,"Sinaloa","2024","13,841","6,345","7,496",
"Número_total_de_maestros_en_secundaria",	26,"Sonora","2024","9,784","4,024","5,760",
"Número_total_de_maestros_en_secundaria",	27,"Tabasco","2024","7,167","3,307","3,860",
"Número_total_de_maestros_en_secundaria",	28,"Tamaulipas","2024","11,604","5,054","6,550",
"Número_total_de_maestros_en_secundaria",	29,"Tlaxcala","2024","5,575","2,489","3,086",
"Número_total_de_maestros_en_secundaria",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","26,429","10,977","15,452",
"Número_total_de_maestros_en_secundaria",	31,"Yucatán","2024","9,934","4,363","5,571",
