"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	00,"Estados_Unidos_Mexicanos","2024","86.8396481283118","85.5242392524581","87.8605612401665",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	01,"Aguascalientes","2024","93.1852097496269","91.7367458866545","94.3871359223301",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	02,"Baja_California","2024","92.3002312915019","90.9715939931247","93.2326053834434",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	03,"Baja_California_Sur","2024","88.8200894392845","86.0637509266123","91.206675224647",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	04,"Campeche","2024","89.3738140417457","88.9386189258312","89.7997496871089",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	05,"Coahuila_de_Zaragoza","2024","85.7238103175265","81.943645773433","88.6316720731348",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	06,"Colima","2024","83.787090853472","81.4207650273224","85.7063711911357",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	07,"Chiapas","2024","84.3620658628757","83.6720790280459","85.1347914547304",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	08,"Chihuahua","2024","82.6613616268789","81.8201376936317","83.2482737916542",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	09,"Ciudad_de_México","2024","86.8427979206422","85.1331068804803","88.0631519594023",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	10,"Durango","2024","83.0715532286213","82.6871297792138","83.4538152610442",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	11,"Guanajuato","2024","92.3480358734987","91.8644849043558","92.7519491770142",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	12,"Guerrero","2024","87.0083432657926","86.0535624052552","87.8610108303249",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	13,"Hidalgo","2024","85.9299291837495","83.2919394897268","87.783595113438",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	14,"Jalisco","2024","92.3094544621527","92.2451790633609","92.3676498098148",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	15,"México","2024","89.9571032046429","87.2613882863341","91.6643769748592",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	16,"Michoacán_de_Ocampo","2024","77.5161619598503","76.1290322580645","79",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	17,"Morelos","2024","91.0503161946659","89.3283327650869","92.2137756277355",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	18,"Nayarit","2024","85.5463953692335","83.3930704898447","87.2413793103448",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	19,"Nuevo_León","2024","81.6874741139577","79.7081497797357","83.1794126802947",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	20,"Oaxaca","2024","58.1739666872301","67.4788494077834","51.8377693282636",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	21,"Puebla","2024","88.3725480604608","84.5180498697432","90.8819253755452",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	22,"Querétaro","2024","88.9908256880734","87.3404255319149","90.0820633059789",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	23,"Quintana_Roo","2024","89.78421608571","88.1258023106547","91.2560524067217",
"Proporción_del_profesorado_de_educación_secundaria,_que_ha_recibido_al_menos_la_mínima_formación_docente_organizada_previa_al_empleo_o_en_el_empleo_(por_ejemplo,_formación_pedagógica)_exigida_para_impartir_enseñanza_a_nivel_secundaria_en_México",	24,"San_Luis_Potosí","2024","84.2900845780097","82.3293976385831","85.8917770148766",
