"Serie","cvegeo","Entidad_federativa","Periodo","Población_alfabeta|Total","Población_alfabeta|De_15_a_17_años","Población_alfabeta|De_18_a_19_años","Población_alfabeta|De_30_a_59_años","Población_alfabeta|De_60_años_y_más","Población_alfabeta|Hombres","Población_alfabeta|Mujeres","Población_alfabeta|Hablantes_de_lengua_indígenas","Población_alfabeta|Afrodescendientes","Población_alfabeta|Nacidos_en_México","Población_alfabeta|Nacidos_fuera_de_México","Población_alfabeta|Nacidos_en_los_Estados_Unidos_de_América","Población_alfabeta|Nacidos_en_la_República_de_Guatemala","Población_alfabeta|Nacidos_en_la_República_Bolivariana_de_Venezuela","Población_alfabeta|Nacidos_en_otro_país","Población_alfabeta|Nacidos_en_otro_país_no_especificado","Población_alfabeta|No_especificado_de_lugar_de_nacimiento","Población_alfabeta|Retornados","Población_alfabeta|En_marzo_del_2015_residía_en_la_misma_entidad_federativa","Población_alfabeta|En_marzo_de_2015_residía_en_otra_entidad","Población_alfabeta|En_marzo_de_2015_residía_en_otro_país","Población_alfabeta|Con_discapacidad","Población_alfabeta|Residentes_de_albergues_para_migrantes",
"Población_alfabeta",	00,"Estados_Unidos_Mexicanos","2020","89,320,723","6,420,022","24,376,228","45,785,658","12,738,815","43,364,752","45,955,971","4,746,869","1,924,406","88,489,739","727,624","373,223","39,735","45,416","267,832","1,418","103,360","303,122","85,604,130","3,084,407","477,555","4,416,470","4,388",
"Población_alfabeta",	01,"Aguascalientes","2020","1,015,427","77,563","296,989","507,437","133,438","489,668","525,759","2,171","17,139","1,006,821","8,314","4,814","71","371","3,047","11","292","5,367","959,880","46,068","7,636","56,581","2",
"Población_alfabeta",	01001,"Aguascalientes","2020","694,756","49,587","199,188","349,460","96,521","333,948","360,808","1,643","11,866","688,658","5,887","2,959","49","319","2,552","8","211","2,703","653,746","35,171","4,493","38,975","2",
"Población_alfabeta",	01002,"Asientos","2020","33,978","3,203","10,444","16,246","4,085","16,507","17,471","15","176","33,818","151","136","3","3","9","ND","9","273","32,953","722","293","2,172","ND",
"Población_alfabeta",	01003,"Calvillo","2020","39,594","3,203","11,192","18,498","6,701","19,022","20,572","61","206","39,090","502","476","4","ND","22","ND","2","855","37,781","851","957","3,015","ND",
"Población_alfabeta",	01004,"Cosío","2020","11,426","1,043","3,520","5,431","1,432","5,500","5,926","5","1,518","11,378","47","47","ND","ND","ND","ND","1","62","11,145","215","65","620","ND",
"Población_alfabeta",	01005,"Jesús_María","2020","89,189","7,606","26,613","46,264","8,706","43,478","45,711","141","1,898","88,256","894","469","9","44","371","1","39","408","83,933","4,599","650","3,671","ND",
"Población_alfabeta",	01006,"Pabellón_de_Arteaga","2020","32,466","2,819","9,985","15,658","4,004","15,714","16,752","42","330","32,273","192","166","ND","1","25","ND","1","212","31,619","614","233","2,065","ND",
"Población_alfabeta",	01007,"Rincón_de_Romos","2020","38,107","3,446","11,994","18,119","4,548","18,325","19,782","133","245","37,889","215","194","3","ND","18","ND","3","317","36,828","930","349","2,472","ND",
"Población_alfabeta",	01008,"San_José_de_Gracia","2020","6,358","557","1,980","2,953","868","2,977","3,381","17","398","6,319","34","34","ND","ND","ND","ND","5","98","6,180","75","103","422","ND",
"Población_alfabeta",	01009,"Tepezalá","2020","14,901","1,367","4,738","6,993","1,803","7,267","7,634","13","66","14,810","86","83","ND","ND","3","ND","5","78","14,599","217","85","751","ND",
"Población_alfabeta",	01010,"El_Llano","2020","14,002","1,213","4,214","6,903","1,672","6,956","7,046","13","106","13,919","81","72","1","ND","6","2","2","126","13,168","228","137","829","ND",
"Población_alfabeta",	01011,"San_Francisco_de_los_Romo","2020","40,650","3,519","13,121","20,912","3,098","19,974","20,676","88","330","40,411","225","178","2","4","41","ND","14","235","37,928","2,446","271","1,589","ND",
"Población_alfabeta",	02,"Baja_California","2020","2,817,601","181,844","790,909","1,490,132","354,716","1,418,775","1,398,826","38,638","51,698","2,726,257","88,870","71,306","1,380","1,060","15,035","89","2,474","19,112","2,600,711","168,376","37,230","119,077","915",
"Población_alfabeta",	02001,"Ensenada","2020","331,063","20,675","89,874","170,198","50,316","164,420","166,643","8,498","6,342","323,641","7,280","5,280","85","190","1,719","6","142","2,096","307,185","19,243","3,625","16,515","4",
"Población_alfabeta",	02002,"Mexicali","2020","798,457","50,862","212,801","418,771","116,023","401,887","396,570","5,289","9,405","778,778","18,926","15,489","245","214","2,937","41","753","3,660","762,145","26,414","6,951","36,058","156",
"Población_alfabeta",	02003,"Tecate","2020","79,738","5,140","21,368","42,634","10,596","42,135","37,603","585","1,380","76,747","2,895","2,608","28","20","238","1","96","642","71,446","3,558","1,083","3,086","ND",
"Población_alfabeta",	02004,"Tijuana","2020","1,439,256","92,263","413,909","774,237","158,847","723,500","715,756","10,941","28,911","1,383,797","54,079","43,075","963","608","9,393","40","1,380","10,907","1,309,029","104,257","22,334","55,470","755",
"Población_alfabeta",	02005,"Playas_de_Rosarito","2020","94,438","6,454","25,786","48,937","13,261","47,985","46,453","999","2,861","89,317","5,035","4,286","50","24","675","ND","86","1,370","85,050","6,642","2,720","4,180","ND",
"Población_alfabeta",	02006,"San_Quintín","2020","74,649","6,450","27,171","35,355","5,673","38,848","35,801","12,326","2,799","73,977","655","568","9","4","73","1","17","437","65,856","8,262","517","3,768","ND",
"Población_alfabeta",	03,"Baja_California_Sur","2020","582,156","39,306","159,613","313,644","69,593","296,759","285,397","11,089","19,919","573,625","7,682","4,498","83","263","2,813","25","849","1,660","517,956","58,379","3,618","27,698","ND",
"Población_alfabeta",	03001,"Comondú","2020","52,824","4,065","12,574","27,847","8,338","26,608","26,216","613","636","52,626","189","147","1","ND","41","ND","9","94","51,112","1,428","118","3,420","ND",
"Población_alfabeta",	03002,"Mulegé","2020","44,908","3,238","11,799","23,702","6,169","23,441","21,467","2,314","703","43,984","301","220","6","2","73","ND","623","83","40,144","3,844","147","2,497","ND",
"Población_alfabeta",	03003,"La_Paz","2020","222,653","13,917","55,850","117,620","35,266","110,776","111,877","2,565","5,177","219,433","3,166","1,804","16","49","1,277","20","54","476","208,262","12,303","1,366","12,751","ND",
"Población_alfabeta",	03008,"Los_Cabos","2020","248,598","17,159","76,332","137,226","17,881","129,177","119,421","5,418","13,068","244,652","3,788","2,146","59","211","1,367","5","158","984","206,022","40,145","1,894","8,323","ND",
"Población_alfabeta",	03009,"Loreto","2020","13,173","927","3,058","7,249","1,939","6,757","6,416","179","335","12,930","238","181","1","1","55","ND","5","23","12,416","659","93","707","ND",
"Población_alfabeta",	04,"Campeche","2020","642,004","45,303","176,058","338,873","81,770","314,725","327,279","70,308","14,475","636,524","5,275","585","2,564","602","1,519","5","205","924","617,683","21,860","1,805","36,117","ND",
"Población_alfabeta",	04001,"Calkiní","2020","39,568","2,865","11,497","20,113","5,093","19,756","19,812","20,681","1,519","39,529","29","5","9","ND","15","ND","10","10","38,951","598","16","1,616","ND",
"Población_alfabeta",	04002,"Campeche","2020","218,723","13,440","56,314","116,040","32,929","104,071","114,652","10,884","5,204","216,824","1,863","179","1,003","71","609","1","36","238","211,597","6,283","520","14,694","ND",
"Población_alfabeta",	04003,"Carmen","2020","176,866","11,501","46,811","98,141","20,413","87,030","89,836","2,934","4,856","175,334","1,418","142","132","527","615","2","114","186","167,340","8,617","590","9,401","ND",
"Población_alfabeta",	04004,"Champotón","2020","50,791","4,227","14,829","25,804","5,931","25,389","25,402","4,776","543","49,483","1,289","65","1,142","3","77","2","19","110","48,877","1,738","170","2,572","ND",
"Población_alfabeta",	04005,"Hecelchakán","2020","21,382","1,606","5,998","11,233","2,545","10,625","10,757","8,893","170","21,358","20","3","6","ND","11","ND","4","2","21,020","357","5","1,017","ND",
"Población_alfabeta",	04006,"Hopelchén","2020","26,592","2,400","8,218","12,963","3,011","13,551","13,041","11,649","763","26,453","138","21","22","ND","95","ND","1","28","26,245","307","39","1,155","ND",
"Población_alfabeta",	04007,"Palizada","2020","5,743","438","1,372","2,993","940","2,934","2,809","59","49","5,725","18","ND","4","ND","14","ND","0","1","5,595","145","3","264","ND",
"Población_alfabeta",	04008,"Tenabo","2020","7,597","547","2,116","4,050","884","3,883","3,714","1,581","83","7,586","11","3","3","1","4","ND","ND","7","7,450","138","9","447","ND",
