"Serie","cvegeo","Entidad_federativa","Periodo","Población_alfabeta|Total","Población_alfabeta|De_15_a_17_años","Población_alfabeta|De_18_a_19_años","Población_alfabeta|De_30_a_59_años","Población_alfabeta|De_60_años_y_más","Población_alfabeta|Hombres","Población_alfabeta|Mujeres","Población_alfabeta|Hablantes_de_lengua_indígenas","Población_alfabeta|Afrodescendientes","Población_alfabeta|Nacidos_en_México","Población_alfabeta|Nacidos_fuera_de_México","Población_alfabeta|Nacidos_en_los_Estados_Unidos_de_América","Población_alfabeta|Nacidos_en_la_República_de_Guatemala","Población_alfabeta|Nacidos_en_la_República_Bolivariana_de_Venezuela","Población_alfabeta|Nacidos_en_otro_país","Población_alfabeta|Nacidos_en_otro_país_no_especificado","Población_alfabeta|No_especificado_de_lugar_de_nacimiento","Población_alfabeta|Retornados","Población_alfabeta|En_marzo_del_2015_residía_en_la_misma_entidad_federativa","Población_alfabeta|En_marzo_de_2015_residía_en_otra_entidad","Población_alfabeta|En_marzo_de_2015_residía_en_otro_país","Población_alfabeta|Con_discapacidad","Población_alfabeta|Residentes_de_albergues_para_migrantes",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	00,"Estados_Unidos_Mexicanos","2020","95.036853","98.881016","98.573002","96.146764","84.12359","95.828702","94.301561","79.065423","94.538786","95.067556","97.681287","99.25035","78.886242","99.581205","98.714433","91.072575","64.779764","97.65371","94.998595","97.920449","97.95578","79.683357","82.558796",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01,"Aguascalientes","2020","97.740215","99.261582","99.236817","98.318592","91.788191","97.832441","97.654475","93.496985","98.054809","97.748283","99.556939","99.503927","100","99.731183","99.607715","100","54.174397","98.658088","97.712727","98.815959","98.937549","87.932428","100",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01001,"Aguascalientes","2020","98.202476","99.305083","99.331269","98.711101","93.721538","98.380592","98.038193","95.301624","98.522086","98.217935","99.678293","99.62963","100","99.6875","99.726456","100","50.966184","98.902305","98.191906","99.084404","99.205123","89.849693","100",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01002,"Asientos","2020","96.391489","99.533872","98.967118","96.806102","86.970407","96.183429","96.588899","88.235294","96.703297","96.377782","99.342105","99.270073","100","100","100","ND","100","97.849462","96.339716","98.097826","97.993311","85.176471","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01003,"Calvillo","2020","95.418725","99.47205","98.843063","96.731684","85.59203","94.87755","95.924648","88.405797","95.813953","95.383339","98.431373","98.755187","100","ND","91.666667","ND","66.666667","98.050459","95.310293","97.479954","98.153846","80.079681","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01004,"Cosío","2020","96.691208","99.808612","98.904187","96.982143","88.778673","96.626845","96.75102","83.333333","96.503497","96.685928","97.916667","97.916667","ND","ND","ND","ND","100","96.875","96.669269","97.727273","97.014925","84.699454","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01005,"Jesús_María","2020","97.488168","99.036458","99.198598","98.091765","88.700968","97.510541","97.466897","94","97.936017","97.491356","99.554566","99.364407","100","100","99.731183","100","62.903226","99.755501","97.410752","99.137745","99.693252","84.585253","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01006,"Pabellón_de_Arteaga","2020","97.006095","98.154596","99.077198","97.636715","89.355055","96.928201","97.079277","91.304348","96.209913","97.012054","98.969072","98.809524","ND","100","100","ND","14.285714","98.604651","97.011628","96.99842","98.728814","87.167581","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01007,"Rincón_de_Romos","2020","96.461207","99.279746","99.074839","97.07994","86.398176","96.523571","96.403509","78.698225","95.703125","96.444026","100","100","100","ND","100","ND","75","98.142415","96.499319","94.320487","98.309859","84.628552","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_años_o_más,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01008,"San_José_de_Gracia","2020","97.530296","99.820789","99.447514","97.976111","90.794979","97.734734","97.350993","94.444444","96.601942","97.515432","100","100","ND","ND","ND","ND","100","100","97.476341","98.684211","100","86.298569","ND",
