"Serie","cvegeo","Entidad_federativa","Periodo","Población_alfabeta_15_a_24|Total","Población_alfabeta_15_a_24|Hombres","Población_alfabeta_15_a_24|Mujeres","Población_alfabeta_15_a_24|Hablantes_de_lengua_indígena","Población_alfabeta_15_a_24|Afrodescendientes","Población_alfabeta_15_a_24|Nacidos_en_México","Población_alfabeta_15_a_24|Nacidos_fuera_de_México","Población_alfabeta_15_a_24|Nacidos_en_los_Estados_Unidos_de_América","Población_alfabeta_15_a_24|Nacidos_en_la_República_de_Guatemala","Población_alfabeta_15_a_24|Nacidos_en_la_República_Bolivariana_de_Venezuela","Población_alfabeta_15_a_24|Nacidos_en_otro_país","Población_alfabeta_15_a_24|Nacidos_en_otro_país_no_especificado","Población_alfabeta_15_a_24|No_especificado_de_lugar_de_nacimiento","Población_alfabeta_15_a_24|Retornados","Población_alfabeta_15_a_24|En_marzo_del_2015_residía_en_la_misma_entidad_federativa","Población_alfabeta_15_a_24|En_marzo_del_2015_residía_en_otra_entidad_federativa","Población_alfabeta_15_a_24|En_marzo_de_2015_residía_en_otro_país","Población_alfabeta_15_a_24|Con_discapacidad","Población_alfabeta_15_a_24|Residentes_de_albergues_para_migrantes",
"Población_de_15_a_24_años",	00,"Estados_Unidos_Mexicanos","2020","21,228,785","10,628,034","10,600,751","1,191,382","437,362","20,934,432","264,310","214,886","10,569","6,254","32,268","333","30,043","20,843","20,266,052","861,354","63,926","417,083","2,083",
"Población_de_15_a_24_años",	01,"Aguascalientes","2020","258,987","130,057","128,930","410","4,033","255,308","3,564","3,153","21","50","338","2","115","413","244,946","12,505","983","5,392","ND",
"Población_de_15_a_24_años",	01001,"Aguascalientes","2020","170,386","85,750","84,636","299","2,700","168,204","2,103","1,736","16","45","304","2","79","247","159,651","9,587","645","3,553","ND",
"Población_de_15_a_24_años",	01002,"Asientos","2020","9,799","4,979","4,820","4","44","9,679","117","114","1","1","1","ND","3","18","9,525","244","28","230","ND",
"Población_de_15_a_24_años",	01003,"Calvillo","2020","10,155","5,044","5,111","12","52","9,796","358","356","1","ND","1","ND","1","49","9,801","246","106","243","ND",
"Población_de_15_a_24_años",	01004,"Cosío","2020","3,273","1,606","1,667","ND","383","3,235","38","38","ND","ND","ND","ND","ND","4","3,204","63","6","54","ND",
"Población_de_15_a_24_años",	01005,"Jesús_María","2020","24,320","12,224","12,096","16","489","23,932","368","338","2","4","24","ND","20","30","23,228","1,011","72","464","ND",
"Población_de_15_a_24_años",	01006,"Pabellón_de_Arteaga","2020","9,022","4,523","4,499","6","87","8,903","119","114","ND","ND","5","ND","ND","13","8,824","178","20","206","ND",
"Población_de_15_a_24_años",	01007,"Rincón_de_Romos","2020","10,833","5,444","5,389","45","51","10,662","170","167","1","ND","2","ND","1","22","10,473","318","42","246","ND",
"Población_de_15_a_24_años",	01008,"San_José_de_Gracia","2020","1,737","818","919","8","99","1,709","25","25","ND","ND","ND","ND","3","8","1,699","26","12","38","ND",
"Población_de_15_a_24_años",	01009,"Tepezalá","2020","4,335","2,158","2,177","4","21","4,272","62","62","ND","ND","ND","ND","1","2","4,261","67","7","60","ND",
