"Serie","cvegeo","Entidad_federativa","Periodo","Población_alfabeta_15_a_24|Total","Población_alfabeta_15_a_24|Hombres","Población_alfabeta_15_a_24|Mujeres","Población_alfabeta_15_a_24|Hablantes_de_lengua_indígena","Población_alfabeta_15_a_24|Afrodescendientes","Población_alfabeta_15_a_24|Nacidos_en_México","Población_alfabeta_15_a_24|Nacidos_fuera_de_México","Población_alfabeta_15_a_24|Nacidos_en_los_Estados_Unidos_de_América","Población_alfabeta_15_a_24|Nacidos_en_la_República_de_Guatemala","Población_alfabeta_15_a_24|Nacidos_en_la_República_Bolivariana_de_Venezuela","Población_alfabeta_15_a_24|Nacidos_en_otro_país","Población_alfabeta_15_a_24|Nacidos_en_otro_país_no_especificado","Población_alfabeta_15_a_24|No_especificado_de_lugar_de_nacimiento","Población_alfabeta_15_a_24|Retornados","Población_alfabeta_15_a_24|En_marzo_del_2015_residía_en_la_misma_entidad_federativa","Población_alfabeta_15_a_24|En_marzo_del_2015_residía_en_otra_entidad_federativa","Población_alfabeta_15_a_24|En_marzo_de_2015_residía_en_otro_país","Población_alfabeta_15_a_24|Con_discapacidad","Población_alfabeta_15_a_24|Residentes_de_albergues_para_migrantes",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	00,"Estados_Unidos_Mexicanos","2020","98.692417","98.616922","98.768106","95.794296","98.656033","98.753828","98.83281","99.335927","90.396442","99.360409","98.177761","95.495495","54.66498","99.107614","98.756507","99.020844","98.628101","85.455653","85.261642",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01,"Aguascalientes","2020","99.244364","99.171902","99.317459","96.341463","99.4545","99.259326","99.635241","99.61941","100","100","99.704142","100","53.913043","100","99.28025","99.42423","99.898271","90.152077","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01001,"Aguascalientes","2020","99.297477","99.267638","99.327709","98.327759","99.555556","99.316901","99.714693","99.711982","100","100","99.671053","100","46.835443","100","99.342942","99.593199","99.844961","90.627639","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01002,"Asientos","2020","99.244821","99.176541","99.315353","100","100","99.235458","100","100","100","100","100","ND","100","100","99.254593","98.770492","100","89.130435","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01003,"Calvillo","2020","99.162974","98.988898","99.334768","100","100","99.152715","99.441341","99.438202","100","ND","100","ND","100","100","99.173554","98.373984","100","82.716049","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01004,"Cosío","2020","99.327834","99.439601","99.220156","ND","99.21671","99.35085","97.368421","97.368421","ND","ND","ND","ND","ND","100","99.344569","98.412698","100","96.296296","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01005,"Jesús_María","2020","99.177632","99.010144","99.346892","100","100","99.197727","99.456522","99.408284","100","100","100","ND","70","100","99.173411","99.901088","100","88.577586","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01006,"Pabellón_de_Arteaga","2020","98.791842","98.717665","98.866415","100","97.701149","98.798158","98.319328","98.245614","ND","ND","100","ND","ND","100","98.764733","100","100","92.718447","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01007,"Rincón_de_Romos","2020","99.169205","98.952976","99.387641","82.222222","96.078431","99.155881","100","100","100","ND","100","ND","100","100","99.264776","95.91195","100","92.276423","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01008,"San_José_de_Gracia","2020","99.769718","99.755501","99.782372","100","98.989899","99.765945","100","100","ND","ND","ND","ND","100","100","99.764567","100","100","92.105263","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01009,"Tepezalá","2020","99.192618","99.119555","99.265044","100","100","99.180712","100","100","ND","ND","ND","ND","100","100","99.225534","97.014925","100","90","ND",
"Tasa_de_alfabetización_de_las_personas_de_15_a_24_años,_desglosada_por_sexo_y_subpoblaciones<b><i>_[CENSO]_</i></b>",	01010,"El_Llano","2020","98.680739","98.096245","99.26277","ND","91.666667","98.737238","100","100","ND","ND","ND","ND","0","100","98.799782","97.222222","100","83.529412","ND",
