"Periodo","cvegeo","Entidad_federativa","Mujeres_en_los_cabildos_municipales",
"2022",	00,"Estados Unidos Mexicanos","11,032",
"2022",	01,"Aguascalientes","61",
"2022",	02,"Baja California","44",
"2022",	03,"Baja California Sur","28",
"2022",	04,"Campeche","81",
"2022",	05,"Coahuila de Zaragoza","271",
"2022",	06,"Colima","57",
"2022",	07,"Chiapas","566",
"2022",	08,"Chihuahua","448",
"2022",	09,"Ciudad de México","93",
"2022",	10,"Durango","215",
"2022",	11,"Guanajuato","276",
"2022",	12,"Guerrero","391",
"2022",	13,"Hidalgo","575",
"2022",	14,"Jalisco","743",
"2022",	15,"México","591",
"2022",	16,"Michoacán de Ocampo","542",
"2022",	17,"Morelos","110",
"2022",	18,"Nayarit","136",
"2022",	19,"Nuevo León","310",
"2022",	20,"Oaxaca","1,558",
"2022",	21,"Puebla","1,216",
"2022",	22,"Querétaro","117",
"2022",	23,"Quintana Roo","70",
"2022",	24,"San Luis Potosí","278",
"2022",	25,"Sinaloa","100",
"2022",	26,"Sonora","319",
"2022",	27,"Tabasco","60",
"2022",	28,"Tamaulipas","274",
"2022",	29,"Tlaxcala","219",
"2022",	30,"Veracruz de Ignacio de la Llave","498",
"2022",	31,"Yucatán","403",
"2022",	32,"Zacatecas","382",
"2020",	00,"Estados Unidos Mexicanos","10,875",
"2020",	01,"Aguascalientes","57",
"2020",	02,"Baja California","41",
"2020",	03,"Baja California Sur","28",
"2020",	04,"Campeche","60",
"2020",	05,"Coahuila de Zaragoza","267",
"2020",	06,"Colima","52",
"2020",	07,"Chiapas","641",
"2020",	08,"Chihuahua","423",
"2020",	09,"Ciudad de México","86",
"2020",	10,"Durango","237",
"2020",	11,"Guanajuato","244",
"2020",	12,"Guerrero","350",
"2020",	13,"Hidalgo","556",
"2020",	14,"Jalisco","708",
"2020",	15,"México","817",
"2020",	16,"Michoacán de Ocampo","546",
"2020",	17,"Morelos","84",
"2020",	18,"Nayarit","103",
"2020",	19,"Nuevo León","294",
"2020",	20,"Oaxaca","1,418",
"2020",	21,"Puebla","1,175",
"2020",	22,"Querétaro","116",
"2020",	23,"Quintana Roo","71",
"2020",	24,"San Luis Potosí","262",
"2020",	25,"Sinaloa","94",
"2020",	26,"Sonora","309",
"2020",	27,"Tabasco","122",
"2020",	28,"Tamaulipas","266",
"2020",	29,"Tlaxcala","182",
"2020",	30,"Veracruz de Ignacio de la Llave","501",
"2020",	31,"Yucatán","422",
"2020",	32,"Zacatecas","343",
"2018",	00,"Estados Unidos Mexicanos","10,133",
"2018",	01,"Aguascalientes","57",
"2018",	02,"Baja California","32",
"2018",	03,"Baja California Sur","28",
"2018",	04,"Campeche","60",
"2018",	05,"Coahuila de Zaragoza","256",
"2018",	06,"Colima","50",
"2018",	07,"Chiapas","576",
"2018",	08,"Chihuahua","410",
"2018",	09,"Ciudad de México","4",
"2018",	10,"Durango","183",
"2018",	11,"Guanajuato","243",
"2018",	12,"Guerrero","351",
"2018",	13,"Hidalgo","494",
"2018",	14,"Jalisco","699",
"2018",	15,"México","691",
"2018",	16,"Michoacán de Ocampo","534",
"2018",	17,"Morelos","93",
"2018",	18,"Nayarit","104",
"2018",	19,"Nuevo León","292",
"2018",	20,"Oaxaca","1,163",
"2018",	21,"Puebla","1,161",
"2018",	22,"Querétaro","116",
"2018",	23,"Quintana Roo","70",
"2018",	24,"San Luis Potosí","259",
"2018",	25,"Sinaloa","95",
"2018",	26,"Sonora","309",
"2018",	27,"Tabasco","140",
"2018",	28,"Tamaulipas","260",
"2018",	29,"Tlaxcala","182",
"2018",	30,"Veracruz de Ignacio de la Llave","485",
"2018",	31,"Yucatán","394",
"2018",	32,"Zacatecas","342",
