"Periodo","cvegeo","Entidad_federativa","Proporción_de_mujeres_en_los_cabildos_municipales",
"2022",	00,"Estados Unidos Mexicanos","49.7093678186816",
"2022",	01,"Aguascalientes","55.9633027522936",
"2022",	02,"Baja California","51.1627906976744",
"2022",	03,"Baja California Sur","48.2758620689655",
"2022",	04,"Campeche","54",
"2022",	05,"Coahuila de Zaragoza","52.5193798449612",
"2022",	06,"Colima","50",
"2022",	07,"Chiapas","53.3962264150943",
"2022",	08,"Chihuahua","53.2066508313539",
"2022",	09,"Ciudad de México","52.8409090909091",
"2022",	10,"Durango","53.2178217821782",
"2022",	11,"Guanajuato","53.4883720930233",
"2022",	12,"Guerrero","51.5151515151515",
"2022",	13,"Hidalgo","53.2900834105653",
"2022",	14,"Jalisco","49.8992612491605",
"2022",	15,"México","48.2055464926591",
"2022",	16,"Michoacán de Ocampo","49.7704315886134",
"2022",	17,"Morelos","45.4545454545455",
"2022",	18,"Nayarit","57.3839662447257",
"2022",	19,"Nuevo León","52.901023890785",
"2022",	20,"Oaxaca","39.4131039716671",
"2022",	21,"Puebla","54.3099598034837",
"2022",	22,"Querétaro","57.9207920792079",
"2022",	23,"Quintana Roo","50.3597122302158",
"2022",	24,"San Luis Potosí","54.7244094488189",
"2022",	25,"Sinaloa","52.9100529100529",
"2022",	26,"Sonora","49.0015360983103",
"2022",	27,"Tabasco","64.5161290322581",
"2022",	28,"Tamaulipas","54.2574257425743",
"2022",	29,"Tlaxcala","46.5957446808511",
"2022",	30,"Veracruz de Ignacio de la Llave","47.3384030418251",
"2022",	31,"Yucatán","50.6281407035176",
"2022",	32,"Zacatecas","58.0547112462006",
"2020",	00,"Estados Unidos Mexicanos","47.4642108938547",
"2020",	01,"Aguascalientes","53.2710280373832",
"2020",	02,"Baja California","51.8987341772152",
"2020",	03,"Baja California Sur","48.2758620689655",
"2020",	04,"Campeche","45.8015267175573",
"2020",	05,"Coahuila de Zaragoza","52.2504892367906",
"2020",	06,"Colima","45.6140350877193",
"2020",	07,"Chiapas","57.2832886505809",
"2020",	08,"Chihuahua","50",
"2020",	09,"Ciudad de México","48.8636363636364",
"2020",	10,"Durango","58.5185185185185",
"2020",	11,"Guanajuato","47.378640776699",
"2020",	12,"Guerrero","45.1612903225806",
"2020",	13,"Hidalgo","52.304797742239",
"2020",	14,"Jalisco","48.0325644504749",
"2020",	15,"México","50.9351620947631",
"2020",	16,"Michoacán de Ocampo","48.4472049689441",
"2020",	17,"Morelos","34.0080971659919",
"2020",	18,"Nayarit","43.4599156118143",
"2020",	19,"Nuevo León","51.0416666666667",
"2020",	20,"Oaxaca","35.3351607276352",
"2020",	21,"Puebla","52.5491949910555",
"2020",	22,"Querétaro","57.4257425742574",
"2020",	23,"Quintana Roo","51.0791366906475",
"2020",	24,"San Luis Potosí","51.4734774066798",
"2020",	25,"Sinaloa","49.7354497354497",
"2020",	26,"Sonora","47.758887171561",
"2020",	27,"Tabasco","53.7444933920705",
"2020",	28,"Tamaulipas","52.3622047244094",
"2020",	29,"Tlaxcala","39.3939393939394",
"2020",	30,"Veracruz de Ignacio de la Llave","47.5783475783476",
"2020",	31,"Yucatán","46.8888888888889",
"2020",	32,"Zacatecas","51.7345399698341",
"2018",	00,"Estados Unidos Mexicanos","45.0115493958778",
"2018",	01,"Aguascalientes","52.2935779816514",
"2018",	02,"Baja California","43.8356164383562",
"2018",	03,"Baja California Sur","48.2758620689655",
"2018",	04,"Campeche","46.5116279069767",
"2018",	05,"Coahuila de Zaragoza","50.7936507936508",
"2018",	06,"Colima","43.859649122807",
"2018",	07,"Chiapas","57.029702970297",
"2018",	08,"Chihuahua","48.4633569739953",
"2018",	09,"Ciudad de México","25",
"2018",	10,"Durango","45.2970297029703",
"2018",	11,"Guanajuato","47.093023255814",
"2018",	12,"Guerrero","44.7704081632653",
"2018",	13,"Hidalgo","45.7407407407407",
"2018",	14,"Jalisco","46.4760638297872",
"2018",	15,"México","44.7538860103627",
"2018",	16,"Michoacán de Ocampo","48.7671232876712",
"2018",	17,"Morelos","37.9591836734694",
"2018",	18,"Nayarit","43.8818565400844",
"2018",	19,"Nuevo León","50.3448275862069",
"2018",	20,"Oaxaca","29.1478696741855",
"2018",	21,"Puebla","51.2356575463372",
"2018",	22,"Querétaro","57.7114427860697",
"2018",	23,"Quintana Roo","50.3597122302158",
"2018",	24,"San Luis Potosí","50.8840864440079",
"2018",	25,"Sinaloa","47.2636815920398",
"2018",	26,"Sonora","47.9813664596273",
"2018",	27,"Tabasco","54.0540540540541",
"2018",	28,"Tamaulipas","52.5252525252525",
"2018",	29,"Tlaxcala","38.7234042553192",
"2018",	30,"Veracruz de Ignacio de la Llave","46.8146718146718",
"2018",	31,"Yucatán","49.6847414880202",
"2018",	32,"Zacatecas","51.7397881996974",
