"Periodo","cvegeo","Entidad_federativa","Total_de_legisladoras_y_legisladores_en_los_congresos_estatales",
"2020",	00,"Estados Unidos Mexicanos","1,113",
"2020",	01,"Aguascalientes","27",
"2020",	02,"Baja California","25",
"2020",	03,"Baja California Sur","21",
"2020",	04,"Campeche","35",
"2020",	05,"Coahuila de Zaragoza","25",
"2020",	06,"Colima","25",
"2020",	07,"Chiapas","40",
"2020",	08,"Chihuahua","33",
"2020",	09,"Ciudad de México","66",
"2020",	10,"Durango","25",
"2020",	11,"Guanajuato","36",
"2020",	12,"Guerrero","46",
"2020",	13,"Hidalgo","30",
"2020",	14,"Jalisco","38",
"2020",	15,"México","75",
"2020",	16,"Michoacán de Ocampo","40",
"2020",	17,"Morelos","20",
"2020",	18,"Nayarit","30",
"2020",	19,"Nuevo León","42",
"2020",	20,"Oaxaca","42",
"2020",	21,"Puebla","41",
"2020",	22,"Querétaro","25",
"2020",	23,"Quintana Roo","25",
"2020",	24,"San Luis Potosí","27",
"2020",	25,"Sinaloa","40",
"2020",	26,"Sonora","33",
"2020",	27,"Tabasco","35",
"2020",	28,"Tamaulipas","36",
"2020",	29,"Tlaxcala","25",
"2020",	30,"Veracruz de Ignacio de la Llave","50",
"2020",	31,"Yucatán","25",
"2020",	32,"Zacatecas","30",
"2019",	00,"Estados Unidos Mexicanos","1,113",
"2019",	01,"Aguascalientes","27",
"2019",	02,"Baja California","25",
"2019",	03,"Baja California Sur","21",
"2019",	04,"Campeche","35",
"2019",	05,"Coahuila de Zaragoza","25",
"2019",	06,"Colima","25",
"2019",	07,"Chiapas","40",
"2019",	08,"Chihuahua","33",
"2019",	09,"Ciudad de México","66",
"2019",	10,"Durango","25",
"2019",	11,"Guanajuato","36",
"2019",	12,"Guerrero","46",
"2019",	13,"Hidalgo","30",
"2019",	14,"Jalisco","38",
"2019",	15,"México","75",
"2019",	16,"Michoacán de Ocampo","40",
"2019",	17,"Morelos","20",
"2019",	18,"Nayarit","30",
"2019",	19,"Nuevo León","42",
"2019",	20,"Oaxaca","42",
"2019",	21,"Puebla","41",
"2019",	22,"Querétaro","25",
"2019",	23,"Quintana Roo","25",
"2019",	24,"San Luis Potosí","27",
"2019",	25,"Sinaloa","40",
"2019",	26,"Sonora","33",
"2019",	27,"Tabasco","35",
"2019",	28,"Tamaulipas","36",
