"Periodo","cvegeo","Entidad_federativa","Proporción_de_mujeres_en_los_Congresos_estatales",
"2020",	00,"Estados Unidos Mexicanos","49.3261455525606",
"2020",	01,"Aguascalientes","51.8518518518518",
"2020",	02,"Baja California","48",
"2020",	03,"Baja California Sur","57.1428571428571",
"2020",	04,"Campeche","51.4285714285714",
"2020",	05,"Coahuila de Zaragoza","56",
"2020",	06,"Colima","56",
"2020",	07,"Chiapas","65",
"2020",	08,"Chihuahua","45.4545454545455",
"2020",	09,"Ciudad de México","50",
"2020",	10,"Durango","40",
"2020",	11,"Guanajuato","50",
"2020",	12,"Guerrero","41.304347826087",
"2020",	13,"Hidalgo","53.3333333333333",
"2020",	14,"Jalisco","39.4736842105263",
"2020",	15,"México","49.3333333333333",
"2020",	16,"Michoacán de Ocampo","42.5",
"2020",	17,"Morelos","70",
"2020",	18,"Nayarit","30",
"2020",	19,"Nuevo León","50",
"2020",	20,"Oaxaca","54.7619047619048",
"2020",	21,"Puebla","43.9024390243902",
"2020",	22,"Querétaro","52",
"2020",	23,"Quintana Roo","52",
"2020",	24,"San Luis Potosí","48.1481481481481",
"2020",	25,"Sinaloa","47.5",
"2020",	26,"Sonora","39.3939393939394",
"2020",	27,"Tabasco","51.4285714285714",
"2020",	28,"Tamaulipas","50",
"2020",	29,"Tlaxcala","60",
"2020",	30,"Veracruz de Ignacio de la Llave","50",
"2020",	31,"Yucatán","52",
"2020",	32,"Zacatecas","46.6666666666667",
"2019",	00,"Estados Unidos Mexicanos","49.5058400718778",
"2019",	01,"Aguascalientes","51.8518518518518",
"2019",	02,"Baja California","48",
"2019",	03,"Baja California Sur","57.1428571428571",
"2019",	04,"Campeche","51.4285714285714",
"2019",	05,"Coahuila de Zaragoza","56",
"2019",	06,"Colima","56",
"2019",	07,"Chiapas","65",
"2019",	08,"Chihuahua","45.4545454545455",
"2019",	09,"Ciudad de México","50",
"2019",	10,"Durango","40",
"2019",	11,"Guanajuato","50",
"2019",	12,"Guerrero","41.304347826087",
"2019",	13,"Hidalgo","46.6666666666667",
"2019",	14,"Jalisco","42.1052631578947",
"2019",	15,"México","49.3333333333333",
"2019",	16,"Michoacán de Ocampo","42.5",
"2019",	17,"Morelos","70",
"2019",	18,"Nayarit","36.6666666666667",
"2019",	19,"Nuevo León","50",
"2019",	20,"Oaxaca","54.7619047619048",
"2019",	21,"Puebla","46.3414634146341",
"2019",	22,"Querétaro","52",
"2019",	23,"Quintana Roo","52",
"2019",	24,"San Luis Potosí","48.1481481481481",
"2019",	25,"Sinaloa","47.5",
"2019",	26,"Sonora","39.3939393939394",
"2019",	27,"Tabasco","51.4285714285714",
"2019",	28,"Tamaulipas","52.7777777777778",
"2019",	29,"Tlaxcala","60",
"2019",	30,"Veracruz de Ignacio de la Llave","50",
"2019",	31,"Yucatán","48",
"2019",	32,"Zacatecas","46.6666666666667",
"2018",	00,"Estados Unidos Mexicanos","49.0566037735849",
"2018",	01,"Aguascalientes","51.8518518518518",
"2018",	02,"Baja California","36",
"2018",	03,"Baja California Sur","57.1428571428571",
"2018",	04,"Campeche","51.4285714285714",
"2018",	05,"Coahuila de Zaragoza","56",
"2018",	06,"Colima","56",
"2018",	07,"Chiapas","65",
"2018",	08,"Chihuahua","45.4545454545455",
"2018",	09,"Ciudad de México","50",
"2018",	10,"Durango","40",
"2018",	11,"Guanajuato","50",
"2018",	12,"Guerrero","41.304347826087",
"2018",	13,"Hidalgo","53.3333333333333",
"2018",	14,"Jalisco","44.7368421052632",
"2018",	15,"México","49.3333333333333",
"2018",	16,"Michoacán de Ocampo","40",
"2018",	17,"Morelos","70",
"2018",	18,"Nayarit","36.6666666666667",
"2018",	19,"Nuevo León","50",
"2018",	20,"Oaxaca","54.7619047619048",
"2018",	21,"Puebla","46.3414634146341",
"2018",	22,"Querétaro","52",
"2018",	23,"Quintana Roo","44",
"2018",	24,"San Luis Potosí","48.1481481481481",
"2018",	25,"Sinaloa","47.5",
"2018",	26,"Sonora","42.4242424242424",
"2018",	27,"Tabasco","51.4285714285714",
"2018",	28,"Tamaulipas","44.4444444444444",
"2018",	29,"Tlaxcala","60",
"2018",	30,"Veracruz de Ignacio de la Llave","50",
"2018",	31,"Yucatán","48",
"2018",	32,"Zacatecas","46.6666666666667",
"2017",	00,"Estados Unidos Mexicanos","41.8521816562778",
"2017",	01,"Aguascalientes","48.1481481481481",
"2017",	02,"Baja California","36",
"2017",	03,"Baja California Sur","47.6190476190476",
"2017",	04,"Campeche","54.2857142857143",
"2017",	05,"Coahuila de Zaragoza","48",
"2017",	06,"Colima","40",
"2017",	07,"Chiapas","60",
"2017",	08,"Chihuahua","51.5151515151515",
"2017",	09,"Ciudad de México","45.4545454545455",
"2017",	10,"Durango","44",
"2017",	11,"Guanajuato","44.4444444444444",
"2017",	12,"Guerrero","40",
"2017",	13,"Hidalgo","40",
"2017",	14,"Jalisco","43.5897435897436",
"2017",	15,"México","37.3333333333333",
"2017",	16,"Michoacán de Ocampo","42.5",
"2017",	17,"Morelos","20",
"2017",	18,"Nayarit","36.6666666666667",
"2017",	19,"Nuevo León","38.0952380952381",
"2017",	20,"Oaxaca","42.8571428571429",
"2017",	21,"Puebla","29.2682926829268",
"2017",	22,"Querétaro","52",
"2017",	23,"Quintana Roo","44",
"2017",	24,"San Luis Potosí","33.3333333333333",
"2017",	25,"Sinaloa","45",
"2017",	26,"Sonora","39.3939393939394",
"2017",	27,"Tabasco","37.1428571428571",
"2017",	28,"Tamaulipas","44.4444444444444",
"2017",	29,"Tlaxcala","28",
"2017",	30,"Veracruz de Ignacio de la Llave","38",
"2017",	31,"Yucatán","36",
"2017",	32,"Zacatecas","53.3333333333333",
"2016",	00,"Estados Unidos Mexicanos","41.7699115044248",
"2016",	01,"Aguascalientes","48.1481481481481",
"2016",	02,"Baja California","36",
"2016",	03,"Baja California Sur","47.6190476190476",
"2016",	04,"Campeche","54.2857142857143",
"2016",	05,"Coahuila de Zaragoza","48",
"2016",	06,"Colima","36",
"2016",	07,"Chiapas","60",
"2016",	08,"Chihuahua","51.5151515151515",
"2016",	09,"Ciudad de México","45.4545454545455",
"2016",	10,"Durango","44",
"2016",	11,"Guanajuato","44.4444444444444",
"2016",	12,"Guerrero","39.1304347826087",
"2016",	13,"Hidalgo","30",
"2016",	14,"Jalisco","46.1538461538462",
"2016",	15,"México","37.3333333333333",
"2016",	16,"Michoacán de Ocampo","42.5",
"2016",	17,"Morelos","20",
"2016",	18,"Nayarit","46.6666666666667",
"2016",	19,"Nuevo León","38.0952380952381",
"2016",	20,"Oaxaca","42.8571428571429",
"2016",	21,"Puebla","29.2682926829268",
"2016",	22,"Querétaro","52",
"2016",	23,"Quintana Roo","44",
"2016",	24,"San Luis Potosí","33.3333333333333",
"2016",	25,"Sinaloa","45",
"2016",	26,"Sonora","39.3939393939394",
"2016",	27,"Tabasco","37.1428571428571",
"2016",	28,"Tamaulipas","44.4444444444444",
"2016",	29,"Tlaxcala","29.0322580645161",
"2016",	30,"Veracruz de Ignacio de la Llave","38",
"2016",	31,"Yucatán","36",
"2016",	32,"Zacatecas","53.3333333333333",
