"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	00,"Estados_Unidos_Mexicanos","2020","2,564,665","2,305,478","259,187",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	01,"Aguascalientes","2020","11,244","10,508","736",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	02,"Baja_California","2020","29,243","22,122","7,121",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	03,"Baja_California_Sur","2020","10,947","10,045","902",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	04,"Campeche","2020","34,022","31,741","2,281",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	05,"Coahuila_de_Zaragoza","2020","19,659","18,463","1,196",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	06,"Colima","2020","16,588","14,335","2,253",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	07,"Chiapas","2020","325,804","306,246","19,558",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	08,"Chihuahua","2020","40,012","37,297","2,715",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	09,"Ciudad_de_México","2020","10,956","8,953","2,003",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	10,"Durango","2020","31,688","30,470","1,218",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	11,"Guanajuato","2020","103,538","89,579","13,959",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	12,"Guerrero","2020","126,980","115,760","11,220",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	13,"Hidalgo","2020","69,298","61,038","8,260",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	14,"Jalisco","2020","112,676","100,189","12,487",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	15,"México","2020","126,568","110,658","15,910",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	16,"Michoacán_de_Ocampo","2020","178,469","156,375","22,094",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	17,"Morelos","2020","33,688","30,871","2,817",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	18,"Nayarit","2020","41,018","38,590","2,428",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	19,"Nuevo_León","2020","14,828","13,833","995",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	20,"Oaxaca","2020","203,060","179,093","23,967",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	21,"Puebla","2020","231,558","202,077","29,481",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	22,"Querétaro","2020","18,201","15,471","2,730",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	23,"Quintana_Roo","2020","23,354","21,843","1,511",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	24,"San_Luis_Potosí","2020","62,902","58,769","4,133",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	25,"Sinaloa","2020","64,492","52,814","11,678",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	26,"Sonora","2020","50,483","42,653","7,830",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	27,"Tabasco","2020","67,701","62,479","5,222",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	28,"Tamaulipas","2020","36,156","34,010","2,146",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	29,"Tlaxcala","2020","30,117","27,774","2,343",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	30,"Veracruz_de_Ignacio_de_la_Llave","2020","336,985","313,385","23,600",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	31,"Yucatán","2020","49,403","46,510","2,893",
"Población_agrícola_con_derechos_de_propiedad_o_derechos_seguros",	32,"Zacatecas","2020","43,884","41,527","2,357",
