"Periodo","cvegeo","Entidad_federativa","Mujeres_agrícolas_con_derechos_seguros_sobre_tierras_agrícolas",
"2020",	00,"Estados Unidos Mexicanos","404,388",
"2020",	01,"Aguascalientes","1,252",
"2020",	02,"Baja California","8,961",
"2020",	03,"Baja California Sur","1,473",
"2020",	04,"Campeche","3,469",
"2020",	05,"Coahuila de Zaragoza","1,442",
"2020",	06,"Colima","3,040",
"2020",	07,"Chiapas","36,447",
"2020",	08,"Chihuahua","4,634",
"2020",	09,"Ciudad de México","2,988",
"2020",	10,"Durango","2,053",
"2020",	11,"Guanajuato","22,212",
"2020",	12,"Guerrero","20,611",
"2020",	13,"Hidalgo","14,276",
"2020",	14,"Jalisco","17,631",
"2020",	15,"México","27,154",
"2020",	16,"Michoacán de Ocampo","34,866",
"2020",	17,"Morelos","4,622",
"2020",	18,"Nayarit","4,118",
"2020",	19,"Nuevo León","1,533",
"2020",	20,"Oaxaca","39,093",
"2020",	21,"Puebla","49,763",
"2020",	22,"Querétaro","4,991",
"2020",	23,"Quintana Roo","1,900",
"2020",	24,"San Luis Potosí","5,796",
"2020",	25,"Sinaloa","20,086",
"2020",	26,"Sonora","11,522",
"2020",	27,"Tabasco","7,573",
"2020",	28,"Tamaulipas","2,851",
"2020",	29,"Tlaxcala","3,305",
"2020",	30,"Veracruz de Ignacio de la Llave","36,810",
"2020",	31,"Yucatán","4,018",
"2020",	32,"Zacatecas","3,898",
