"Periodo","cvegeo","Entidad_federativa","Proporción_de_mujeres_entre_los_propietarios_o_los_titulares_de_derechos_sobre_tierras_agrícolas,_desglosada_por_tipo_de_tenencia",
"2020",	00,"Estados Unidos Mexicanos","15.76767336",
"2020",	01,"Aguascalientes","11.13482746",
"2020",	02,"Baja California","30.64323086",
"2020",	03,"Baja California Sur","7.332005973",
"2020",	04,"Campeche","10.19634354",
"2020",	05,"Coahuila de Zaragoza","7.335062821",
"2020",	06,"Colima","18.32650109",
"2020",	07,"Chiapas","11.18678715",
"2020",	08,"Chihuahua","11.58152554",
"2020",	09,"Ciudad de México","27.27272727",
"2020",	10,"Durango","6.478793234",
"2020",	11,"Guanajuato","21.4529931",
"2020",	12,"Guerrero","16.23169003",
"2020",	13,"Hidalgo","20.60088314",
"2020",	14,"Jalisco","15.64752032",
"2020",	15,"México","21.45408002",
"2020",	16,"Michoacán de Ocampo","19.53616594",
"2020",	17,"Morelos","13.720019",
"2020",	18,"Nayarit","10.03949486",
"2020",	19,"Nuevo León","10.33854869",
"2020",	20,"Oaxaca","19.25194524",
"2020",	21,"Puebla","21.4905121",
"2020",	22,"Querétaro","27.42157024",
"2020",	23,"Quintana Roo","8.13565128",
"2020",	24,"San Luis Potosí","9.214333408",
"2020",	25,"Sinaloa","31.14494821",
"2020",	26,"Sonora","22.82352475",
"2020",	27,"Tabasco","11.18594999",
"2020",	28,"Tamaulipas","7.88527492",
"2020",	29,"Tlaxcala","10.97386858",
"2020",	30,"Veracruz de Ignacio de la Llave","10.92333487",
"2020",	31,"Yucatán","8.133109325",
"2020",	32,"Zacatecas","8.882508431",
