"Serie","cvegeo","Entidad/municipio","Periodo","Usuarios|Hombres","Usuarios|Mujeres",
"Personas_que_utilizan_teléfonos_móviles",	00,"Estados_Unidos_Mexicanos","2024","46,971,103","51,603,217",
"Personas_que_utilizan_teléfonos_móviles",	01,"Aguascalientes","2024","571,281","590,348",
"Personas_que_utilizan_teléfonos_móviles",	010010001,"Aguascalientes","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	02,"Baja_California","2024","1,548,489","1,536,521",
"Personas_que_utilizan_teléfonos_móviles",	020010001,"Ensenada","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	020020001,"Mexicali","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	020040001,"Tijuana","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	03,"Baja_California_Sur","2024","369,974","355,500",
"Personas_que_utilizan_teléfonos_móviles",	030030001,"La_Paz","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	04,"Campeche","2024","326,698","338,267",
"Personas_que_utilizan_teléfonos_móviles",	040020001,"Campeche","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	040030001,"Ciudad_del_Carmen","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	05,"Coahuila_de_Zaragoza","2024","1,299,325","1,351,543",
"Personas_que_utilizan_teléfonos_móviles",	050300001,"Saltillo","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	050350001,"Torreón","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	06,"Colima","2024","281,277","308,676",
"Personas_que_utilizan_teléfonos_móviles",	060020001,"Colima","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	07,"Chiapas","2024","1,631,154","1,617,769",
"Personas_que_utilizan_teléfonos_móviles",	070890001,"Tapachula","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	071010001,"Tuxtla_Gutiérrez","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	08,"Chihuahua","2024","1,404,876","1,591,730",
"Personas_que_utilizan_teléfonos_móviles",	080190001,"Chihuahua","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	080370001,"Juárez","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	09,"Ciudad_de_México","2024","3,778,010","3,959,193",
"Personas_que_utilizan_teléfonos_móviles",	090019013,"Zona_Metropolitana_del_Valle_de_México","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	10,"Durango","2024","674,306","783,034",
"Personas_que_utilizan_teléfonos_móviles",	100050001,"Durango","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	11,"Guanajuato","2024","2,125,512","2,562,090",
"Personas_que_utilizan_teléfonos_móviles",	110070001,"Celaya","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	110170001,"Irapuato","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	110200001,"León","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	12,"Guerrero","2024","1,104,657","1,303,362",
"Personas_que_utilizan_teléfonos_móviles",	120010001,"Acapulco","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	120290001,"Chilpancingo_de_los_Bravo","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	13,"Hidalgo","2024","1,146,977","1,345,166",
"Personas_que_utilizan_teléfonos_móviles",	130480001,"Pachuca","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	14,"Jalisco","2024","3,584,961","3,405,061",
"Personas_que_utilizan_teléfonos_móviles",	140390001,"Guadalajara","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	15,"México","2024","6,409,110","7,239,097",
"Personas_que_utilizan_teléfonos_móviles",	151060001,"Toluca","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	16,"Michoacán_de_Ocampo","2024","1,794,431","1,868,935",
"Personas_que_utilizan_teléfonos_móviles",	160530001,"Morelia","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	161020001,"Uruapan","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	17,"Morelos","2024","772,619","795,299",
"Personas_que_utilizan_teléfonos_móviles",	170070001,"Cuernavaca","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	18,"Nayarit","2024","443,618","521,837",
"Personas_que_utilizan_teléfonos_móviles",	180170001,"Tepic","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	19,"Nuevo_León","2024","2,388,665","2,557,365",
"Personas_que_utilizan_teléfonos_móviles",	190390001,"Monterrey","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	20,"Oaxaca","2024","1,302,527","1,424,064",
"Personas_que_utilizan_teléfonos_móviles",	200670001,"Oaxaca","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	21,"Puebla","2024","2,153,230","2,610,920",
"Personas_que_utilizan_teléfonos_móviles",	211140001,"Puebla","2024","ND","ND",
"Personas_que_utilizan_teléfonos_móviles",	211560001,"Tehuacán","2024","ND","ND",
