"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	00,"Estados_Unidos_Mexicanos","2024","58.58476013","57.58161969","59.44640119",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	01,"Aguascalientes","2024","59.67434416","58.42878138","60.77887297",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	02,"Baja_California","2024","54.64362527","54.97470469","54.34840091",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	03,"Baja_California_Sur","2024","62.03976082","60.40592179","63.54188639",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	04,"Campeche","2024","57.12623283","56.70672984","57.49931794",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	05,"Coahuila_de_Zaragoza","2024","58.35224936","57.30826151","59.33856409",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	06,"Colima","2024","61.03672216","59.68932949","62.27421004",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	07,"Chiapas","2024","57.31913404","56.32230753","58.10021976",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	08,"Chihuahua","2024","53.82726818","53.61665929","54.0221782",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	09,"Ciudad_de_México","2024","58.54831874","59.03404386","58.14295043",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	10,"Durango","2024","62.73502225","59.14670182","65.66624991",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	11,"Guanajuato","2024","57.8251662","57.15228262","58.40758258",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	12,"Guerrero","2024","59.69223294","56.39831521","62.30577892",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	13,"Hidalgo","2024","65.5135877","64.95056251","65.94068128",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_desglosado_por_sexo",	14,"Jalisco","2024","57.01727941","55.103635","58.80027279",
