"Periodo","cvegeo","Entidad_federativa","Población_que_se_abastece_con_llave_pública_o_hidrante",
"2022",	00,"Estados Unidos Mexicanos","263,385",
"2022",	01,"Aguascalientes","1,458",
"2022",	02,"Baja California","636",
"2022",	03,"Baja California Sur","5,412",
"2022",	04,"Campeche","2,203",
"2022",	05,"Coahuila de Zaragoza","2,999",
"2022",	06,"Colima","1,157",
"2022",	07,"Chiapas","25,593",
"2022",	08,"Chihuahua","5,141",
"2022",	09,"Ciudad de México","20,539",
"2022",	10,"Durango","5,211",
"2022",	11,"Guanajuato","14,697",
"2022",	12,"Guerrero","20,947",
"2022",	13,"Hidalgo","4,360",
"2022",	14,"Jalisco","11,473",
"2022",	15,"México","37,375",
"2022",	16,"Michoacán de Ocampo","19,273",
"2022",	17,"Morelos","1,145",
"2022",	18,"Nayarit","3,614",
"2022",	19,"Nuevo León","5,086",
"2022",	20,"Oaxaca","4,279",
"2022",	21,"Puebla","31,752",
"2022",	22,"Querétaro","1,794",
"2022",	23,"Quintana Roo","1,492",
"2022",	24,"San Luis Potosí","8,240",
"2022",	25,"Sinaloa","2,305",
"2022",	26,"Sonora","0",
"2022",	27,"Tabasco","10,181",
"2022",	28,"Tamaulipas","6,874",
"2022",	29,"Tlaxcala","0",
"2022",	30,"Veracruz de Ignacio de la Llave","3,639",
"2022",	31,"Yucatán","512",
"2022",	32,"Zacatecas","3,998",
"2020",	00,"Estados Unidos Mexicanos","196,517",
"2020",	01,"Aguascalientes","480",
"2020",	02,"Baja California","327",
"2020",	03,"Baja California Sur","2,723",
"2020",	04,"Campeche","833",
"2020",	05,"Coahuila de Zaragoza","6,388",
"2020",	06,"Colima","837",
"2020",	07,"Chiapas","11,495",
"2020",	08,"Chihuahua","2,506",
"2020",	09,"Ciudad de México","6,304",
"2020",	10,"Durango","1,147",
"2020",	11,"Guanajuato","2,309",
"2020",	12,"Guerrero","26,134",
"2020",	13,"Hidalgo","2,085",
"2020",	14,"Jalisco","4,611",
"2020",	15,"México","29,913",
"2020",	16,"Michoacán de Ocampo","7,095",
"2020",	17,"Morelos","3,342",
"2020",	18,"Nayarit","3,448",
"2020",	19,"Nuevo León","5,381",
"2020",	20,"Oaxaca","5,646",
"2020",	21,"Puebla","4,344",
"2020",	22,"Querétaro","27,016",
"2020",	23,"Quintana Roo","0",
"2020",	24,"San Luis Potosí","5,951",
"2020",	25,"Sinaloa","4,823",
"2020",	26,"Sonora","3,027",
"2020",	27,"Tabasco","1,230",
"2020",	28,"Tamaulipas","5,111",
"2020",	29,"Tlaxcala","1,010",
"2020",	30,"Veracruz de Ignacio de la Llave","17,576",
"2020",	31,"Yucatán","1,221",
"2020",	32,"Zacatecas","2,204",
"2018",	00,"Estados Unidos Mexicanos","276,038",
"2018",	01,"Aguascalientes","1,599",
"2018",	02,"Baja California","25,728",
"2018",	03,"Baja California Sur","6,504",
"2018",	04,"Campeche","0",
"2018",	05,"Coahuila de Zaragoza","9,018",
"2018",	06,"Colima","721",
"2018",	07,"Chiapas","0",
"2018",	08,"Chihuahua","2,912",
"2018",	09,"Ciudad de México","30,984",
"2018",	10,"Durango","3,750",
"2018",	11,"Guanajuato","14,734",
"2018",	12,"Guerrero","31,260",
"2018",	13,"Hidalgo","11,073",
"2018",	14,"Jalisco","6,604",
"2018",	15,"México","29,238",
"2018",	16,"Michoacán de Ocampo","2,403",
"2018",	17,"Morelos","1,364",
"2018",	18,"Nayarit","4,278",
"2018",	19,"Nuevo León","8,592",
"2018",	20,"Oaxaca","7,659",
"2018",	21,"Puebla","12,326",
"2018",	22,"Querétaro","18,199",
"2018",	23,"Quintana Roo","0",
"2018",	24,"San Luis Potosí","20,701",
"2018",	25,"Sinaloa","0",
"2018",	26,"Sonora","3,678",
"2018",	27,"Tabasco","3,231",
"2018",	28,"Tamaulipas","1,866",
"2018",	29,"Tlaxcala","1,630",
"2018",	30,"Veracruz de Ignacio de la Llave","14,598",
"2018",	31,"Yucatán","0",
"2018",	32,"Zacatecas","1,388",
"2016",	00,"Estados Unidos Mexicanos","242,767",
"2016",	01,"Aguascalientes","712",
"2016",	02,"Baja California","4,852",
"2016",	03,"Baja California Sur","12,480",
"2016",	04,"Campeche","0",
"2016",	05,"Coahuila de Zaragoza","1,960",
"2016",	06,"Colima","727",
"2016",	07,"Chiapas","48,304",
"2016",	08,"Chihuahua","5,301",
"2016",	09,"Ciudad de México","22,832",
"2016",	10,"Durango","4,701",
"2016",	11,"Guanajuato","23,281",
"2016",	12,"Guerrero","3,559",
"2016",	13,"Hidalgo","5,937",
"2016",	14,"Jalisco","0",
"2016",	15,"México","22,773",
"2016",	16,"Michoacán de Ocampo","15,782",
"2016",	17,"Morelos","1,299",
"2016",	18,"Nayarit","1,171",
"2016",	19,"Nuevo León","1,871",
"2016",	20,"Oaxaca","0",
"2016",	21,"Puebla","0",
"2016",	22,"Querétaro","10,527",
"2016",	23,"Quintana Roo","0",
