"Periodo","cvegeo","Entidad_federativa","Proporción_de_la_población_que_utiliza_servicios_de_saneamiento_gestionados_de_manera_segura,_por_entidad_federativa",
"2022",	00,"Estados Unidos Mexicanos","89.2434444804546",
"2022",	01,"Aguascalientes","95.9418312978241",
"2022",	02,"Baja California","92.1977459887626",
"2022",	03,"Baja California Sur","92.6135235901586",
"2022",	04,"Campeche","90.3586217344465",
"2022",	05,"Coahuila de Zaragoza","95.1012669211019",
"2022",	06,"Colima","96.3922177817773",
"2022",	07,"Chiapas","83.4045996805124",
"2022",	08,"Chihuahua","92.9546003697945",
"2022",	09,"Ciudad de México","91.6258343132346",
"2022",	10,"Durango","90.204678988202",
"2022",	11,"Guanajuato","92.5813046660118",
"2022",	12,"Guerrero","77.997167374823",
"2022",	13,"Hidalgo","87.4424725784638",
"2022",	14,"Jalisco","95.2731724697606",
"2022",	15,"México","88.6846925647255",
"2022",	16,"Michoacán de Ocampo","87.5198949912672",
"2022",	17,"Morelos","90.8899891209347",
"2022",	18,"Nayarit","92.2070038861171",
"2022",	19,"Nuevo León","93.921060099055",
"2022",	20,"Oaxaca","73.7697237968422",
"2022",	21,"Puebla","87.6452859728367",
"2022",	22,"Querétaro","91.5027899483469",
"2022",	23,"Quintana Roo","94.0908258761272",
"2022",	24,"San Luis Potosí","83.5672250359628",
"2022",	25,"Sinaloa","91.4798669530718",
"2022",	26,"Sonora","90.2706510514645",
"2022",	27,"Tabasco","90.533340758132",
"2022",	28,"Tamaulipas","91.5540262824312",
"2022",	29,"Tlaxcala","89.6968113903307",
"2022",	30,"Veracruz de Ignacio de la Llave","83.2341949351056",
"2022",	31,"Yucatán","90.3650750244492",
"2022",	32,"Zacatecas","92.076625924617",
"2020",	00,"Estados Unidos Mexicanos","88.6780576805193",
"2020",	01,"Aguascalientes","96.0249403486772",
"2020",	02,"Baja California","90.9643040629539",
"2020",	03,"Baja California Sur","93.3861744274965",
"2020",	04,"Campeche","90.1638186621244",
"2020",	05,"Coahuila de Zaragoza","94.3421049726354",
"2020",	06,"Colima","95.4242002971016",
"2020",	07,"Chiapas","85.2088812145253",
"2020",	08,"Chihuahua","92.9284306974253",
"2020",	09,"Ciudad de México","89.7178811346915",
"2020",	10,"Durango","91.4375213590175",
"2020",	11,"Guanajuato","90.292153746859",
"2020",	12,"Guerrero","76.8692156038477",
"2020",	13,"Hidalgo","88.1940759860485",
"2020",	14,"Jalisco","94.241027007108",
"2020",	15,"México","87.2487806106183",
"2020",	16,"Michoacán de Ocampo","90.4140030263599",
"2020",	17,"Morelos","89.5855568088831",
"2020",	18,"Nayarit","94.5895929114366",
"2020",	19,"Nuevo León","94.8131636595848",
"2020",	20,"Oaxaca","73.8810647485605",
"2020",	21,"Puebla","86.2697641649754",
"2020",	22,"Querétaro","90.4140611302671",
"2020",	23,"Quintana Roo","95.6106219725746",
"2020",	24,"San Luis Potosí","82.7977551209847",
"2020",	25,"Sinaloa","90.8505552001567",
"2020",	26,"Sonora","89.4790584351365",
"2020",	27,"Tabasco","91.3074811369646",
"2020",	28,"Tamaulipas","91.56157250598",
"2020",	29,"Tlaxcala","90.9040271160729",
"2020",	30,"Veracruz de Ignacio de la Llave","81.6404310553304",
"2020",	31,"Yucatán","88.378372368304",
"2020",	32,"Zacatecas","92.1157552323083",
"2018",	00,"Estados Unidos Mexicanos","86.5805365803783",
"2018",	01,"Aguascalientes","94.5065012546673",
"2018",	02,"Baja California","89.4088071760876",
"2018",	03,"Baja California Sur","92.2402119867806",
"2018",	04,"Campeche","88.7682076366275",
"2018",	05,"Coahuila de Zaragoza","93.5841494732575",
"2018",	06,"Colima","95.1251146338268",
"2018",	07,"Chiapas","83.3979457994758",
"2018",	08,"Chihuahua","92.3527830118054",
"2018",	09,"Ciudad de México","89.8080298907396",
"2018",	10,"Durango","92.4071531355383",
"2018",	11,"Guanajuato","88.004177055099",
"2018",	12,"Guerrero","74.5739454971995",
"2018",	13,"Hidalgo","85.1750474784662",
"2018",	14,"Jalisco","92.6652965555923",
"2018",	15,"México","84.2082289590674",
"2018",	16,"Michoacán de Ocampo","86.3495835603344",
"2018",	17,"Morelos","86.9942476254091",
"2018",	18,"Nayarit","89.9769998311419",
"2018",	19,"Nuevo León","95.5352271935002",
"2018",	20,"Oaxaca","63.8239909272666",
"2018",	21,"Puebla","83.874118769553",
"2018",	22,"Querétaro","86.5102485693525",
"2018",	23,"Quintana Roo","93.6632363211416",
"2018",	24,"San Luis Potosí","78.873918332683",
"2018",	25,"Sinaloa","89.6212186187301",
"2018",	26,"Sonora","89.6370073707618",
"2018",	27,"Tabasco","90.8694931329499",
"2018",	28,"Tamaulipas","88.4013628412277",
"2018",	29,"Tlaxcala","88.6400017977999",
"2018",	30,"Veracruz de Ignacio de la Llave","81.2544419933639",
"2018",	31,"Yucatán","88.0238641944656",
"2018",	32,"Zacatecas","87.8663686348326",
"2016",	00,"Estados Unidos Mexicanos","86.2716993076459",
"2016",	01,"Aguascalientes","95.2731061965143",
"2016",	02,"Baja California","91.1261593770074",
"2016",	03,"Baja California Sur","90.6862004161691",
"2016",	04,"Campeche","89.9771023134336",
"2016",	05,"Coahuila de Zaragoza","92.0940471639767",
"2016",	06,"Colima","94.8349728313053",
"2016",	07,"Chiapas","82.4474893065608",
"2016",	08,"Chihuahua","91.8436779014813",
"2016",	09,"Ciudad de México","90.4819601690829",
"2016",	10,"Durango","89.4925403861947",
"2016",	11,"Guanajuato","86.1936368157435",
"2016",	12,"Guerrero","74.5327394707604",
"2016",	13,"Hidalgo","82.1316632648908",
