"Serie","cvegeo","Entidad_federativa","Periodo","Servicios_sanitarios|Con_drenaje_conectado_a_la_red_pública_y_excusado_propio","Servicios_sanitarios|Con_drenaje_conectado_a_una_fosa_séptica_y_excusado_propio",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	00,"Estados_Unidos_Mexicanos","2022","57,900,729","6,387,346",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	01,"Aguascalientes","2022","1,145,600","9,641",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	02,"Baja_California","2022","2,972,571","210,224",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	03,"Baja_California_Sur","2022","115,492","54,260",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	04,"Campeche","2022","34,660","401,210",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	05,"Coahuila_de_Zaragoza","2022","2,141,931","117,675",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	06,"Colima","2022","595,103","18,516",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	07,"Chiapas","2022","420,480","147,415",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	08,"Chihuahua","2022","3,116,836","174,827",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	09,"Ciudad_de_México","2022","6,241,127","62,102",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	10,"Durango","2022","1,182,327","93,927",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	11,"Guanajuato","2022","3,862,843","191,333",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	12,"Guerrero","2022","189,558","39,027",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	13,"Hidalgo","2022","694,052","63,740",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	14,"Jalisco","2022","6,485,394","184,681",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	15,"México","2022","6,340,853","188,192",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	16,"Michoacán_de_Ocampo","2022","1,637,346","95,651",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	17,"Morelos","2022","296,284","32,077",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	18,"Nayarit","2022","430,366","76,225",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	19,"Nuevo_León","2022","4,370,980","158,839",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	20,"Oaxaca","2022","279,340","214,648",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	21,"Puebla","2022","1,075,692","69,206",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	22,"Querétaro","2022","1,453,046","133,741",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	23,"Quintana_Roo","2022","999,133","329,166",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	24,"San_Luis_Potosí","2022","908,641","81,442",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	25,"Sinaloa","2022","2,272,074","139,393",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	26,"Sonora","2022","2,136,340","161,597",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	27,"Tabasco","2022","744,472","443,299",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	28,"Tamaulipas","2022","2,637,575","172,347",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	29,"Tlaxcala","2022","423,963","6,800",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","2,095,559","530,942",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	31,"Yucatán","2022","106,159","1,718,685",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	32,"Zacatecas","2022","494,932","66,518",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	00,"Estados_Unidos_Mexicanos","2020","60,150,961","6,634,801",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	01,"Aguascalientes","2020","1,135,285","9,784",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	02,"Baja_California","2020","2,868,790","249,693",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	03,"Baja_California_Sur","2020","107,145","28,551",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	04,"Campeche","2020","49,468","451,168",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	05,"Coahuila_de_Zaragoza","2020","2,150,537","146,947",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	06,"Colima","2020","566,068","22,991",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	07,"Chiapas","2020","531,066","230,045",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	08,"Chihuahua","2020","2,987,846","173,617",
"Población_con_agua_entubada_dentro_de_la_vivienda_con_un_servicio_diario",	09,"Ciudad_de_México","2020","6,251,880","48,896",
