"Periodo","cvegeo","Entidad_federativa","Proporción_de_la_población_que_dispone_de_servicios_de_suministro_de_agua_potable_y_saneamiento_gestionados_de_manera_segura,_por_entidad_federativa_[CONAGUA]_",
"2022",	00,"Estados Unidos Mexicanos","55.8652161738158",
"2022",	01,"Aguascalientes","78.5982415680587",
"2022",	02,"Baja California","85.3644420897026",
"2022",	03,"Baja California Sur","22.0067055785136",
"2022",	04,"Campeche","59.6529507810396",
"2022",	05,"Coahuila de Zaragoza","72.1400481251596",
"2022",	06,"Colima","81.8167672466331",
"2022",	07,"Chiapas","29.5940380570016",
"2022",	08,"Chihuahua","87.7787903937471",
"2022",	09,"Ciudad de México","69.9144468558201",
"2022",	10,"Durango","76.3396353179307",
"2022",	11,"Guanajuato","69.4138118130358",
"2022",	12,"Guerrero","13.3643255852703",
"2022",	13,"Hidalgo","30.3710578077341",
"2022",	14,"Jalisco","80.2214758998127",
"2022",	15,"México","43.5371279394108",
"2022",	16,"Michoacán de Ocampo","39.1829817228076",
"2022",	17,"Morelos","19.37727175726",
"2022",	18,"Nayarit","49.278881203999",
"2022",	19,"Nuevo León","75.7790595308665",
"2022",	20,"Oaxaca","24.4695437211271",
"2022",	21,"Puebla","24.8149037344527",
"2022",	22,"Querétaro","68.4587338576365",
"2022",	23,"Quintana Roo","79.7619327033761",
"2022",	24,"San Luis Potosí","39.8821617511694",
"2022",	25,"Sinaloa","84.1619296791737",
"2022",	26,"Sonora","79.6890634881245",
"2022",	27,"Tabasco","60.1594584701257",
"2022",	28,"Tamaulipas","82.2630790052926",
"2022",	29,"Tlaxcala","36.4553768297185",
"2022",	30,"Veracruz de Ignacio de la Llave","42.7793908808111",
"2022",	31,"Yucatán","86.8417426756831",
"2022",	32,"Zacatecas","37.6095831149998",
"2020",	00,"Estados Unidos Mexicanos","58.76647046309",
"2020",	01,"Aguascalientes","81.3614783078182",
"2020",	02,"Baja California","84.011646345202",
"2020",	03,"Baja California Sur","18.8591067499639",
"2020",	04,"Campeche","68.767995069712",
"2020",	05,"Coahuila de Zaragoza","75.8444149837982",
"2020",	06,"Colima","83.6984922980982",
"2020",	07,"Chiapas","29.8939012076026",
"2020",	08,"Chihuahua","85.4581648962172",
"2020",	09,"Ciudad de México","70.2789654054414",
"2020",	10,"Durango","78.8061769197161",
"2020",	11,"Guanajuato","71.2160589788935",
"2020",	12,"Guerrero","14.3746108142496",
"2020",	13,"Hidalgo","47.129503548941",
"2020",	14,"Jalisco","79.3133395470197",
"2020",	15,"México","48.3663768509674",
