"Periodo","Consumo_final_de_energía_primaria_u_oferta_interna_bruta_de_energía_primaria",
"2024","5,340",
"2023","5,764.99",
"2022","6,164.84567668448",
"2021","5,573.83012",
"2020","4,276.316365",
"2019","4,675.041",
"2018","4,895.142",
"2017","5,536.158273",
"2016","5,906.558144",
"2015","6,403.125648",
"2014","6,812.267249",
"2013","7,207.587035",
"2012","6,994.955839",
"2011","7,033.631815",
"2010","6,923.625087",
"2009","7,292.224688",
"2008","7,094.741508",
"2007","7,017.243847",
"2006","7,160.402386",
"2005","7,093.954234",
"2004","6,568.521035",
