"Periodo","Consumo_nacional_de_energía",
"2024","9,641.77",
"2023","9,918.49",
"2022","10,477.17",
"2021","10,422.73",
"2020","7,826.61",
"2019","8,811.06",
"2018","9,236.86",
"2017","9,249.75",
"2016","9,140.1",
"2015","8,528.87",
"2014","8,650.69",
"2013","8,988.43",
"2012","8,814.81",
"2011","8,638.26",
"2010","8,271.04",
"2009","8,315.16",
"2008","8,337.79",
"2007","8,092.24",
"2006","8,056.03",
"2005","7,957.44",
"2004","7,347.37",
"2003","7,047.57",
"2002","6,824",
