"Periodo","Producto_Interno_Bruto_trimestral_anualizado,_a_precios_constantes,_base_2018",
"2024","25,365,220.65",
"2023","25,044,841.13",
"2022","24,217,923.84",
"2021","23,309,274",
"2020","22,023,576",
"2019","24,109,423",
"2018","24,176,670",
"2017","23,709,107",
"2016","23,273,491",
"2015","22,868,154",
"2014","22,266,443",
"2013","21,722,561",
"2012","21,539,027",
"2011","20,799,961",
"2010","20,107,451",
"2009","19,155,183",
"2008","20,442,062",
"2007","20,251,027",
"2006","19,838,804",
"2005","18,929,251",
"2004","18,537,508",
"2003","17,899,318",
"2002","17,689,600",
