"Periodo","Intensidad_energética_nacional",
"2024","380.1177",
"2023","396.0294",
"2022","432.62049",
"2021","447.14945",
"2020","355.37399",
"2019","365.46105",
"2018","382.05667",
"2017","390.13473",
"2016","392.72561",
"2015","372.95831",
"2014","388.50794",
"2013","413.78316",
"2012","409.24806",
"2011","415.30188",
"2010","411.34224",
"2009","434.09452",
"2008","407.87441",
"2007","399.59652",
"2006","406.07413",
"2005","420.37807",
"2004","396.35176",
"2003","393.73388",
"2002","385.76356",
