"Periodo","Producto_Interno_Bruto_real_per_cápita",
"2024","195,078.725",
"2023","193,532.697",
"2022","188,775.065",
"2021","183,401.573",
"2020","174,626.954",
"2019","189,298.47",
"2018","191,884.694",
"2017","190,011.578",
"2016","188,316.037",
"2015","186,879.435",
"2014","183,946.301",
"2013","181,630.33",
"2012","182,440.566",
"2011","178,622.953",
"2010","175,219.078",
"2009","169,469.572",
"2008","183,706.076",
"2007","184,875.608",
"2006","183,887.335",
"2005","177,955.083",
"2004","176,597.17",
"2003","172,793.522",
"2002","173,143.503",
