"Periodo","Tasa_de_crecimiento_anual_del_PIB_real_per_cápita",
"2024","0.798846",
"2023","2.520265",
"2022","2.929905",
"2021","5.024779",
"2020","-7.750467",
"2019","-1.347801",
"2018","0.985791",
"2017","0.90037",
"2016","0.768732",
"2015","1.59456",
"2014","1.275101",
"2013","-0.444109",
"2012","2.137246",
"2011","1.942639",
"2010","3.392648",
"2009","-7.74961",
"2008","-0.632605",
"2007","0.537434",
"2006","3.333567",
"2005","0.768932",
"2004","2.201268",
"2003","-0.202134",
