"Periodo","PIB_PPC_por_persona_ocupada",
"2020","47.0258869254591",
"2019","46.0776760150013",
"2018","47.2057578626906",
"2017","47.0143484170602",
"2016","46.1917752996847",
"2015","44.0650097459148",
"2014","43.9787370567528",
"2013","41.9379147947025",
"2012","41.3242206273661",
"2011","40.5465475293779",
"2010","37.7508287538216",
"2009","36.0353057138999",
"2008","36.7994742975776",
"2007","35.2704000998412",
"2006","34.2384138071959",
"2005","31.8869522481246",
"2004","31.6023577204733",
"2003","30.2509210650844",
"2002","29.5366822740654",
"2001","29.4268603658669",
"2000","29.0888691159897",
"1999","27.6982599952934",
"1998","26.8778398631239",
"1997","25.9383439991044",
"1996","25.2392810667154",
