"Periodo","PIB_anual_Base_2013_a_precios_corrientes_según_el_valor_de_la_Paridad_del_Poder_de_Compra",
"2020","2,407,278,986",
"2019","2,533,977,007.2",
"2018","2,535,949,723.3",
"2017","2,460,766,209.9",
"2016","2,383,253,006.3",
"2015","2,230,188,837.8",
"2014","2,173,227,410.9",
"2013","2,064,490,858.2",
"2012","2,012,767,821.9",
"2011","1,911,319,122.2",
"2010","1,741,129,416.2",
"2009","1,637,276,799.5",
"2008","1,653,898,166.7",
"2007","1,560,053,813.9",
"2006","1,485,209,698",
"2005","1,341,775,400.3",
"2004","1,263,142,572.2",
"2003","1,183,622,615.6",
"2002","1,137,595,954.7",
"2001","1,116,305,299.6",
"2000","1,096,780,829.3",
"1999","1,018,601,794",
"1998","977,196,844.4",
"1997","918,870,686.6",
"1996","845,410,743.7",
