"Periodo","PIB_PPC_por_persona_ocupada",
"2024","42.334262201772",
"2023","43.855498755853",
"2022","43.643220476344",
"2021","42.485297097772",
"2020","44.085477275736",
"2019","46.342215844492",
"2018","49.025174783637",
"2017","51.468267612341",
"2016","54.175240125563",
"2015","55.110412293855",
"2014","56.927045223164",
"2013","56.910300946764",
"2012","57.23524865598",
"2011","58.473402861285",
"2010","57.725133943006",
"2009","56.71082043206",
"2008","60.892548541954",
"2007","62.118805392368",
"2006","63.915476779326",
