"Periodo","PIB_anual_Base_2018_a_precios_corrientes_según_el_valor_de_la_Paridad_del_Poder_de_Compra",
"2024","2,513,214,339",
"2023","2,538,080,866",
"2022","2,472,844,705",
"2021","2,326,325,790",
"2020","2,248,600,226",
"2019","2,527,372,572",
"2018","2,606,266,095",
"2017","2,659,894,430",
"2016","2,755,549,640",
"2015","2,746,069,455",
"2014","2,767,627,451",
"2013","2,755,146,156",
"2012","2,740,784,745",
"2011","2,710,794,387",
"2010","2,618,272,900",
"2009","2,576,676,089",
"2008","2,736,725,900",
"2007","2,747,592,287",
"2006","2,772,555,017",
